boundary_sink_scale,candidate_label,family,T_K,burnup_FIMA_percent,dt_h,n_modes,time_s,burnup_from_time_percent,Dg,D1_Xe,D2_Xe_scaled,D3_Xe,tau_boundary_unscaled_h,tau_boundary_scaled_h,generated,matrix_percent,bulk_percent,dislocation_percent,qgb_percent,balance_sum_percent,gas_balance_rel_error,intra_bulk_fraction_no_qgb,intra_dislocation_fraction_no_qgb,swelling_b_percent,swelling_d_percent,swelling_ig_percent,Rb_nm,Rd_nm,Nb,Nd,p_b_over_eq,p_d_over_eq,max_f_cap_step,capture_fraction_sum,bulk_anchor_penalty,disl_anchor_penalty,qgb_anchor_penalty,partition_anchor_penalty
0.5,M7_no_phi_Dv05_trial_00097_balanced,M7_no_phi,1400.0,1.1,1.0,40,5432786.961605881,1.0999999999999999,1.720711724456542e-19,2.56984711400453e-21,2.9449198733515696e-106,1.2821582109204226e-19,5888.3299394230835,11776.659878846167,9.036573938600274e+25,7.878667242214178,43.72868553983524,28.06134886227804,20.33129835567254,100.0,0.0,0.5488816139499468,0.3522255074214085,0.5766914914480953,0.6458024884139575,1.2224939798620529,7.0574256178953325,49.91963945873625,3.916661200863814e+21,1.2393580293180117e+19,1.0083345863605413,2.561594312155113,2.963501696603366e-05,0.0258680634708283,5.2201021992333265,0.0,0.0,5.2201021992333265
0.5,M7_no_phi_Dv05_trial_00097_balanced,M7_no_phi,1600.0,1.1,1.0,40,5432786.961605881,1.0999999999999999,7.33571673864993e-19,4.2934800659537927e-19,4.895151025154585e-105,1.2821582109204226e-19,1381.203599486108,2762.407198972216,9.036573938600274e+25,2.4749110797220886,32.80450940832128,40.65425757102516,24.066321940931473,100.00000000000001,0.0,0.4320152828999377,0.535391655062466,0.533882970582763,2.622791178989429,3.1566741495721917,9.56081015892907,96.33399052743862,1.458388981317507e+21,7.003843811952986e+18,1.0004005791287043,1.5241563733130845,0.00010873509268558257,0.11878984903626444,9.07836608810009,0.0,0.0,9.07836608810009
0.5,M7_no_phi_Dv05_trial_00097_balanced,M7_no_phi,1700.0,1.1,1.0,40,5432786.961605881,1.0999999999999999,4.8167323632717555e-18,3.532824850314724e-18,3.946714695915007e-104,1.2821582109204226e-19,210.3525294760525,420.705058952105,9.036573938600274e+25,0.5272241651989263,15.660834489403955,56.783528283940356,27.028413061456774,100.00000000000001,0.0,0.21461551196075165,0.7781594270625293,0.3186061820823165,5.692578068853594,6.01118425093591,13.257145453081213,171.047720646819,3.264491373818058e+20,2.715616959972766e+18,1.0002181281351765,1.7653578031409451,0.0002728563605492057,0.3307476937563604,17.27187358469995,0.0,0.0,17.27187358469995
0.5,M7_no_phi_Dv05_trial_00097_balanced,M7_no_phi,1800.0,1.1,1.0,40,5432786.961605881,1.0999999999999999,3.042955372416583e-17,2.3000292344816836e-17,3.978758947397585e-103,1.2821582109204226e-19,33.296966679426816,66.59393335885363,9.036573938600274e+25,0.10157339338332799,4.175357518643602,67.36506180903504,28.358007278938047,100.00000000000001,1.9011485216333091e-16,0.05828086796664566,0.9403013407418865,0.10076989476698547,10.085035057839068,10.185804952606054,16.267301566180826,341.7244441214695,5.588504981751078e+19,6.033379812036882e+17,1.0001563015991128,2.433965702167528,0.0007143994361647769,0.7792380737954372,0.0,0.0,0.0,0.0
0.5,M7_no_phi_Dv05_trial_00097_balanced,M7_no_phi,2000.0,1.1,1.0,40,5432786.961605881,1.0999999999999999,7.31342189768822e-16,5.557410539509728e-16,5.4060721867612494e-101,1.2821582109204226e-19,1.385414174920847,2.770828349841694,9.036573938600274e+25,0.004528030324363683,0.1728188389775501,70.88554603136912,28.93710709932898,100.00000000000001,0.0,0.0024319139275558285,0.9975043674404052,0.004890832552809628,19.889501586830132,19.894392419382942,18.347700477958146,1688.5769899633801,1.8903806342583588e+18,9862174673005484.0,1.0001675571251234,6.954619998823895,0.004422093499677892,2.600849891541429,0.0,5.815068902052175,11.693573393566238,17.508642295618415
0.5,M7_no_phi_Dv05_trial_00097_balanced,M7_no_phi,2200.0,1.1,1.0,40,5432786.961605881,1.0999999999999999,9.901183863882954e-15,7.52543768382339e-15,7.55565243133933e-99,1.2821582109204226e-19,0.1023323928080279,0.2046647856160558,9.036573938600274e+25,0.00033488530176950797,0.012423805259444065,71.0320377150033,28.955203594435492,100.0,0.0,0.00017487283922276093,0.9998204134404387,0.00039615899032450065,27.54750911281142,27.547905271801742,19.581419329968853,7383.5581214987205,1.2596456854200432e+17,163379150069502.8,1.0001793979049167,24.014986631963072,0.030390172390211974,5.191073872669599,0.0,5.744632160950243,11.711260801037858,17.4558929619881
0.5,M7_no_phi_Dv05_trial_00097_balanced,M7_no_phi,1400.0,3.2,1.0,40,15804471.161035294,3.2000000000000006,1.720711724456542e-19,2.56984711400453e-21,2.9449198733515696e-106,1.2821582109204226e-19,5888.3299394230835,11776.659878846167,2.628821509410849e+26,2.7745397693606004,62.787461455664406,10.154089257930446,24.283909517044552,100.0,0.0,0.8292485924084865,0.13410741618013472,2.439847621464468,0.9241460367634717,3.36399365822794,7.2682925098331905,57.67826328272995,1.5169696898714104e+22,1.149781908120426e+19,1.0074034665666518,1.922569949181275,2.963501696603366e-05,0.036452691472629695,1.028539239835094,0.0,0.0,1.028539239835094
0.5,M7_no_phi_Dv05_trial_00097_balanced,M7_no_phi,1600.0,3.2,1.0,40,15804471.161035294,3.2000000000000006,7.33571673864993e-19,4.2934800659537927e-19,4.895151025154585e-105,1.2821582109204226e-19,1381.203599486108,2762.407198972216,2.628821509410849e+26,0.8841003092297043,53.66250623969284,14.64918432381922,30.80420912725824,100.0,1.3070396086229696e-16,0.7755169145820409,0.21170629223330342,2.6064139384390685,3.8592118616075104,6.4656258000465785,10.028873440708592,122.9515307953066,6.168766446038535e+21,4.956877553244336e+18,1.0003217994813076,1.333992278138683,0.00010873509268558257,0.18668542205547942,2.6325049001466225,0.0,0.0,2.6325049001466225
0.5,M7_no_phi_Dv05_trial_00097_balanced,M7_no_phi,1700.0,3.2,1.0,40,15804471.161035294,3.2000000000000006,4.8167323632717555e-18,3.532824850314724e-18,3.946714695915007e-104,1.2821582109204226e-19,210.3525294760525,420.705058952105,2.628821509410849e+26,0.20151728306625583,37.85796199443737,21.52680201796299,40.41371870453339,100.0,1.3070396086229696e-16,0.6353469485151045,0.36127111056351097,2.4256136573629394,9.02797090293912,11.45358456030206,15.015429696438368,279.0868898597177,1.710486792745101e+21,9.914783459504292e+17,1.0001536284583754,1.9536549873075006,0.0002728563605492057,0.6279689741603282,7.1617031788446015,0.0,0.0,7.1617031788446015
0.5,M7_no_phi_Dv05_trial_00097_balanced,M7_no_phi,1800.0,3.2,1.0,40,15804471.161035294,3.2000000000000006,3.042955372416583e-17,2.3000292344816836e-17,3.978758947397585e-103,1.2821582109204226e-19,33.296966679426816,66.59393335885363,2.628821509410849e+26,0.0454853324124951,20.369384569834555,30.120906669155243,49.46422342859773,100.00000000000003,1.3070396086229696e-16,0.4030685971759934,0.5960313408184644,1.7683370183130593,15.546156181208183,17.31449319952124,21.908803169293112,750.9858195151704,4.014398376350297e+20,8.762725506602805e+16,1.0000807478393174,4.475711089775625,0.0007143994361647769,1.5816169280430767,0.0,0.0,0.0,0.0
