T_K,D_Xe_tot,D1_Xe,D3_Xe,D2_Xe_diagnostic,D_v_tot,D1_v,D3_v,D2_v_paper_broken
1088.4422110552764,9.250002087396781e-20,2.0873967811765942e-26,9.25e-20,5.041656667761072e-104,2.480000837571422e-22,8.37571422127429e-29,2.48e-22,6.538284814762344e-05
1095.4773869346734,9.25000292751529e-20,2.927515289501731e-26,9.25e-20,3.3893877069671174e-104,2.4800012340299177e-22,1.2340299177426318e-28,2.48e-22,5.9121687940700525e-05
1102.5125628140704,9.250004088073164e-20,4.088073162840386e-26,9.25e-20,2.321782917710273e-104,2.480001809179342e-22,1.809179341679078e-28,2.48e-22,5.3548524328111605e-05
1109.5477386934674,9.250005684589808e-20,5.684589807701246e-26,9.25e-20,1.619596348789564e-104,2.4800026395536975e-22,2.639553697398151e-28,2.48e-22,4.857907158373968e-05
1116.5829145728644,9.25000787182354e-20,7.871823540221899e-26,9.25e-20,1.1497906683343759e-104,2.4800038327647193e-22,3.8327647193791773e-28,2.48e-22,4.4140348633010117e-05
1123.6180904522612,9.250010856284204e-20,1.0856284203814965e-25,9.25e-20,8.302497512751827e-105,2.4800055394344307e-22,5.539434430682773e-28,2.48e-22,4.016904018665242e-05
1130.6532663316584,9.250014912475417e-20,1.491247541722057e-25,9.25e-20,6.0944804440017115e-105,2.4800079694465535e-22,7.969446553692734e-28,2.48e-22,3.661011224187505e-05
1137.6884422110552,9.250020403900148e-20,2.0403900147829735e-25,9.25e-20,4.545388485885709e-105,2.480011413984962e-22,1.141398496202744e-27,2.48e-22,3.3415639996934956e-05
1144.7236180904522,9.250027810127981e-20,2.7810127980832195e-25,9.25e-20,3.442613404139176e-105,2.480016275294128e-22,1.627529412794716e-27,2.48e-22,3.0543813534387157e-05
1151.7587939698492,9.250037761549226e-20,3.7761549225824463e-25,9.25e-20,2.6465052975488195e-105,2.48002310670134e-22,2.310670134005237e-27,2.48e-22,2.7958092599096416e-05
1158.7939698492462,9.250051083843074e-20,5.108384307393424e-25,9.25e-20,2.0640317205315786e-105,2.4800326662210815e-22,3.266622108173269e-27,2.48e-22,2.5626486685924148e-05
1165.8291457286432,9.250068854680103e-20,6.885468010282238e-25,9.25e-20,1.6323679943263394e-105,2.4800459880655708e-22,4.598806557077021e-27,2.48e-22,2.3520940664188658e-05
1172.8643216080402,9.25009247578216e-20,9.247578216047879e-25,9.25e-20,1.3085303749592136e-105,2.480064477670871e-22,6.447767087101686e-27,2.48e-22,2.1616809466151248e-05
1179.8994974874372,9.250123764197076e-20,1.2376419707586138e-24,9.25e-20,1.0627378640799783e-105,2.4800900374881966e-22,9.003748819690974e-27,2.48e-22,1.989240808728592e-05
1186.9346733668342,9.250165067537717e-20,1.6506753771633932e-24,9.25e-20,8.741059412874491e-106,2.4801252328753304e-22,1.2523287533058539e-26,2.48e-22,1.832862539364447e-05
1193.9698492462312,9.250219409015157e-20,2.1940901515697712e-24,9.25e-20,7.278177939226071e-106,2.4801735100647415e-22,1.7351006474137441e-26,2.48e-22,1.6908592092392054e-05
1201.0050251256282,9.250290669399899e-20,2.9066939989963455e-24,9.25e-20,6.132435108527874e-106,2.4802394815197167e-22,2.3948151971689613e-26,2.48e-22,1.5617394765367642e-05
1208.0402010050252,9.250383814614947e-20,3.838146149474045e-24,9.25e-20,5.226749053225669e-106,2.4803292981848833e-22,3.2929818488342146e-26,2.48e-22,1.4441829148934529e-05
1215.075376884422,9.250505179548752e-20,5.0517954875150435e-24,9.25e-20,4.504648444018899e-106,2.480451133397007e-22,4.511333970071233e-26,2.48e-22,1.33701869124964e-05
1222.1105527638192,9.250662820931109e-20,6.628209311094922e-24,9.25e-20,3.9243538219363293e-106,2.4806158097940976e-22,6.158097940975567e-26,2.48e-22,1.2392071080408104e-05
1229.145728643216,9.250866954806456e-20,8.669548064554136e-24,9.25e-20,3.4546647703200545e-106,2.48083760874637e-22,8.376087463699406e-26,2.48e-22,1.1498235988276544e-05
1236.1809045226132,9.251130497342247e-20,1.1304973422471525e-23,9.25e-20,3.0720731002711317e-106,2.481135311994978e-22,1.1353119949778532e-25,2.48e-22,1.0680448289929154e-05
1243.21608040201,9.25146973151242e-20,1.4697315124193168e-23,9.25e-20,2.7587169051739733e-106,2.481533537761315e-22,1.5335377613147055e-25,2.48e-22,9.93136605622609e-06
1250.251256281407,9.251905126697207e-20,1.9051266972075545e-23,9.25e-20,2.5009170286154536e-106,2.482064449106698e-22,2.0644491066982597e-25,2.48e-22,9.244433448323629e-06
1257.286432160804,9.252462343555748e-20,2.462343555748139e-23,9.25e-20,2.2881207861805266e-106,2.482769931408628e-22,2.7699314086283126e-25,2.48e-22,8.613788819913401e-06
1264.321608040201,9.253173462787821e-20,3.1734627878212756e-23,9.25e-20,2.112133096535891e-106,2.4837043592266373e-22,3.704359226637536e-25,2.48e-22,8.034184416858544e-06
1271.356783919598,9.25407848375543e-20,4.078483755429733e-23,9.25e-20,1.9665522667335255e-106,2.4849381014519956e-22,4.938101451995485e-25,2.48e-22,7.500916108042832e-06
1278.391959798995,9.255227147553634e-20,5.227147553633316e-23,9.25e-20,1.846352779311359e-106,2.486561948532158e-22,6.56194853215833e-25,2.48e-22,7.009761806017432e-06
1285.427135678392,9.256681149196151e-20,6.681149196150154e-23,9.25e-20,1.7475745732069559e-106,2.4886926879885813e-22,8.692687988581371e-25,2.48e-22,6.556927426711998e-06
1292.462311557789,9.258516815333128e-20,8.516815333127022e-23,9.25e-20,1.667090123132855e-106,2.4914801058874024e-22,1.1480105887402453e-24,2.48e-22,6.138999399510159e-06
1299.497487437186,9.260828337592872e-20,1.0828337592871768e-22,9.25e-20,1.6024288309959515e-106,2.495115754121129e-22,1.5115754121129237e-24,2.48e-22,5.752902876899875e-06
1306.532663316583,9.263731667514224e-20,1.3731667514224398e-22,9.25e-20,1.5516439954170827e-106,2.4998438983639073e-22,1.9843898363907555e-24,2.48e-22,5.395864910478043e-06
1313.56783919598,9.267369197424153e-20,1.7369197424153428e-22,9.25e-20,1.5132116896900508e-106,2.505975151771399e-22,2.5975151771398756e-24,2.48e-22,5.065381960471367e-06
1320.6030150753768,9.271915372866697e-20,2.1915372866696244e-22,9.25e-20,1.485953773460709e-106,2.513903407709675e-22,3.390340770967511e-24,2.48e-22,4.75919119177873e-06
1327.638190954774,9.27758340669695e-20,2.7583406696950564e-22,9.25e-20,1.4689793422995606e-106,2.5241268142789457e-22,4.412681427894574e-24,2.48e-22,4.475245083059021e-06
1334.6733668341708,9.284633293155783e-20,3.463329315578306e-22,9.25e-20,1.4616404247150698e-106,2.53727368793943e-22,5.727368793942999e-24,2.48e-22,4.2116889384487404e-06
1341.708542713568,9.293381352625789e-20,4.338135262578933e-22,9.25e-20,1.4634988358043005e-106,2.5541344475445026e-22,7.413444754450285e-24,2.48e-22,3.966840945660097e-06
1348.7437185929648,9.304211574880155e-20,5.421157488015537e-22,9.25e-20,1.4743019077103263e-106,2.5757008686244997e-22,9.57008686244998e-24,2.48e-22,3.7391744708071293e-06
1355.7788944723618,9.317589071076605e-20,6.758907107660545e-22,9.25e-20,1.4939654216225232e-106,2.6032142167096668e-22,1.2321421670966689e-23,2.48e-22,3.527302320446048e-06
1362.8140703517588,9.334075993186548e-20,8.407599318654788e-22,9.25e-20,1.5225625225644967e-106,2.6382241245852144e-22,1.5822412458521438e-23,2.48e-22,3.3299627359443417e-06
1369.8492462311558,9.354350334723551e-20,1.0435033472355109e-21,9.25e-20,1.5603177483925831e-106,2.6826604393911527e-22,2.026604393911526e-23,2.48e-22,3.1460069152035787e-06
1376.8844221105528,9.37922808936019e-20,1.2922808936018914e-21,9.25e-20,1.6076055784418364e-106,2.7389206903018283e-22,2.5892069030182824e-23,2.48e-22,2.974387882635894e-06
1383.9195979899498,9.409689315195509e-20,1.596893151955095e-21,9.25e-20,1.6649531271700863e-106,2.809976326306924e-22,3.29976326306924e-23,2.48e-22,2.8141505507045574e-06
1390.9547738693468,9.446908733043299e-20,1.969087330432994e-21,9.25e-20,1.733046790349463e-106,2.8995014579612833e-22,4.1950145796128346e-23,2.48e-22,2.664422835776341e-06
1397.9899497487436,9.492291578235909e-20,2.4229157823590937e-21,9.25e-20,1.8127428082474002e-106,3.012028520075135e-22,5.320285200751352e-23,2.48e-22,2.52440770791233e-06
1405.0251256281408,9.547515528264725e-20,2.9751552826472537e-21,9.25e-20,1.9050818514632268e-106,3.1531360691753804e-22,6.731360691753803e-23,2.48e-22,2.3933760689010163e-06
1412.0603015075376,9.614579644401485e-20,3.645796444014851e-21,9.25e-20,2.0113078683880647e-106,3.329674857184959e-22,8.496748571849591e-23,2.48e-22,2.2706603656150173e-06
1419.0954773869348,9.695861395677795e-20,4.458613956777947e-21,9.25e-20,2.1328915651196522e-106,3.5500394003776217e-22,1.0700394003776218e-22,2.48e-22,2.155648856910852e-06
1426.1306532663316,9.794182979782396e-20,5.441829797823955e-21,9.25e-20,2.271559024803585e-106,3.8244935119912616e-22,1.344493511991262e-22,2.48e-22,2.0477804620118396e-06
1433.1658291457288,9.912888319240665e-20,6.628883192406647e-21,9.25e-20,2.429326119104618e-106,4.165559712404528e-22,1.6855597124045278e-22,2.48e-22,1.946540126807607e-06
1440.2010050251256,1.0055932294484209e-19,8.059322944842096e-21,9.25e-20,2.608539525055911e-106,4.588484100029261e-22,2.1084841000292602e-22,2.48e-22,1.8514546519341451e-06
1447.2361809045226,1.0227983980069291e-19,9.779839800692912e-21,9.25e-20,2.811925341272379e-106,5.11179018995741e-22,2.63179018995741e-22,2.48e-22,1.7620889330055189e-06
1454.2713567839196,1.0434545878488467e-19,1.1845458784884665e-20,9.25e-20,3.042646504249736e-106,5.757937440552101e-22,3.2779374405521016e-22,2.48e-22,1.6780425690746535e-06
1461.3065326633166,1.0682091400040967e-19,1.432091400040967e-20,9.25e-20,3.3043704446120766e-106,6.554102729326546e-22,4.0741027293265457e-22,2.48e-22,1.5989468004088505e-06
1468.3417085427136,1.097822311956101e-19,1.728223119561009e-20,9.25e-20,3.601348702031702e-106,7.53310595184331e-22,5.05310595184331e-22,2.48e-22,1.5244617410675115e-06
1475.3768844221106,1.1331854654118446e-19,2.0818546541184454e-20,9.25e-20,3.9385105445229484e-106,8.734504249176669e-22,6.254504249176668e-22,2.48e-22,1.4542738756414015e-06
1482.4120603015076,1.175341935296978e-19,2.5034193529697803e-20,9.25e-20,4.321573022739144e-106,1.020588317430322e-21,7.725883174303221e-22,2.48e-22,1.3880937929230955e-06
1489.4472361809044,1.2255109375126247e-19,3.0051093751262465e-20,9.25e-20,4.757170344306721e-106,1.2004377445132435e-21,9.524377445132434e-22,2.48e-22,1.3256541322845028e-06
1496.4824120603016,1.2851149154215582e-19,3.6011491542155834e-20,9.25e-20,5.253005990742506e-106,1.4198458867725118e-21,1.1718458867725117e-21,2.48e-22,1.2667077211907042e-06
1503.5175879396984,1.35581077183701e-19,4.308107718370102e-20,9.25e-20,5.81803163625978e-106,1.6870034620569534e-21,1.4390034620569533e-21,2.48e-22,1.211025884623304e-06
1510.5527638190956,1.4395254848444202e-19,5.145254848444203e-20,9.25e-20,6.462657682960208e-106,2.011690545024032e-21,1.763690545024032e-21,2.48e-22,1.1583969092593241e-06
1517.5879396984924,1.538496662495907e-19,6.13496662495907e-20,9.25e-20,7.199001123316535e-106,2.405564052927445e-21,2.157564052927445e-21,2.48e-22,1.1086246470867993e-06
1524.6231155778896,1.6553186537077463e-19,7.303186537077463e-20,9.25e-20,8.041177505657704e-106,2.882493386662691e-21,2.6344933866626912e-21,2.48e-22,1.0615272447639893e-06
1531.6582914572864,1.792994901015939e-19,8.679949010159389e-20,9.25e-20,9.005645043894277e-106,3.4589516347223585e-21,3.2109516347223586e-21,2.48e-22,1.0169359864715242e-06
1538.6934673366834,1.954997295688788e-19,1.0299972956887879e-19,9.25e-20,1.011161041757021e-105,4.1544707828128574e-21,3.9064707828128575e-21,2.48e-22,9.746942392869158e-07
1545.7286432160804,2.1453333775673678e-19,1.2203333775673677e-19,9.25e-20,1.1381507598466065e-105,4.992170536411804e-21,4.7441705364118044e-21,2.48e-22,9.346564912489471e-07
1552.7638190954774,2.368622311450056e-19,1.443622311450056e-19,9.25e-20,1.2841563170323878e-105,5.999371671672567e-21,5.7513716716725674e-21,2.48e-22,8.966874732912556e-07
1559.7989949748744,2.6301806694253057e-19,1.7051806694253059e-19,9.25e-20,1.4522464144241924e-105,7.208306297285863e-21,6.960306297285863e-21,2.48e-22,8.60661357125623e-07
1566.8341708542714,2.936119154894976e-19,2.011119154894976e-19,9.25e-20,1.6460147292123333e-105,8.656939053071272e-21,8.408939053071271e-21,2.48e-22,8.264610219583364e-07
1573.8693467336684,3.2934515197550674e-19,2.3684515197550675e-19,9.25e-20,1.8696732617450403e-105,1.0389915108587514e-20,1.0141915108587513e-20,2.48e-22,7.939773836390858e-07
1580.9045226130654,3.710217051982637e-19,2.785217051982637e-19,9.25e-20,2.12816278680111e-105,1.2459652876917217e-20,1.2211652876917217e-20,2.48e-22,7.631087804811842e-07
1587.9396984924624,4.1956181474235674e-19,3.2706181474235675e-19,9.25e-20,2.4272836101936624e-105,1.4927601646729585e-20,1.4679601646729584e-20,2.48e-22,7.337604105630491e-07
1594.9748743718592,4.760174627625832e-19,3.8351746276258315e-19,9.25e-20,2.773850440519484e-105,1.786568688330059e-20,1.761768688330059e-20,2.48e-22,7.058438158316108e-07
1602.0100502512564,5.415896625893666e-19,4.490896625893666e-19,9.25e-20,3.175875911509298e-105,2.135796878190457e-20,2.110996878190457e-20,2.48e-22,6.792764087855181e-07
