stage,f_n,K_d,g_d_scale,seed_nm,score_main,score_alt_total_ig,score_swd,score_swig,score_burnup_d,score_burnup_ig,score_Nd,score_Rd,score_pressure,score_highT_penalty,probe_swelling_d_1600_13,probe_swelling_ig_1600_13,probe_Nd_1600_13,probe_Rd_nm_1600_13,probe_p_b_over_eq_1600_13,probe_p_d_over_eq_1600_13
coarse,1e-06,100000.0,1.0,0.0,3.112459529267893,1.9045866459439018,1.8164726151314616,0.9544091234537764,2.542528877117889,1.159291310532666,0.7641871083769695,0.17917674141868634,0.0,0.0,0.5309023671447336,1.6770024847493556,2.9366472314028083e+18,75.57150843698253,1.0004918170929553,0.9986367945138024
refine,3.1622776601683795e-09,150000.0,0.25,0.0,3.138899395780603,1.893907208254631,1.8669997352205667,0.9955084147963543,2.587367061156309,1.0933635927492695,0.6415129579823755,0.25142689240470906,0.0,0.0,0.4850997593742136,2.265253847961668,4.4118160358318505e+18,64.02874925232165,1.0015250406614402,0.8937176249095046
coarse,3e-08,300000.0,0.5,0.0,3.155138803255801,1.8399308974619888,1.8933527137773039,0.9700352412876828,2.621701138105752,1.0541394048889867,0.5110944925566364,0.3551352288034483,0.0,0.0,0.44894895932821355,1.8841564776950603,8.836890264867078e+18,49.49974549037341,1.0007828948896775,0.908222382152583
refine,9.486832980505138e-08,100000.0,0.5,0.0,3.2010736830493043,1.8956464128061612,1.8758692700451194,0.9525794021889322,2.603775924972736,1.0752263154249107,0.7638663555262095,0.19936283270379235,0.0,0.0,0.46782335668411523,1.807204646994963,2.9435737323391217e+18,72.39459189319486,1.0006309263454145,0.9429237027233826
coarse,1e-07,800000.0,1.0,0.0,3.2013215229972087,1.9923990669655258,1.8200402262747233,0.9746819224910838,2.553951433752714,1.0996948247605405,0.5964892845555891,0.4646441987077061,0.0,0.0,0.5201999776846551,1.7693704446550114,2.350057291419741e+19,37.526185696818345,1.0007089460322411,0.9699322536866355
coarse,1e-06,200000.0,1.0,0.0,3.2074476417866413,1.9655864346342797,1.9236263599911856,1.0331914669437048,2.6645120834436273,1.2588068270241033,0.5719340657854456,0.3104848784067675,0.0,0.0,0.40393579859678475,1.5516760613196094,5.902705575751053e+18,54.66686946606224,1.0004921787262553,0.9617038387580449
coarse,1e-07,100000.0,0.5,0.0,3.210510021778299,1.9021809290246947,1.8821412003094957,0.9559748940405408,2.6103515072103103,1.0817003612717124,0.7638291345701611,0.20157221495301864,0.0,0.0,0.4609060799403978,1.796324702345983,2.944414097548527e+18,72.0291538674343,1.000626098141095,0.9399838262437697
coarse,3e-07,500000.0,1.0,0.0,3.2257126730125236,1.9774341119386332,1.9030786706868925,1.0164193362082097,2.6444009946721465,1.1979240882913165,0.5162156896534398,0.4288325298574096,0.0,0.0,0.42504189059971653,1.6256896700959378,1.4744110172669297e+19,40.980273511187264,1.0005752647586268,0.9555147559790472
refine,3.1622776601683795e-09,300000.0,0.25,0.0,3.262947573246692,1.9108225283433384,1.961739275790558,1.0069597306796103,2.6964416521195305,1.1070596529499082,0.5117949572832353,0.38405916332569506,0.0,0.0,0.37050334304286014,2.1534675029856185,8.863994855151934e+18,46.38291177155059,1.0015248937435874,0.858756852701007
coarse,1e-07,200000.0,0.5,0.0,3.277204646337628,1.927798965540747,1.9687936067709884,1.0084086587036352,2.7046338405823263,1.1485509096642148,0.5721399607128975,0.3310780098886141,0.0,0.0,0.3619117187551287,1.6990070948962113,5.911886424956961e+18,52.6739618442626,1.0006272415576472,0.8819256750411255
coarse,1e-06,300000.0,1.0,0.0,3.285156320191346,2.0292272408870535,1.9744843539412418,1.0721829970333956,2.7213975785843565,1.3068866889985715,0.5118098407211346,0.38865097585603003,0.0,0.0,0.34428853447833013,1.4931196868748793,8.874797480446434e+18,45.24374018704251,1.0004926074031562,0.943358664129857
refine,3.162277660168379e-08,450000.0,0.5,0.0,3.288254591276882,1.9349074798213435,1.9540069868629812,0.9993972388848298,2.692027333045745,1.0970778791361988,0.5082905405860726,0.43633913248887596,0.0,0.0,0.3751074288630048,1.8072931641371415,1.3294185051135166e+19,40.688196986357724,1.0007738518881863,0.8941146847679526
coarse,1e-07,200000.0,1.0,0.0,3.3024481758036472,2.3064085610473652,1.528346051800321,0.8584358449511977,2.1927102592062804,0.8881926275776465,0.5705233429666126,0.20141117659140964,0.0,0.6855703955111405,0.9036413713985015,2.149880835108712,5.78508977931433e+18,71.97789328407545,1.0007068863864461,0.9981885473879434
coarse,3e-08,500000.0,0.5,0.0,3.3172470329675643,1.959308602756237,1.961581707396262,1.0035999002317817,2.7012334885126945,1.1014069963253088,0.5174425088508917,0.45449599606786306,0.0,0.0,0.36545423043835695,1.8025221052405944,1.4777014449159293e+19,38.9390987433177,1.0007831923503387,0.8937140422501332
coarse,1e-08,800000.0,0.5,0.0,3.3258863139265156,2.0245143367070035,1.901440026848301,0.9936059608271469,2.6382113809498686,1.0640597361564372,0.5986307222591661,0.494074194656187,0.0,0.0,0.4315626059503047,1.9667707560350685,2.3581699049858666e+19,35.22032574381474,1.0010640650666671,0.9249288385405762
refine,9.486832980505138e-08,300000.0,0.5,0.0,3.3406019144181736,1.9728292967057834,2.0090074459895733,1.033951382486005,2.7509988382023556,1.180132621367068,0.5122235520421788,0.4075546749264093,0.0,0.0,0.3133557524616165,1.6556289238813575,8.884403021709367e+18,43.83021527789071,1.0006328046147144,0.8653861179235248
coarse,1e-07,300000.0,0.5,0.0,3.347727430604533,1.9793012596614827,2.0133408068623977,1.0372692242780237,2.755384197626926,1.1859658441922216,0.512264182529089,0.409936637950059,0.0,0.0,0.30876800259851944,1.6470563781427596,8.886066321885001e+18,43.612539545891565,1.000628088272564,0.8623106886890658
refine,9.486832980505139e-09,250000.0,0.25,0.0,3.3742958661027376,1.9248052004194665,2.0309484575674603,1.0033263914044548,2.773327682964862,1.0858532848837987,0.5330092339356463,0.39558432005587096,0.0,0.0,0.2900217595368621,1.9248703141198316,7.410337484049367e+18,45.37688319678057,1.001015864154188,0.8148620545498065
refine,3.1622776601683795e-09,450000.0,0.25,0.0,3.3773796753760674,1.9768838017266943,2.0085153235456987,1.0163656760640456,2.7513636853838435,1.1179787807129618,0.5092091953189918,0.4636814196587342,0.0,0.0,0.3129784891827098,2.097886335822908,1.3326824390673103e+19,38.27363714100361,1.0015248456547723,0.8487751065112581
coarse,3e-07,100000.0,0.5,0.0,3.382744571496889,2.0481693558597343,1.9924183347556879,1.034796577982265,2.73070488193395,1.222891046479021,0.7631804608209231,0.24774813383295408,0.0,0.0,0.33460883049591217,1.5934842910012503,2.9592692210216596e+18,64.62810727765695,1.0005553588071294,0.8852985551313666
refine,9.486832980505139e-10,750000.0,0.25,0.0,3.4019712140654463,2.1464415975614477,1.9601420439705712,1.0634327817152567,2.701270885946505,1.265989468951769,0.5851827594713992,0.5098335956832422,0.0,0.0,0.36541335605478764,2.325485564951379,2.2165185984662184e+19,34.01533945275005,1.0028706875075835,0.8941191797317143
refine,3.162277660168379e-07,150000.0,0.5,0.0,3.4060409408124235,2.05973095748927,2.0346737144507157,1.06678029472827,2.775915981971523,1.2622497275686908,0.6412303728841328,0.32646709978562055,0.0,0.0,0.2873045881438237,1.543581765535058,4.44683915893838e+18,53.62914135457687,1.0005548962568196,0.8454203945653619
coarse,3e-07,200000.0,0.5,0.0,3.422574493094543,2.068166060030268,2.0560326600373102,1.0818635508367525,2.8000932201814894,1.279135924726623,0.5723457288274919,0.37982359690373674,0.0,0.0,0.2620373042709368,1.5223417975294855,5.93510165332111e+18,47.23697926141501,1.0005581788186464,0.8290011282947217
coarse,3e-07,800000.0,1.0,0.0,3.4256597262078197,2.1555932096006343,1.9631485343330233,1.058098066696768,2.7134086721011115,1.2533444762173895,0.5999502728128545,0.5202769041150294,0.0,0.0,0.35264392013725365,1.5547057007492366,2.365873294730143e+19,32.891633045303585,1.0005758662485196,0.949158380080355
baseline,1e-06,500000.0,1.0,0.0,3.42918507446356,2.1588793231466363,2.028591850704167,1.1141301529585506,2.781875509909834,1.358499295624607,0.5185867505468668,0.4887337441416106,0.0,0.0,0.28100683731995196,1.4313466438012925,1.4828901338916649e+19,35.631964528943705,1.000493342358846,0.9260903887768975
refine,3.16227766016838e-08,100000.0,0.25,0.0,3.4425739003189357,2.002088081119426,2.0284565948603066,1.0025802810175337,2.7691082591948812,1.1106702377679345,0.7629581387767586,0.26824220502311125,0.0,0.0,0.29444633066805254,1.7854452698720178,2.9636761332464527e+18,61.90070540799029,1.0007723464591294,0.808462805288136
