case,case_group,final_burnup,grain_radius_um,max_temperature,base_temperature,temperature_excursion,time_at_peak,time_above_1200,time_above_1500,time_above_1800,thermal_dose_1500,thermal_dose_1800,ramp_up_duration,ramp_down_duration,max_heating_rate,max_cooling_rate,peak_fission_rate,mean_fission_rate,fluence_proxy,transient_fluence_proxy,min_hydrostatic_stress,dislocation_density,inferred_k_exp,inferred_spacing_nm,exp_density_bub_m3,exp_radius_m,exp_swelling_percent,calc_density_bub_m3,calc_radius_m,calc_swelling_percent,density_ratio_calc_exp,radius_ratio_calc_exp,swelling_ratio_calc_exp,inferred_k_exp
test_White2004_4005-3,4005,18.50551,9.08,2018.0,1154.0,864.0,0.03359999999520369,0.08273320197469448,0.06471369024627488,0.04669417851785527,36.052799999430135,15.172799999760173,0.02200000000448199,0.05000000000291038,39272.72726472637,28899.9999983178,1.08e+19,4.1500024469190595e+18,1.4835011090999996e+23,5.2570999998333715e+17,-19.57,75528860000000.0,2105155.5657003163,475.02427672955974,1.59e+20,4.4100000000000004e-08,5.72,4.489408e+19,7.626774e-08,8.342579,0.2823527044025157,1.7294272108843536,1.4584928321678323,2105155.5657003163
test_White2004_4005-4,4005,18.49098,8.620000000000001,1933.0,1125.0,808.0,0.03350000000500586,0.08040645020396223,0.06120872160957354,0.04201099301518484,30.093500000617496,9.24350000018967,0.021999999997206032,0.049999999995634425,36727.27273193704,27200.000002374873,1.08e+19,4.160002409559469e+18,1.4823365498000003e+23,5.2474000003479885e+17,-20.7,75346030000000.0,2787140.875239213,358.79061904761903,2.1e+20,2.97e-08,2.31,4.56851e+19,7.077114e-08,6.783155000000001,0.21754809523809523,2.3828666666666667,2.936430735930736,2787140.875239213
test_White2004_4064-1,4064,19.41848,12.3,2142.0,1329.0,813.0,0.00029999999969732016,29315.74751912046,0.6392267876916857,0.3406628682094481,267.64980000010837,142.57980000005773,0.7831999999980326,0.05000000000291038,1038.049029624671,31379.999998173444,1.17e+19,5.310076306581432e+18,1.55668962411e+23,6.662870999981496e+18,-9.85,87308400000000.0,431802.66732639703,2315.872679045093,3.77e+19,6.17e-08,3.71,4.569389e+19,8.031162e-08,9.914753,1.2120395225464191,1.3016470016207453,2.672440161725067,431802.66732639703
test_White2004_4064-2,4064,19.41848,12.45,2126.0,1322.0,804.0,0.00029999999969732016,29315.74731326465,0.6302595147244894,0.32836198370621844,260.97940000010567,135.90940000005503,0.7831999999980326,0.05000000000291038,1026.5577119535492,31059.99999819207,1.17e+19,5.310076306581432e+18,1.55668962411e+23,6.662870999981496e+18,-10.84,87308400000000.0,481053.36943524337,2078.7714285714283,4.2e+19,5.69e-08,3.24,4.580812e+19,7.980507e-08,9.752648,1.0906695238095239,1.4025495606326888,3.0100765432098764,481053.36943524337
test_White2004_4064-3,4064,19.4215,10.42,2080.0,1305.0,775.0,0.00029999999969732016,29265.19019708029,0.608000304385218,0.2936725607375349,242.70099999954255,117.16599999977916,0.7862999999997555,0.049999999999272404,985.6288948241651,30140.000000438595,1.17e+19,5.32007662531461e+18,1.55693164976e+23,6.693167999996149e+18,-13.44,87348270000000.0,432750.4139463781,2310.800793650794,3.78e+19,6.29e-08,3.95,4.801486e+19,7.524424e-08,8.56809,1.2702343915343914,1.1962518282988872,2.1691367088607594,432750.4139463781
test_White2004_4064-4,4064,19.40226,11.47,2005.0,1275.0,730.0,0.00030000000333529897,29181.350907541902,0.5598045993749518,0.22742562945121922,210.55975000128456,85.47475000052145,0.7832999999991443,0.049999999999272404,931.9545512585183,28640.000000416767,1.17e+19,5.33007636606116e+18,1.555389454905e+23,6.671554500012226e+18,-16.72,87094330000000.0,553422.938094822,1806.936307053942,4.82e+19,5.1500000000000005e-08,2.76,4.781827e+19,7.418465e-08,8.177577,0.9920802904564315,1.440478640776699,2.9628902173913043,553422.938094822
test_White2004_4065-1,4065,8.533459,15.08,2195.0,1383.0,812.0,0.00029999999969732016,12882.613172009864,0.6920739213880445,0.3934664733067436,289.7454999994852,164.67549999970743,0.7831999999998516,0.049999999999272404,1036.772216547694,32440.000000472064,1.11e+19,5.310155398052378e+18,6.8408780511e+22,6.427820999997102e+18,-6.01,0.0,0.0,0.0,1.4000000000000003e+18,1.8990000000000003e-07,3.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_White2004_4065-2,4065,8.528276,12.83,2179.0,1376.0,803.0,0.00020000000040454324,12874.788779452056,0.683512453299925,0.38160709838113827,282.9732500002174,157.94825000012133,0.7830999999987398,0.050000000001091394,1025.4118248005263,32119.99999929889,1.11e+19,5.310155468140058e+18,6.83672336955e+22,6.426445499991905e+18,-6.75,0.0,0.0,0.0,1.5e+18,1.7460000000000001e-07,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_White2004_4065-3,4065,8.534484,11.93,2140.0,1360.0,780.0,0.00029999999969732016,12835.815493618378,0.6634288792893761,0.3525872171223392,266.8479999998817,141.76299999993716,0.7833000000009633,0.049999999999272404,995.7870547670633,31340.000000456057,1.11e+19,5.330155298539001e+18,6.841699660150001e+22,6.436474500006233e+18,-8.18,0.0,0.0,0.0,2.5e+18,1.416e-07,2.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_White2004_4065-4,4065,8.535002,10.5,2111.0,1348.0,763.0,0.00029999999969732016,12812.549116384915,0.6473393437027937,0.3296440849287693,254.72589999954744,129.65589999976964,0.7831999999998516,0.049999999999272404,974.2083758939538,30760.000000447617,1.12e+19,5.340158270673186e+18,6.8421148984000006e+22,6.478743999997078e+18,-9.14,0.0,0.0,0.0,5.2e+18,1.0990000000000001e-07,2.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
