source	case	temperature	pu_m_percent	om	exp_mu	sci_mu	residual
Chilton1979	Chilton1979/T_1722K_q_23p16	1722.0	23.16	2.0027	-195.82	-232.5886074074104	-36.7686074074104
Chilton1979	Chilton1979/T_1722K_q_23p16	1722.0	23.16	2.0027	-195.82	-232.5886074074104	-36.7686074074104
Chilton1979	Chilton1979/T_1722K_q_23p16	1722.0	23.16	2.0037	-192.17	-223.6292407407435	-31.459240740743525
Chilton1979	Chilton1979/T_1722K_q_23p16	1722.0	23.16	2.0037	-192.17	-223.6292407407435	-31.459240740743525
Chilton1979	Chilton1979/T_1722K_q_23p16	1722.0	23.16	2.0068	-183.09	-206.25072777777757	-23.160727777777566
Chilton1979	Chilton1979/T_1722K_q_23p16	1722.0	23.16	2.0068	-183.09	-206.25072777777757	-23.160727777777566
Chilton1979	Chilton1979/T_1722K_q_23p16	1722.0	23.16	2.0209	-166.63	-174.1184	-7.488400000000013
Chilton1979	Chilton1979/T_1722K_q_23p16	1722.0	23.16	2.0209	-166.63	-174.1184	-7.488400000000013
Chilton1979	Chilton1979/T_1815K_q_31p59	1815.0	31.59	1.999	-277.63	-324.7526	-47.12259999999998
Chilton1979	Chilton1979/T_1815K_q_31p59	1815.0	31.59	1.999	-267.33	-324.7526	-57.42259999999999
Chilton1979	Chilton1979/T_1815K_q_31p59	1815.0	31.59	1.9998	-218.13	-292.9915571428589	-74.86155714285889
Chilton1979	Chilton1979/T_1815K_q_31p59	1815.0	31.59	1.9999	-253.85	-287.29767142857514	-33.44767142857515
Chilton1979	Chilton1979/T_1815K_q_31p59	1815.0	31.59	2.0	-245.72	-281.40332380952253	-35.683323809522534
Chilton1979	Chilton1979/T_1815K_q_31p59	1815.0	31.59	2.0002	-237.01	-269.82364285713936	-32.81364285713937
Chilton1979	Chilton1979/T_1815K_q_31p59	1815.0	31.59	2.0003	-237.01	-264.48962380951093	-27.47962380951094
Chilton1979	Chilton1979/T_1815K_q_31p59	1815.0	31.59	2.0003	-223.83	-264.48962380951093	-40.65962380951092
Chilton1979	Chilton1979/T_1815K_q_31p59	1815.0	31.59	2.0003	-205.28	-264.48962380951093	-59.20962380951093
Chilton1979	Chilton1979/T_1815K_q_31p59	1815.0	31.59	2.0004	-236.18	-259.58433333333335	-23.40433333333334
Chilton1979	Chilton1979/T_1815K_q_31p59	1815.0	31.59	2.0004	-215.7	-259.58433333333335	-43.88433333333336
Chilton1979	Chilton1979/T_1815K_q_31p59	1815.0	31.59	2.0005	-208.84	-255.1201999999921	-46.28019999999211
Chilton1979	Chilton1979/T_1815K_q_31p59	1815.0	31.59	2.0013	-196.86	-230.95430476190617	-34.09430476190616
Chilton1979	Chilton1979/T_1815K_q_31p59	1815.0	31.59	2.0015	-201.43	-226.89783333333583	-25.46783333333582
Chilton1979	Chilton1979/T_1815K_q_31p59	1815.0	31.59	2.002	-189.45	-218.56808571428664	-29.11808571428665
Chilton1979	Chilton1979/T_1815K_q_31p59	1815.0	31.59	2.0025	-184.81	-211.9975	-27.1875
Chilton1979	Chilton1979/T_1815K_q_31p59	1815.0	31.59	2.0031	-178.19	-205.60626190476373	-27.41626190476373
Chilton1979	Chilton1979/T_1815K_q_31p59	1815.0	31.59	2.0041	-172.62	-197.25505714285435	-24.63505714285435
Chilton1979	Chilton1979/T_1815K_q_31p59	1815.0	31.59	2.0059	-170.86	-186.3282857142867	-15.46828571428668
Chilton1979	Chilton1979/T_1815K_q_31p59	1815.0	31.59	2.0094	-164.08	-172.30454761904824	-8.224547619048224
Chilton1979	Chilton1979/T_1815K_q_31p59	1815.0	31.59	2.0095	-164.29	-171.9855	-7.69550000000001
Chilton1979	Chilton1979/T_1822K_q_23p16	1822.0	23.16	1.9996	-272.94	-321.2931	-48.35309999999998
Chilton1979	Chilton1979/T_1822K_q_23p16	1822.0	23.16	1.9996	-272.94	-321.2931	-48.35309999999998
Chilton1979	Chilton1979/T_1822K_q_23p16	1822.0	23.16	1.9997	-261.21	-316.78717766990184	-55.57717766990186
Chilton1979	Chilton1979/T_1822K_q_23p16	1822.0	23.16	1.9997	-261.21	-316.78717766990184	-55.57717766990186
Chilton1979	Chilton1979/T_1822K_q_23p16	1822.0	23.16	1.9999	-235.84	-307.3580825242683	-71.5180825242683
Chilton1979	Chilton1979/T_1822K_q_23p16	1822.0	23.16	1.9999	-235.84	-307.3580825242683	-71.5180825242683
Chilton1979	Chilton1979/T_1822K_q_23p16	1822.0	23.16	2.0	-245.22	-302.40827669902444	-57.18827669902444
Chilton1979	Chilton1979/T_1822K_q_23p16	1822.0	23.16	2.0	-245.22	-302.40827669902444	-57.18827669902444
Chilton1979	Chilton1979/T_1822K_q_23p16	1822.0	23.16	2.0002	-240.28	-292.5710883495076	-52.29108834950759
Chilton1979	Chilton1979/T_1822K_q_23p16	1822.0	23.16	2.0002	-240.28	-292.5710883495076	-52.29108834950759
Chilton1979	Chilton1979/T_1822K_q_23p16	1822.0	23.16	2.0005	-225.88	-279.6827300970877	-53.802730097087704
Chilton1979	Chilton1979/T_1822K_q_23p16	1822.0	23.16	2.0005	-225.88	-279.6827300970877	-53.802730097087704
Chilton1979	Chilton1979/T_1822K_q_23p16	1822.0	23.16	2.0006	-246.14	-275.8963223301049	-29.756322330104922
Chilton1979	Chilton1979/T_1822K_q_23p16	1822.0	23.16	2.0006	-246.14	-275.8963223301049	-29.756322330104922
Chilton1979	Chilton1979/T_1822K_q_23p16	1822.0	23.16	2.0007	-242.12	-272.5225067961153	-30.40250679611529
Chilton1979	Chilton1979/T_1822K_q_23p16	1822.0	23.16	2.0007	-214.32	-272.5225067961153	-58.2025067961153
Chilton1979	Chilton1979/T_1822K_q_23p16	1822.0	23.16	2.0007	-242.12	-272.5225067961153	-30.40250679611529
Chilton1979	Chilton1979/T_1822K_q_23p16	1822.0	23.16	2.0007	-214.32	-272.5225067961153	-58.2025067961153
Chilton1979	Chilton1979/T_1822K_q_23p16	1822.0	23.16	2.0015	-209.72	-252.6840747572792	-42.96407475727921
Chilton1979	Chilton1979/T_1822K_q_23p16	1822.0	23.16	2.0015	-209.72	-252.6840747572792	-42.96407475727921
Chilton1979	Chilton1979/T_1822K_q_23p16	1822.0	23.16	2.002	-197.11	-244.4526427184513	-47.34264271845129
Chilton1979	Chilton1979/T_1822K_q_23p16	1822.0	23.16	2.002	-197.11	-244.4526427184513	-47.34264271845129
Chilton1979	Chilton1979/T_1822K_q_23p16	1822.0	23.16	2.0026	-192.01	-236.7597611650455	-44.7497611650455
Chilton1979	Chilton1979/T_1822K_q_23p16	1822.0	23.16	2.0026	-192.01	-236.7597611650455	-44.7497611650455
Chilton1979	Chilton1979/T_1822K_q_23p16	1822.0	23.16	2.0027	-194.98	-235.6267271844653	-40.646727184465306
Chilton1979	Chilton1979/T_1822K_q_23p16	1822.0	23.16	2.0027	-194.98	-235.6267271844653	-40.646727184465306
Chilton1979	Chilton1979/T_1822K_q_23p16	1822.0	23.16	2.0037	-186.44	-226.2530815533992	-39.8130815533992
Chilton1979	Chilton1979/T_1822K_q_23p16	1822.0	23.16	2.0037	-186.44	-226.2530815533992	-39.8130815533992
Chilton1979	Chilton1979/T_1822K_q_23p16	1822.0	23.16	2.0052	-182.17	-216.03973592233012	-33.869735922330136
Chilton1979	Chilton1979/T_1822K_q_23p16	1822.0	23.16	2.0052	-182.17	-216.03973592233012	-33.869735922330136
Chilton1979	Chilton1979/T_1822K_q_23p16	1822.0	23.16	2.0059	-179.36	-212.23700388349545	-32.87700388349543
Chilton1979	Chilton1979/T_1822K_q_23p16	1822.0	23.16	2.0059	-179.36	-212.23700388349545	-32.87700388349543
Chilton1979	Chilton1979/T_1822K_q_23p16	1822.0	23.16	2.009	-172.54	-199.48603883495142	-26.946038834951423
Chilton1979	Chilton1979/T_1822K_q_23p16	1822.0	23.16	2.0202	-159.18	-175.0182	-15.8382
ChiltonAndKirkham1975	ChiltonAndKirkham1975/T_1518K_q_14p98	1518.0	14.98	2.002	-221.4	-253.8542	-32.454199999999986
ChiltonAndKirkham1975	ChiltonAndKirkham1975/T_1518K_q_14p98	1518.0	14.98	2.005	-206.2	-230.78250000000077	-24.582500000000778
ChiltonAndKirkham1975	ChiltonAndKirkham1975/T_1518K_q_14p98	1518.0	14.98	2.013	-196.0	-206.6502000000003	-10.650200000000297
ChiltonAndKirkham1975	ChiltonAndKirkham1975/T_1518K_q_14p98	1518.0	14.98	2.021	-190.6	-194.54301111111135	-3.9430111111113604
ChiltonAndKirkham1975	ChiltonAndKirkham1975/T_1518K_q_14p98	1518.0	14.98	2.024	-187.5	-191.17197777777767	-3.67197777777767
ChiltonAndKirkham1975	ChiltonAndKirkham1975/T_1518K_q_14p98	1518.0	14.98	2.034	-182.2	-182.3801777777779	-0.18017777777791366
ChiltonAndKirkham1975	ChiltonAndKirkham1975/T_1518K_q_14p98	1518.0	14.98	2.047	-175.6	-174.2072	1.392799999999994
ChiltonAndKirkham1975	ChiltonAndKirkham1975/T_1518K_q_31p03	1518.0	31.03	2.009	-179.4	-174.8758	4.5242000000000075
ChiltonAndKirkham1975	ChiltonAndKirkham1975/T_1518K_q_31p44	1518.0	31.44	2.003	-205.6	-201.5531	4.046899999999994
