T_K,burnup_percent_fima,fgr_percent,swelling_total_percent,swelling_gas_total_percent,swelling_solid_percent,F_c
1600.0,5.743478260869566,20.199105860776243,12.125761688977628,9.254022558542845,2.8717391304347832,0.5
1600.0,6.0,20.413324774149793,12.501961213887215,9.501961213887215,3.0,0.5
1800.0,0.1,0.0,0.32724647568938336,0.2772464756893834,0.05,0.02278457292477952
1800.0,0.35652173913043483,0.0,1.8156305828566133,1.6373697132913958,0.1782608695652174,0.11866933036769602
1800.0,0.6130434782608696,0.0,3.9300576453598666,3.623535906229432,0.3065217391304348,0.2655979402311864
1800.0,0.8695652173913043,0.0,6.565587415416878,6.130804806721225,0.43478260869565216,0.4550064359721095
1800.0,1.1260869565217393,7.487076427912701,8.634850179137924,8.071806700877055,0.5630434782608696,0.5
1800.0,1.3826086956521741,12.53405179270566,10.368920777351628,9.677616429525541,0.6913043478260871,0.5
1800.0,1.6391304347826088,16.5217803867273,11.912440407408054,11.09287519001675,0.8195652173913044,0.5
1800.0,1.8956521739130436,19.774380284830823,13.236974632056015,12.289148545099494,0.947826086956522,0.5
1800.0,2.1521739130434785,22.48092042600571,14.354800305606169,13.27871334908443,1.0760869565217392,0.5
1800.0,2.4086956521739133,24.767605660152192,15.299223583539776,14.094875757452819,1.2043478260869567,0.5
1800.0,2.665217391304348,26.722413221557186,16.105829291888774,14.773220596236602,1.332608695652174,0.5
1800.0,2.921739130434783,28.410858758958884,16.806401781685647,15.345532216468255,1.4608695652173913,0.5
1800.0,3.1782608695652175,29.883592994137246,17.42811556233413,15.838985127551524,1.5891304347826085,0.5
1800.0,3.4347826086956523,31.178180672318963,17.991511803773037,16.27412049942521,1.7173913043478262,0.5
1800.0,3.691304347826087,32.3247809661599,18.511702914920093,16.666050741007048,1.8456521739130438,0.5
1800.0,3.947826086956522,33.34773610552442,19.000839620354807,17.026926576876544,1.973913043478261,0.5
1800.0,4.2043478260869565,34.26551918165926,19.46681536439962,17.36464145135614,2.1021739130434782,0.5
1800.0,4.460869565217391,35.09371297069209,19.915527081446758,17.68509229883806,2.2304347826086954,0.5
1800.0,4.717391304347826,35.845159224283094,20.35172719394689,17.993031541772975,2.358695652173913,0.5
1800.0,4.973913043478261,36.529837896179735,20.77833307076102,18.291376549021887,2.4869565217391303,0.5
1800.0,5.230434782608696,37.15652167324522,21.197562051986942,18.582344660682594,2.615217391304348,0.5
1800.0,5.48695652173913,37.73248646758951,21.61135416559352,18.867875904723956,2.7434782608695647,0.5
1800.0,5.743478260869566,38.26354294012134,22.020813683334573,19.14907455289979,2.8717391304347832,0.5
1800.0,6.0,38.75500304157107,22.426828223014898,19.426828223014898,3.0,0.5
2000.0,0.1,0.0,0.3591484648121738,0.3091484648121738,0.05,0.024369519172117174
2000.0,0.35652173913043483,0.0,2.0470458876006354,1.8687850180354182,0.1782608695652174,0.12877214497217665
2000.0,0.6130434782608696,0.0,4.520402839520317,4.213881100389882,0.3065217391304348,0.28992247859979575
2000.0,0.8695652173913043,0.0,7.739086527675977,7.304303918980325,0.43478260869565216,0.49956502551403725
2000.0,1.1260869565217393,7.3668751115792235,10.36865215126583,9.80560867300496,0.5630434782608696,0.5
2000.0,1.3826086956521741,12.704298658114485,13.395641722512018,12.704337374685931,0.6913043478260871,0.5
2000.0,1.6391304347826088,17.1092560845828,17.03069610254269,16.211130885151388,0.8195652173913044,0.5
2000.0,1.8956521739130436,20.91145614568297,22.012958719248786,21.065132632292265,0.947826086956522,0.5
2000.0,2.1521739130434785,24.313974884446964,32.52684074796854,31.4507537914468,1.0760869565217392,0.5
2000.0,2.4086956521739133,27.49853472120139,50.448743046682154,49.244395220595194,1.2043478260869567,0.5
2000.0,2.665217391304348,30.467279797878685,57.474749521509956,56.14214082585778,1.332608695652174,0.5
2000.0,2.921739130434783,33.19502062463746,60.69677996337549,59.2359103981581,1.4608695652173913,0.5
2000.0,3.1782608695652175,35.70480336228302,62.69606521377341,61.1069347789908,1.5891304347826085,0.5
