Time (s),Average dC (atm/m^3)
1570000.0,5.592410299077986e+24
1580000.0,5.592410874634105e+24
1590000.0,5.592418583635175e+24
1600000.0,5.592420929914705e+24
1610000.0,5.592425026513887e+24
1620000.0,5.592428789396704e+24
1630000.0,5.59243276970114e+24
1640000.0,5.592436224596372e+24
1650000.0,5.592439096910961e+24
1660000.0,5.5924423965574e+24
1670000.0,5.592446840464412e+24
1680000.0,5.592447986692902e+24
1690000.0,5.592449538942893e+24
1700000.0,5.59245433013611e+24
1710000.0,5.592455803618681e+24
1720000.0,5.592457733257176e+24
1730000.0,5.592459367797534e+24
1740000.0,5.592461455905125e+24
1750000.0,5.59246408214814e+24
1760000.0,5.59246879220775e+24
1770000.0,5.592468244480422e+24
1780000.0,5.592468829237764e+24
1790000.0,5.592469915599169e+24
1800000.0,5.592471871214185e+24
1810000.0,5.592471862606045e+24
1820000.0,5.592471231508742e+24
1830000.0,5.59247087183305e+24
1840000.0,5.592466553495276e+24
1850000.0,5.592468252074007e+24
1860000.0,5.592469354254399e+24
1870000.0,5.592470640914451e+24
1880000.0,5.592471701098542e+24
1890000.0,5.592472172609622e+24
1900000.0,5.592473344299034e+24
1910000.0,5.592475322773256e+24
1920000.0,5.592476074157441e+24
1930000.0,5.592475467737866e+24
1940000.0,5.592475523229783e+24
1950000.0,5.59247616305596e+24
1960000.0,5.592477332163451e+24
1970000.0,5.592478176225342e+24
1980000.0,5.592480946564802e+24
1990000.0,5.592479983105928e+24
2000000.0,5.592482406597651e+24
2010000.0,5.592482475524303e+24
2020000.0,5.592482257806356e+24
2030000.0,5.592484387789491e+24
2040000.0,5.592483577026006e+24
2050000.0,5.592484195907402e+24
2060000.0,5.592484118572831e+24
2070000.0,5.592484993908888e+24
2080000.0,5.592484860148209e+24
2090000.0,5.592484626354658e+24
2100000.0,5.592485309792852e+24
2110000.0,5.592485743303597e+24
2120000.0,5.592486281339588e+24
2130000.0,5.592486039887168e+24
2140000.0,5.592486435279683e+24
2150000.0,5.592486597606501e+24
2160000.0,5.59248676689126e+24
2170000.0,5.592485286128877e+24
2180000.0,5.592485829607908e+24
2190000.0,5.592485512141906e+24
2200000.0,5.592486145702409e+24
2210000.0,5.592485750272313e+24
2220000.0,5.592485842309954e+24
2230000.0,5.592486498831308e+24
2240000.0,5.592486425990191e+24
2250000.0,5.592486359352808e+24
2260000.0,5.592486366004749e+24
2270000.0,5.59248454737279e+24
2280000.0,5.592485327876503e+24
2290000.0,5.592483537107601e+24
2300000.0,5.592484413075537e+24
2310000.0,5.59248461030605e+24
2320000.0,5.592490152947012e+24
2330000.0,5.592488880193731e+24
2340000.0,5.592487826431822e+24
2350000.0,5.592487974391981e+24
2360000.0,5.592487856092483e+24
2370000.0,5.592488167459096e+24
2380000.0,5.592488221887951e+24
2390000.0,5.592488694132408e+24
2400000.0,5.592487105153395e+24
2410000.0,5.592486017147151e+24
2420000.0,5.592486139586101e+24
2430000.0,5.592489015791565e+24
2440000.0,5.592487482977023e+24
2450000.0,5.592487476627371e+24
2460000.0,5.592487981045299e+24
2470000.0,5.592488024649105e+24
2480000.0,5.592488900116156e+24
2490000.0,5.592488291704478e+24
2500000.0,5.592487566375146e+24
2510000.0,5.59248717901959e+24
2520000.0,5.592487360812705e+24
2530000.0,5.592487394865306e+24
2540000.0,5.592488701321938e+24
2550000.0,5.592486928241756e+24
2560000.0,5.592486715291696e+24
2570000.0,5.592487651586618e+24
2580000.0,5.592484248236983e+24
2590000.0,5.592485064434153e+24
2600000.0,5.592484722313681e+24
2610000.0,5.592485155392388e+24
2620000.0,5.592486085358398e+24
2630000.0,5.592484531139104e+24
2640000.0,5.592484891041903e+24
2650000.0,5.592486244573872e+24
2660000.0,5.592485774925076e+24
2670000.0,5.59248472688043e+24
2680000.0,5.592484807332434e+24
2690000.0,5.592481809631773e+24
2700000.0,5.592482454791435e+24
2710000.0,5.592476715497801e+24
2720000.0,5.592476668193018e+24
2730000.0,5.592477653754504e+24
2740000.0,5.592478364051326e+24
2750000.0,5.592480121426953e+24
2760000.0,5.592479975188332e+24
2770000.0,5.592480535209507e+24
2780000.0,5.592480260615029e+24
2790000.0,5.592479970409158e+24
2800000.0,5.592480076215855e+24
2810000.0,5.592479551900479e+24
2820000.0,5.592478629721601e+24
2830000.0,5.592478958883515e+24
2840000.0,5.5924795369157e+24
2850000.0,5.592479083935058e+24
2860000.0,5.592479531123602e+24
2870000.0,5.592471457930237e+24
2880000.0,5.592472173454147e+24
2890000.0,5.592474075667773e+24
2900000.0,5.592478397231516e+24
2910000.0,5.592478281207988e+24
2920000.0,5.592477622275275e+24
2930000.0,5.5924770315273e+24
2940000.0,5.592478294044076e+24
2950000.0,5.592478423204901e+24
2960000.0,5.592478921295279e+24
2970000.0,5.592482793799427e+24
2980000.0,5.592481870176332e+24
2990000.0,5.592481540591103e+24
3000000.0,5.592480958068837e+24
3010000.0,5.592481388487627e+24
3020000.0,5.592481398905328e+24
3030000.0,5.592484103849185e+24
3040000.0,5.592482345983182e+24
3050000.0,5.592482599038383e+24
3060000.0,5.592477868613354e+24
3070000.0,5.592485202927122e+24
3080000.0,5.592483588676467e+24
3090000.0,5.592483195059424e+24
3100000.0,5.592483453119781e+24
