number,value,params_Dg_dislocation_scale,params_Dv_dislocation_scale,params_K_d,params_f_n,params_first_gas_pressure_factor,params_rho_T_amp_scale,params_rho_T_shift,params_rho_T_tau_scale,params_rho_blank_def_scale,params_rho_blank_scale,params_rho_const_scale,params_rho_mode,user_attrs_error,user_attrs_failed,user_attrs_first_gas_pressure_factor,user_attrs_max_Rd_nm,user_attrs_max_f_cap_step,user_attrs_max_psi_d,user_attrs_min_Nd,user_attrs_rho_cfg,user_attrs_score_Nd_drop,user_attrs_score_guards,user_attrs_score_partition,user_attrs_score_pressure,user_attrs_score_radius_T,user_attrs_score_swelling_T,user_attrs_score_swelling_burnup,state
10,10.957547682553201,25.122612947082537,1.2158667412150401,1471393.297650675,5.344971202602969e-07,0.9260522464337679,,,,,4.787458198855821,,blank_sat,,,0.9260522464337679,46.375527221169335,0.002549303499119625,0.5676707395183744,1.606308669886942e+20,"{""rho_mode"": ""blank_sat"", ""rho_blank_scale"": 4.787458198855821, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.9260522464337679}",0.14043556826315134,0.0,8.784629877408195,0.00804607948396919,1.313013118403295,0.6866893648487729,0.4569404291877954,COMPLETE
11,11.054431961944454,5.21825233844401,23.026243414616125,973699.8263438576,4.920321544254711e-07,0.5774219397673025,0.3045475860606106,77.67721457565816,1.9020717719905724,7.528853480756505,,,blank_sat_deformed,,,0.5774219397673025,53.08005836132525,0.00392335220284683,0.5893108755590376,1.7968555480954847e+20,"{""rho_mode"": ""blank_sat_deformed"", ""rho_blank_def_scale"": 7.528853480756505, ""rho_T_shift"": 77.67721457565816, ""rho_T_tau_scale"": 1.9020717719905724, ""rho_T_amp_scale"": 0.3045475860606106, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.5774219397673025}",0.158014682431927,0.0,8.632821175695785,0.0004273076429688539,1.1794910337953546,1.0555932612774248,0.514987490155117,COMPLETE
12,10.985504429668698,6.793015403522425,5.37589736286982,2096472.089674888,9.781710785292485e-08,0.43702268703255115,2.9368803012636406,-15.591313451847917,0.30664306072202174,4.1125678462594,,,blank_sat_deformed,,,0.43702268703255115,40.323938220255215,0.001735238430838708,0.5419563194727971,1.2845789077258484e+19,"{""rho_mode"": ""blank_sat_deformed"", ""rho_blank_def_scale"": 4.1125678462594, ""rho_T_shift"": -15.591313451847917, ""rho_T_tau_scale"": 0.30664306072202174, ""rho_T_amp_scale"": 2.9368803012636406, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.43702268703255115}",0.15483810606819234,0.0,8.531630377624834,0.0012822630202834657,1.4725558419186522,0.8355554028211475,0.3783764102338047,COMPLETE
13,1004.5460040483783,29.198804825159932,2.2572883799677568,565914.9473006978,2.831881270476306e-06,0.7714323918375825,,,,,0.5140195124343939,,blank_sat,,,0.7714323918375825,37311.63594217765,0.2626132079310995,0.9075328972437418,3435307734957.6167,"{""rho_mode"": ""blank_sat"", ""rho_blank_scale"": 0.5140195124343939, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.7714323918375825}",0.7698173755132801,497.6009482927195,7.3157945700194995,0.42966469544106317,0.014882669496710244,1.0165376697246769,1.3775479438488352,COMPLETE
14,12.197824892744073,8.165880163149442,3.0538580052745647,2836979.842171666,1.2350885159610107e-06,0.8762984562645653,,,,,8.778388606821643,,blank_sat,,,0.8762984562645653,24.461067462284706,0.0006954330262450154,0.474007539318684,5.6506345383026786e+20,"{""rho_mode"": ""blank_sat"", ""rho_blank_scale"": 8.778388606821643, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.8762984562645653}",0.22039819905353797,0.0,8.706722079637363,0.00034617287679395683,2.834511062562438,0.5629512183139407,0.16404906514276746,COMPLETE
15,10.139170405468688,6.1244851864424765,18.139390498632505,2529777.045612384,3.5208224880784043e-07,0.2565631373085123,,,,,2.0095223509791573,,blank_sat,,,0.2565631373085123,63.24670449916528,0.00741353324248102,0.6156799935079866,1.1594170923549444e+20,"{""rho_mode"": ""blank_sat"", ""rho_blank_scale"": 2.0095223509791573, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.2565631373085123}",0.1392657675160848,0.0,7.933880012535637,0.0005232279121084722,1.0522143034434877,0.9695625644764488,0.5171238119926318,COMPLETE
16,1000000000.0,4.22333550909041,18.750651774714814,2126854.227529937,3.9307395286193983e-07,0.12358611330726046,,,,,1.5793987989023508,,blank_sat,"FloatingPointError('Non-finite swelling_d_percent at T=2200.0, bu=3.2: inf')",True,,,,,,,,,,,,,,COMPLETE
17,10.669869289690658,10.038296395813491,22.091427523812335,2760327.2800547103,2.58068229754189e-07,0.5373382816885235,,,,,2.0406420177954785,,blank_sat,,,0.5373382816885235,56.69560297483393,0.0048886637105728225,0.5986551273290754,1.2740585720318103e+20,"{""rho_mode"": ""blank_sat"", ""rho_blank_scale"": 2.0406420177954785, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.5373382816885235}",0.1519042750993567,0.0,8.351428628262687,0.0005459591954207048,1.0693156959873793,1.0555731465549185,0.5420833489012704,COMPLETE
18,1000000000.0,4.93099016991486,23.311819072214547,2659750.380885695,1.470458588011073e-07,0.6329567055791655,,,,,1.2102343255891437,,blank_sat,"FloatingPointError('Non-finite swelling_d_percent at T=2200.0, bu=3.2: nan')",True,,,,,,,,,,,,,,COMPLETE
19,9950029847860.168,18.568040595876692,10.068255713633462,1666361.505991355,5.092481104394327e-07,0.15822399927885056,,,,,1.6707586026269685,,blank_sat,,,0.15822399927885056,3658517210.47941,0.4156470421402579,5.897500306923588,0.0046367042193107165,"{""rho_mode"": ""blank_sat"", ""rho_blank_scale"": 1.6707586026269685, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.15822399927885056}",0.736235317891588,4975014923923.808,8.524004652418457,1.7749496239871623,0.4986475969167407,1.2861810288702544,1.0725693997775767,COMPLETE
