Time (h)	Temperature (K)	Fission rate (fiss / m3 s)	Hydrostatic stress (MPa)	Grain radius (m)	Xe produced (at/m3)	Xe in grain (at/m3)	Xe in intragranular solution (at/m3)	Xe in intragranular bubbles (at/m3)	Xe at grain boundary (at/m3)	Xe released (at/m3)	Kr produced (at/m3)	Kr in grain (at/m3)	Kr in intragranular solution (at/m3)	Kr in intragranular bubbles (at/m3)	Kr at grain boundary (at/m3)	Kr released (at/m3)	Fission gas release (/)	Cs produced (at/m3)	Cs in grain (at/m3)	Cs in intragranular solution (at/m3)	Cs in intragranular bubbles (at/m3)	Cs at grain boundary (at/m3)	Cs released (at/m3)	Cs reacted (at/m3)	I produced (at/m3)	I in grain (at/m3)	I in intragranular solution (at/m3)	I in intragranular bubbles (at/m3)	I at grain boundary (at/m3)	I released (at/m3)	I reacted (at/m3)	CsI (1/m3)	CsO2 (1/m3)	Cs2O2 (1/m3)	Cs2O (1/m3)	Intragranular bubble concentration (bub/m3)	Intragranular bubble radius (m)	Intragranular gas bubble swelling (/)	Intergranular bubble concentration (bub/m2)	Intergranular atoms per bubble (at/bub)	Intergranular vacancies per bubble (vac/bub)	Intergranular bubble radius (m)	Intergranular bubble area (m2)	Intergranular bubble volume (m3)	Intergranular fractional coverage (/)	Intergranular saturation fractional coverage (/)	Intergranular gas swelling (/)	Intergranular fractional intactness (/)	Burnup (MWd/kgUO2)	U235 (at/m3)	U238 (at/m3)	
42000	973	1e+19	0	5e-06	3.6288e+26	2.746537e+26	2.708752e+26	3.778531e+24	5.04284e+25	3.779788e+25	4.536e+25	3.433172e+25	3.38594e+25	4.723164e+23	6.30355e+24	4.724734e+24	0.1041608	3.41712e+26	2.586323e+26	2.550741e+26	3.558117e+24	4.748674e+25	3.5593e+25	0	1.8144e+25	1.373269e+25	1.354376e+25	1.889265e+23	2.52142e+24	1.889894e+24	0	0	0	0	0	5.859469e+23	5.080897e-10	0.0003219348	3.978066e+12	4.472026e+07	1.747142e+08	2.611079e-07	1.256892e-13	1.257286e-20	0.5	0.5	0.03000941	1	51.99208	1.067289e+27	2.236414e+28	
43000	973	1e+19	0	5e-06	3.7152e+26	2.802294e+26	2.763918e+26	3.837641e+24	5.16899e+25	3.96007e+25	4.644e+25	3.502868e+25	3.454897e+25	4.797051e+23	6.461237e+24	4.950087e+24	0.106591	3.49848e+26	2.638827e+26	2.602689e+26	3.613778e+24	4.867466e+25	3.729066e+25	0	1.8576e+25	1.401147e+25	1.381959e+25	1.91882e+23	2.584495e+24	1.980035e+24	0	0	0	0	0	5.831567e+23	5.116131e-10	0.0003271137	3.862967e+12	4.720478e+07	1.811832e+08	2.649693e-07	1.294342e-13	1.313895e-20	0.5	0.5	0.0304532	1	53.22998	1.067289e+27	2.236414e+28	
44000	973	1e+19	0	5e-06	3.8016e+26	2.857735e+26	2.818774e+26	3.896057e+24	5.296048e+25	4.142602e+25	4.752e+25	3.572169e+25	3.523468e+25	4.870071e+23	6.62006e+24	5.178252e+24	0.1089699	3.57984e+26	2.691034e+26	2.654346e+26	3.668787e+24	4.987112e+25	3.90095e+25	0	1.9008e+25	1.428868e+25	1.409387e+25	1.948028e+23	2.648024e+24	2.071301e+24	0	0	0	0	0	5.804412e+23	5.150678e-10	0.000332231	3.753206e+12	4.977952e+07	1.877381e+08	2.688159e-07	1.332194e-13	1.371951e-20	0.5	0.5	0.03089529	1	54.46789	1.067289e+27	2.236414e+28	
45000	973	1e+19	0	5e-06	3.888e+26	2.912865e+26	2.873327e+26	3.953797e+24	5.423962e+25	4.32739e+25	4.86e+25	3.641081e+25	3.591659e+25	4.942246e+23	6.779952e+24	5.409237e+24	0.1113012	3.6612e+26	2.742948e+26	2.705716e+26	3.723159e+24	5.107564e+25	4.074959e+25	0	1.944e+25	1.456432e+25	1.436663e+25	1.976899e+23	2.711981e+24	2.163695e+24	0	0	0	0	0	5.777971e+23	5.184565e-10	0.0003372881	3.648434e+12	5.244588e+07	1.943792e+08	2.726483e-07	1.370451e-13	1.431471e-20	0.5	0.5	0.03133576	1	55.7058	1.067289e+27	2.236414e+28	
46000	973	1e+19	0	5e-06	3.9744e+26	2.967688e+26	2.927579e+26	4.010879e+24	5.552683e+25	4.514438e+25	4.968e+25	3.70961e+25	3.659474e+25	5.013598e+23	6.940854e+24	5.643048e+24	0.1135879	3.74256e+26	2.794573e+26	2.756804e+26	3.776911e+24	5.228777e+25	4.251096e+25	0	1.9872e+25	1.483844e+25	1.46379e+25	2.005439e+23	2.776342e+24	2.257219e+24	0	0	0	0	0	5.752211e+23	5.217818e-10	0.0003422868	3.548329e+12	5.520523e+07	2.011068e+08	2.764675e-07	1.409114e-13	1.492472e-20	0.5	0.5	0.0317747	1	56.9437	1.067289e+27	2.236414e+28	
47000	973	1e+19	0	5e-06	4.0608e+26	3.022208e+26	2.981535e+26	4.067318e+24	5.682168e+25	4.703749e+25	5.076e+25	3.77776e+25	3.726919e+25	5.084148e+23	7.10271e+24	5.879687e+24	0.1158331	3.82392e+26	2.845913e+26	2.807612e+26	3.830058e+24	5.350708e+25	4.429364e+25	0	2.0304e+25	1.511104e+25	1.490768e+25	2.033659e+23	2.841084e+24	2.351875e+24	0	0	0	0	0	5.727099e+23	5.25046e-10	0.0003472285	3.452599e+12	5.805894e+07	2.079208e+08	2.802741e-07	1.448184e-13	1.554973e-20	0.5	0.5	0.0322122	1	58.18161	1.067289e+27	2.236414e+28	
48000	973	1e+19	0	5e-06	4.1472e+26	3.07643e+26	3.035199e+26	4.123131e+24	5.812376e+25	4.895322e+25	5.184e+25	3.845538e+25	3.793999e+25	5.153914e+23	7.26547e+24	6.119152e+24	0.1180392	3.90528e+26	2.896972e+26	2.858146e+26	3.882615e+24	5.473321e+25	4.609761e+25	0	2.0736e+25	1.538215e+25	1.517599e+25	2.061565e+23	2.906188e+24	2.447661e+24	0	0	0	0	0	5.702609e+23	5.282513e-10	0.0003521145	3.360976e+12	6.100839e+07	2.148214e+08	2.840687e-07	1.487663e-13	1.61899e-20	0.5	0.5	0.03264832	1	59.41952	1.067289e+27	2.236414e+28	
49000	973	1e+19	0	5e-06	4.2336e+26	3.130358e+26	3.088574e+26	4.178332e+24	5.94327e+25	5.089153e+25	5.292e+25	3.912947e+25	3.860718e+25	5.222915e+23	7.429088e+24	6.361441e+24	0.1202086	3.98664e+26	2.947753e+26	2.908408e+26	3.934596e+24	5.596579e+25	4.792286e+25	0	2.1168e+25	1.565179e+25	1.544287e+25	2.089166e+23	2.971635e+24	2.544576e+24	0	0	0	0	0	5.678713e+23	5.313999e-10	0.0003569463	3.273212e+12	6.405494e+07	2.218086e+08	2.878519e-07	1.527552e-13	1.684539e-20	0.5	0.5	0.03308312	1	60.65742	1.067289e+27	2.236414e+28	
50000	973	1e+19	0	5e-06	4.32e+26	3.183994e+26	3.141665e+26	4.232936e+24	6.074817e+25	5.285239e+25	5.4e+25	3.979993e+25	3.927081e+25	5.29117e+23	7.593521e+24	6.606548e+24	0.1223435	4.068e+26	2.998261e+26	2.958401e+26	3.986015e+24	5.720452e+25	4.976933e+25	0	2.16e+25	1.591997e+25	1.570833e+25	2.116468e+23	3.037408e+24	2.642619e+24	0	0	0	0	0	5.655386e+23	5.344937e-10	0.0003617252	3.18908e+12	6.719995e+07	2.288822e+08	2.916241e-07	1.56785e-13	1.751637e-20	0.5	0.5	0.03351666	1	61.89533	1.067289e+27	2.236414e+28	
51000	973	1e+19	0	5e-06	4.4064e+26	3.237344e+26	3.194475e+26	4.286957e+24	6.206984e+25	5.483573e+25	5.508e+25	4.04668e+25	3.993093e+25	5.358696e+23	7.75873e+24	6.854467e+24	0.1244457	4.14936e+26	3.048499e+26	3.00813e+26	4.036884e+24	5.84491e+25	5.163698e+25	0	2.2032e+25	1.618672e+25	1.597237e+25	2.143478e+23	3.103492e+24	2.741787e+24	0	0	0	0	0	5.632604e+23	5.375348e-10	0.0003664523	3.108372e+12	7.044479e+07	2.360423e+08	2.953858e-07	1.608559e-13	1.820299e-20	0.5	0.5	0.033949	1	63.13324	1.067289e+27	2.236414e+28	
52000	973	1e+19	0	5e-06	4.4928e+26	3.290411e+26	3.247007e+26	4.340407e+24	6.339742e+25	5.68415e+25	5.616e+25	4.113014e+25	4.058758e+25	5.425509e+23	7.924677e+24	7.105187e+24	0.1265169	4.23072e+26	3.09847e+26	3.057598e+26	4.087217e+24	5.969924e+25	5.352574e+25	0	2.2464e+25	1.645205e+25	1.623503e+25	2.170204e+23	3.169871e+24	2.842075e+24	0	0	0	0	0	5.610344e+23	5.405247e-10	0.000371129	3.030893e+12	7.37908e+07	2.432885e+08	2.991375e-07	1.649679e-13	1.890542e-20	0.5	0.5	0.03438018	1	64.37114	1.067289e+27	2.236414e+28	
53000	973	1e+19	0	5e-06	4.5792e+26	3.343198e+26	3.299265e+26	4.393301e+24	6.473064e+25	5.88696e+25	5.724e+25	4.178997e+25	4.124081e+25	5.491626e+23	8.09133e+24	7.3587e+24	0.1285587	4.31208e+26	3.148178e+26	3.106808e+26	4.137025e+24	6.095469e+25	5.543554e+25	0	2.2896e+25	1.671599e+25	1.649632e+25	2.19665e+23	3.236532e+24	2.94348e+24	0	0	0	0	0	5.588587e+23	5.434654e-10	0.0003757563	2.956463e+12	7.723935e+07	2.506209e+08	3.028795e-07	1.69121e-13	1.962381e-20	0.5	0.5	0.03481025	1	65.60905	1.067289e+27	2.236414e+28	
