Time (h)	Location	Phase	Phase instance	Moles (mol/m3)	Form units (mol/m3)	Sublattice	Sites	Constituent	Site fraction
1.513512	at grain boundary	HCP_A3	HCP_A3	0.2251397298	0.2251397298	1	1	CS	0.004528136714
1.513512	at grain boundary	HCP_A3	HCP_A3	0.2251397298	0.2251397298	1	1	MO	0.3036326897
1.513512	at grain boundary	HCP_A3	HCP_A3	0.2251397298	0.2251397298	1	1	PD	0.2620391597
1.513512	at grain boundary	HCP_A3	HCP_A3	0.2251397298	0.2251397298	1	1	RH	0.08180058933
1.513512	at grain boundary	HCP_A3	HCP_A3	0.2251397298	0.2251397298	1	1	RU	0.2745172261
1.513512	at grain boundary	HCP_A3	HCP_A3	0.2251397298	0.2251397298	1	1	TC	0.07348188609
1.513512	at grain boundary	HCP_A3	HCP_A3	0.2251397298	0.2251397298	2	0.5	O	1.100880705e-12
1.513512	at grain boundary	HCP_A3	HCP_A3	0.2251397298	0.2251397298	2	0.5	VA	1
1.513512	at grain boundary	gas	GAS	0.007234451573	0.007234451573	1	1	BA	8.987691341e-07
1.513512	at grain boundary	gas	GAS	0.007234451573	0.007234451573	1	1	BA2	1.632525456e-15
1.513512	at grain boundary	gas	GAS	0.007234451573	0.007234451573	1	1	BA2O	6.282730566e-09
1.513512	at grain boundary	gas	GAS	0.007234451573	0.007234451573	1	1	BA2O2	2.410628468e-10
1.513512	at grain boundary	gas	GAS	0.007234451573	0.007234451573	1	1	BAMOO4	3.096792419e-15
1.513512	at grain boundary	gas	GAS	0.007234451573	0.007234451573	1	1	BAO	3.521425557e-07
1.513512	at grain boundary	gas	GAS	0.007234451573	0.007234451573	1	1	CS	0.9933597187
1.513512	at grain boundary	gas	GAS	0.007234451573	0.007234451573	1	1	CS2	0.006634760753
1.513512	at grain boundary	gas	GAS	0.007234451573	0.007234451573	1	1	CS2MOO4	2.973684008e-08
1.513512	at grain boundary	gas	GAS	0.007234451573	0.007234451573	1	1	CS2O	3.56676003e-06
1.513512	at grain boundary	gas	GAS	0.007234451573	0.007234451573	1	1	CS2O2	1.901263102e-15
1.513512	at grain boundary	gas	GAS	0.007234451573	0.007234451573	1	1	CSO	2.969506749e-09
1.513512	at grain boundary	gas	GAS	0.007234451573	0.007234451573	1	1	MO	1.017200466e-15
1.513512	at grain boundary	gas	GAS	0.007234451573	0.007234451573	1	1	MO2	1.989480208e-23
1.513512	at grain boundary	gas	GAS	0.007234451573	0.007234451573	1	1	MO2O6	1.790965128e-29
1.513512	at grain boundary	gas	GAS	0.007234451573	0.007234451573	1	1	MO3O9	1e-30
1.513512	at grain boundary	gas	GAS	0.007234451573	0.007234451573	1	1	MO4O12	1e-30
1.513512	at grain boundary	gas	GAS	0.007234451573	0.007234451573	1	1	MO5O15	1e-30
1.513512	at grain boundary	gas	GAS	0.007234451573	0.007234451573	1	1	MOO	2.698871569e-16
1.513512	at grain boundary	gas	GAS	0.007234451573	0.007234451573	1	1	MOO2	2.683195632e-16
1.513512	at grain boundary	gas	GAS	0.007234451573	0.007234451573	1	1	MOO3	3.947360729e-18
1.513512	at grain boundary	gas	GAS	0.007234451573	0.007234451573	1	1	O	2.549996627e-14
1.513512	at grain boundary	gas	GAS	0.007234451573	0.007234451573	1	1	O2	8.241425875e-18
1.513512	at grain boundary	gas	GAS	0.007234451573	0.007234451573	1	1	O3	1e-30
1.513512	at grain boundary	gas	GAS	0.007234451573	0.007234451573	1	1	PD	6.636883875e-07
1.513512	at grain boundary	gas	GAS	0.007234451573	0.007234451573	1	1	RH	4.068270621e-14
1.513512	at grain boundary	gas	GAS	0.007234451573	0.007234451573	1	1	RU	5.564783036e-15
1.513512	at grain boundary	gas	GAS	0.007234451573	0.007234451573	1	1	TC	3.515030509e-15
1.765764	at grain boundary	HALITE	HALITE#2	0.0721053441	0.03605267205	1	1	BA+2	1
1.765764	at grain boundary	HALITE	HALITE#2	0.0721053441	0.03605267205	1	1	VA	4.816096997e-12
1.765764	at grain boundary	HALITE	HALITE#2	0.0721053441	0.03605267205	2	1	O-2	1
1.765764	at grain boundary	HALITE	HALITE#2	0.0721053441	0.03605267205	2	1	VA	4.816059308e-12
