label,burnup,T,rho_d_eff,swelling_b_percent,swelling_d_percent,swelling_ig_percent,Rb_nm,Rd_nm,Nb,Nd,p_b,p_b_eq,p_d,p_d_eq,p_b_over_eq,p_d_over_eq,psi_b,psi_d,porosity_b,porosity_d,matrix_gas_percent,bulk_gas_percent,dislocation_gas_percent,qgb_gas_percent,Dg,Dv,Dv1,Dv2,A20_vU_active,g_b,g_d,b_b,b_d,max_f_cap_step,capture_fraction_sum,capture_raw_sum,capture_bubbles_cumulative,f_cap_step_final,cap_raw_step_final,term_bubbles,term_dislocation
manual_Rizk2025_capture_literalDv,1.1,1850.0,30000000000000.0,0.9607194148774262,1.5640671224596665,2.524786537337093,11.603622553126552,64.25693522730468,1.4680037926390803e+21,1.4073650262566044e+19,191338142.18023914,191319563.33772933,34542453.42534653,34548799.941156484,1.000097108953134,0.9998163028579643,0.2125847903292989,0.25008355193769966,0.009607194148774261,0.015640671224596666,0.021665873482363273,48.658454345613,20.993919191977994,30.325960588926645,5.4486968943622503e-17,2.2008564777823e-07,5.144423643212683e-18,2.2008564777308556e-07,1.32e-19,0.011847748747870914,0.0033892937947199294,5.102276561402246e-06,3.500739849585456e-06,0.00020743831362980916,0.020160289551182875,0.020160289551182875,2.9735045054547645e+18,0.0,0.0,0.000621222096768856,0.0027680716979510732
manual_Rizk2025_capture_literalDv,1.1,1900.0,30000000000000.0,0.931046731129554,2.145599756143347,3.076646487272901,13.744307495596633,71.9791151329292,8.560798632975238e+20,1.3735377236688368e+19,161540731.49986967,161521415.37223595,30840752.622730225,30842279.6793231,1.0001195886476675,0.9999504882061653,0.21037323881900674,0.277875060576406,0.00931046731129554,0.02145599756143347,0.011319877990610029,41.647453244801795,25.378557360503105,32.96266951670449,1.2303479508436633e-16,1.8308066337028267e-07,1.3094828218650803e-17,1.8308066335718783e-07,1.32e-19,0.01842550570656557,0.007746104828635192,4.823129695921277e-06,3.4586428880391795e-06,0.00023688113826010701,0.02847686926514582,0.02847686926514582,3.035019760697291e+18,0.0,0.0,0.0015330303871429593,0.006213074441492232
manual_Rizk2025_capture_literalDv,1.1,1950.0,30000000000000.0,0.8750803478904388,2.8890100149817415,3.76409036287218,16.107278485273937,80.3250526128891,4.99911145178001e+20,1.3307834217480575e+19,137850374.06320852,137825890.452545,27637748.41280531,27637703.652668074,1.0001776415924697,1.000001619531702,0.20607057216080096,0.3068430910965935,0.008750803478904388,0.028890100149817414,0.0060821544555254,34.5474232217998,30.18544061871368,35.26105400503101,2.6658594350838453e-16,1.5405234962547078e-07,3.177272929811899e-17,1.5405234959369805e-07,1.32e-19,0.027255304028384775,0.01697541978343935,4.593185863509159e-06,3.4220766188702937e-06,0.0002686995537520133,0.03962344731405027,0.03962344731405027,3.0882925273738394e+18,1.7950957142606816e-07,1.7950957142606816e-07,0.0035903684239269712,0.01338505135951238
manual_Rizk2025_capture_literalDv,1.1,2000.0,30000000000000.0,0.7873278390675006,3.807226962726736,4.594554801794237,18.620046258153252,89.24405254201446,2.911553212860512e+20,1.2787401708633074e+19,119258708.32812692,119226341.82650958,24876811.25643169,24875607.24514236,1.00027147106186,1.0000484012823272,0.1989383611752262,0.33641053615664046,0.007873278390675005,0.03807226962726736,0.003345477835600285,27.524870827618958,35.25665886689017,37.21512482765528,5.558335539509728e-16,1.3098819085617588e-07,7.374991154394395e-17,1.3098819078242597e-07,1.32e-19,0.03818286374185811,0.03575286796295569,4.407580298719132e-06,3.390442601206423e-06,0.00030342145114584394,0.05413996265661384,0.05413996265661384,3.051273375008792e+18,7.244072653931981e-06,7.244072653931981e-06,0.007989618681788007,0.02776324928116768
manual_Rizk2025_capture_literalDv,1.1,2050.0,30000000000000.0,0.6690440024731956,4.890010797681829,5.559054800155025,21.161600794739886,98.58316133636615,1.685468035302653e+20,1.2184647964238963e+19,104950209.06444345,104906997.4210941,22522158.18829473,22519058.730784167,1.0004119043001098,1.0001376370809996,0.18843065624258334,0.3656817382624377,0.006690440024731956,0.04890010797681829,0.0018752313748328303,20.87422213936163,40.33246672651875,38.79143590274478,1.11821242235531e-15,1.1244639607338635e-07,1.6429680574325228e-16,1.1244639590908954e-07,1.32e-19,0.05045127353571161,0.07252587686141174,4.261561313560587e-06,3.3633692066928066e-06,0.0003417300106800867,0.07227266964375598,0.07227266964375598,2.8698285560911124e+18,2.712276520495037e-05,2.712276520495037e-05,0.01691409729462906,0.05561177956678268
manual_Rizk2025_capture_literalDv,1.1,2100.0,30000000000000.0,0.531021964820363,6.086688659454848,6.617710624275211,23.568540360269328,108.0082084919074,9.683354151993256e+19,1.1532466205215089e+19,94249699.30443773,94193359.7102333,20559857.419716273,20553993.35844308,1.0005981270269766,1.0002853003390109,0.17446333165706815,0.39336317067957627,0.00531021964820363,0.060866886594548475,0.0010657194613114672,14.966834752937611,45.04808408183895,39.984015445762125,2.176029869185611e-15,9.737833765193801e-08,3.523153875311717e-16,9.737833729962262e-08,1.32e-19,0.06273177833648354,0.1419959283992058,4.150518013909939e-06,3.3407404756635097e-06,0.0003846188349471806,0.09354755909048373,0.09354755909048373,2.522884880012036e+18,7.163729482438273e-05,7.163729482438273e-05,0.03412385494270901,0.1078720734564968
manual_Rizk2025_capture_literalDv,1.1,2150.0,30000000000000.0,0.3925360403103331,7.306261954271148,7.698797994581481,25.683427466700333,117.02616094122732,5.531360801037102e+19,1.0883228693143757e+19,86506939.86533242,86437061.52063721,18979424.925928786,18970117.298087947,1.000808430359222,1.0004906468259833,0.1577465412727278,0.4180533869959565,0.003925360403103331,0.07306261954271148,0.0006113706672850473,10.145895149204877,49.030794722789715,40.822698757338124,4.105489742486365e-15,8.501061398940144e-08,7.291631039743342e-16,8.501061326023834e-08,1.32e-19,0.07359075406609704,0.26892537274070605,4.069168010307251e-06,3.322471717981617e-06,0.0004336057889751693,0.11653339725882704,0.11653339725882704,2.0502373717550625e+18,0.00015086896960082874,0.00015086896960082874,0.06581876141679169,0.20310661132391433
manual_Rizk2025_capture_literalDv,1.1,2200.0,30000000000000.0,0.27275026037978356,8.4518814970893,8.724631757469083,27.421748090387485,125.1732365295919,3.1578475062188966e+19,1.0287985533976383e+19,81039257.86157739,80957639.63269018,17748331.14465297,17735420.618249934,1.0010081596901481,1.0007279515203462,0.13971886787761378,0.43885171485432234,0.0027275026037978357,0.084518814970893,0.00035331094400594786,6.564225535436378,52.06543336750903,41.36998778611059,7.52553018382339e-15,7.476537918402952e-08,1.4600205963360039e-15,7.476537772400893e-08,1.32e-19,0.08215403344692374,0.4938962103340221,4.011209140907118e-06,3.308214604097658e-06,0.0004912133429520635,0.13930415603462562,0.13930415603462562,1.544566549413959e+18,0.00026289202786291876,0.00026289202786291876,0.12197827898048086,0.37191793135354123
manual_Rizk2025_capture_literalDv,1.1,2250.0,30000000000000.0,0.18143334746072304,9.466977105728194,9.648410453188918,28.79717481990159,132.24125582903073,1.8137559721542892e+19,9.772863276179194e+18,77181203.56403111,77090895.68278652,16803658.638099235,16787499.378183056,1.0011714467764934,1.0009625769480104,0.12196607214332805,0.4557609471100502,0.0018143334746072305,0.09466977105728194,0.0002058948347672756,4.118587429603724,54.1779685335195,41.70323814204202,1.3428100910342606e-14,6.620567091449314e-08,2.8345998211935383e-15,6.620566807989332e-08,1.32e-19,0.08836703171825298,0.8818225182921847,3.970055413567826e-06,3.2972590304665496e-06,0.000562296501174978,0.160418848497313,0.160418848497313,1.0964394015398258e+18,0.0003933418072642372,0.0003933418072642372,0.2184207225897751,0.6634017957024096
manual_Rizk2025_capture_literalDv,1.1,2300.0,30000000000000.0,0.1178581624451909,10.348591460226803,10.466449622671993,29.8859562928884,138.32122711768423,1.0540703213076865e+19,9.335253883258085e+18,74378348.33781305,74282381.27110782,16068427.598615969,16049597.348577712,1.001291922324824,1.0011732537352362,0.10562982376575306,0.4694907939252075,0.001178581624451909,0.10348591460226803,0.00012134253437380016,2.5476436279076835,55.55852928786977,41.893705741688194,2.3364648863441075e-14,5.899733970997382e-08,5.3468378845667e-15,5.899733436313594e-08,1.32e-19,0.0926975000392437,1.534118010035168,3.940023102737148e-06,3.2887230735302474e-06,0.0006588042173604489,0.1794606483183401,0.1794606483183401,7.496729056018296e+17,0.0005271599879723904,0.0005271599879723904,0.3797265699072872,1.1543914401278808
manual_Rizk2025_capture_literalDv,1.1,2350.0,30000000000000.0,0.07596078841212235,11.126470040197422,11.202430828609545,30.77613345478058,143.67101877402018,6.220978276541968e+18,8.956973296797835e+18,72233104.57111093,72133817.69551557,15472936.080388047,15451968.10702535,1.0013764261863203,1.0013569775201105,0.09124235538870124,0.48097126886962144,0.0007596078841212235,0.11126470040197421,7.25318914096097e-05,1.5736302589546098,56.43104431069329,41.99525289846069,3.9707129144302016e-14,5.288217396792541e-08,9.816900614352092e-15,5.288216415102479e-08,1.32e-19,0.09571846087228737,2.605599464082987,3.9169603011974025e-06,3.281803331114981e-06,0.0008026972326361334,0.19680195462381556,0.19680195462381556,5.035862905639105e+17,0.0006572926847272421,0.0006572926847272421,0.6431526781066974,1.9624467859762895
manual_Rizk2025_capture_literalDv,1.1,2400.0,30000000000000.0,0.04908780490639677,11.838317646552735,11.88740545145913,31.539346566294327,148.57346683626074,3.7353123911292887e+18,8.6174268870002e+18,70489301.19663897,70388268.67683062,14964834.75994321,14942102.700252725,1.0014353602057215,1.0015213427552,0.07888441405019038,0.49101715195609363,0.0004908780490639677,0.11838317646552735,4.406246325422344e-05,0.9786211805838668,56.9775658975858,42.04376885936708,6.600575078419067e-14,4.765868447441236e-08,1.757344397650336e-14,4.765866690096839e-08,1.32e-19,0.09788942798945038,4.327482786010647,3.8981640622573825e-06,3.275894581153698e-06,0.0009493593312815905,0.21312285638441494,0.21312285638441494,3.371744281058974e+17,0.0007843864638378532,0.0007843864638378532,1.0637561767089363,3.26372660930171
manual_Rizk2025_capture_literalDv,1.1,2450.0,30000000000000.0,0.03200171285280277,12.517127897686414,12.549129610539216,32.22522385843153,153.2682649912283,2.282952029071418e+18,8.2996419463646e+18,68991929.79554239,68890134.31691495,14508699.643557658,14484407.454648573,1.001477649588534,1.0016771268679885,0.06840025823574945,0.5002282677409702,0.00032001712852802765,0.12517127897686414,2.723123093674177e-05,0.6155796638974562,57.3228949477553,42.061498157116326,1.0746981678507251e-13,4.3168200118948265e-08,3.071974695600058e-14,4.316816939920131e-08,1.32e-19,0.0995172623012226,7.0380670830355685,3.88198878480335e-06,3.2705865396386625e-06,0.0010958816581473042,0.22910503257423778,0.22910503257423778,2.271109394535759e+17,0.0009132338960100667,0.0009132338960100667,1.7209668855020286,5.31710019753354
manual_Rizk2025_capture_literalDv,1.1,2500.0,30000000000000.0,0.021114075127019707,13.188434926221307,13.209549001348325,32.86554977757281,157.94199321348293,1.4199097731919557e+18,7.991196466705416e+18,67649905.23288016,67547934.38796848,14081586.451439569,14055793.236693729,1.0015096071528404,1.0018350593460996,0.059546652794426204,0.5090155934384885,0.00021114075127019705,0.13188434926221307,1.7124932260030533e-05,0.39254723548465587,57.54568479646612,42.061750843116975,1.716023132872419e-13,3.9284693264090303e-08,5.251410361158517e-14,3.928464074998669e-08,1.32e-19,0.10078750592555724,11.222873278142304,3.86746385467302e-06,3.2656131088769834e-06,0.0012496526864904096,0.24533350159062936,0.24533350159062936,1.547498251722475e+17,0.0010503759133746958,0.0010503759133746958,2.7267616006935564,8.496111677448747
manual_Rizk2025_capture_literalDv,1.1,2550.0,30000000000000.0,0.014118029432866393,13.871799751193686,13.885917780626553,33.479988202813615,162.742310114239,8.98110109033831e+17,7.683211211394388e+18,66410073.38776612,66308267.09232335,13668554.890307715,13641197.53763876,1.0015353484551335,1.0020054949423225,0.05207045360455266,0.5176595974560017,0.00014118029432866393,0.13871799751193686,1.0955989069844847e-05,0.25397866209191433,57.69360664850247,42.052403733416554,2.690232117149069e-13,3.5907255458890075e-08,8.790277397675398e-14,3.5907167556116096e-08,1.32e-19,0.10180385207149951,17.566116472970922,3.854021587193105e-06,3.2608007924090166e-06,0.0014189824615895527,0.26230714435867813,0.26230714435867813,1.0700876068816016e+17,0.0012034598288326287,0.0012034598288326287,4.235425108786099,13.330691364184824
manual_Rizk2025_capture_literalDv,1.1,2600.0,30000000000000.0,0.009570271291294289,14.583301647599242,14.592871918890538,34.08058973799628,167.79755591660455,5.771840694582414e+17,7.369030558231411e+18,65241171.731245555,65139717.858958684,13259328.142475968,13230228.461154351,1.0015574809904233,1.0021994844160897,0.04574125572283826,0.5263629185882496,9.570271291294289e-05,0.14583301647599242,7.127215569817858e-06,0.16672378971931046,57.795125203899886,42.03814387916523,4.1452062373149914e-13,3.295447771071851e-08,1.4425282735435381e-13,3.295433345789115e-08,1.32e-19,0.10261707580943354,27.01540084572177,3.841327738067379e-06,3.256030057833898e-06,0.001613649771833152,0.2804873049283173,0.2804873049283173,7.523387123424214e+16,0.0013818174563333626,0.0013818174563333626,6.454579899231268,20.5608209464905
manual_Rizk2025_capture_literalDv,1.3,900.0,30000000000000.0,0.8948987508316707,0.07727687448215965,0.9721756253138304,3.1511218040191573,23.106686003668067,6.827940378046702e+22,1.495367545687564e+19,704515382.3267177,704511008.482268,96076320.06563923,96076088.09188764,1.0000062083408168,1.0000024144795672,0.20761463648298836,0.09176629184800467,0.008948987508316707,0.0007727687448215965,2.6605864195446576,81.64200425372309,3.3760275625432516,12.321381764189,9.250000000033911e-20,0.0021380341391422026,2.727273770837793e-34,0.0021380341391422026,1.32e-19,0.0002667475346587176,5.2908103278889044e-06,8.554010153546377e-06,4.1695864248499626e-06,2.8743495596735396e-05,0.0009080793973072614,0.0009080793973072614,2.6572483541047526e+18,6.729704857024772e-09,6.729704857024772e-09,4.0528954647202313e-07,4.885520781416882e-06
manual_Rizk2025_capture_literalDv,1.3,950.0,30000000000000.0,0.9044591779231148,0.0807730772729329,0.9852322551960477,3.166560177788356,23.4511223374105,6.800441723395379e+22,1.4951581164534118e+19,701080651.1155401,701076207.4165069,94665214.51140168,94664978.84660028,1.000006338396577,1.000002489461301,0.20835135219487821,0.09312984417224307,0.009044591779231148,0.000807730772729329,2.654717731086371,81.66202683312763,3.3832284479475883,12.300026987838427,9.250000000968898e-20,0.0007100267559309292,1.2701816746368393e-32,0.0007100267559309292,1.32e-19,0.0002668935066329983,5.295038955321635e-06,8.537485834204098e-06,4.154859641304939e-06,2.9981665726852378e-05,0.0009479327362943608,0.0009479327362943608,2.7787220966416993e+18,7.216997562213764e-09,7.216997562213764e-09,4.1121889675181545e-07,4.883820058569819e-06
manual_Rizk2025_capture_literalDv,1.3,1000.0,30000000000000.0,0.9141145363483955,0.08434615635105933,0.9984606926994547,3.1820613816588117,23.79307526367857,6.773082213499122e+22,1.4949440952666505e+19,697665473.11201,697660960.5320411,93304697.2329559,93304458.35175209,1.000006468156059,1.0000025602335412,0.209090132773638,0.09448330989403378,0.009141145363483955,0.0008434615635105932,2.648864339038701,81.68233442832904,3.390056593689494,12.278744638942756,9.250000019797957e-20,0.0002716997880477272,4.0289255205478195e-31,0.0002716997880477272,1.32e-19,0.0002670400425111775,5.299234703396495e-06,8.52098727363292e-06,4.140634375360618e-06,3.1246338228947534e-05,0.000988605045807247,0.000988605045807247,2.90191819063426e+18,7.712790108938023e-09,7.712790108938023e-09,4.1710213637147267e-07,4.882132567025022e-06
manual_Rizk2025_capture_literalDv,1.3,1050.0,30000000000000.0,0.9238653597646869,0.08799477941078647,1.0118601391754733,3.1976252416232134,24.132497983927585,6.745860930003863e+22,1.4947255627511022e+19,694269803.0425713,694265222.5477991,91992376.15251404,91992134.48514679,1.0000065976151813,1.0000026270438076,0.2098309569151301,0.09582650210114273,0.009238653597646869,0.0008799477941078647,2.6430263045064954,81.70291540547198,3.3965239216584027,12.25753436836314,9.250000303506631e-20,0.00011689706184574747,9.194528317869608e-30,0.00011689706184574747,1.32e-19,0.0002671871146798454,5.303397124323592e-06,8.504515103584036e-06,4.126888393766586e-06,3.254011255708036e-05,0.0010300808334269998,0.0010300808334269998,3.0267256071040236e+18,8.216598593218535e-09,8.216598593218535e-09,4.229384501257227e-07,4.880458674197869e-06
manual_Rizk2025_capture_literalDv,1.3,1100.0,30000000000000.0,0.9337121834945012,0.0917176133654213,1.0254297968599226,3.2132517255794264,24.469353045619396,6.718776091037721e+22,1.4945025995748424e+19,690893562.9774694,690888915.5267414,90725977.42746596,90725733.36373654,1.000006726769852,1.0000026901268293,0.21057380361413197,0.0971592711845628,0.009337121834945013,0.0009171761336542129,2.63720314077577,81.72375797464312,3.4026424083557956,12.23639647622533,9.250003630270021e-20,5.546551847106669e-05,1.5790075123891412e-28,5.546551847106669e-05,1.32e-19,0.0002673347455802701,5.307527340730755e-06,8.488069795399182e-06,4.11360043816944e-06,3.3876104436638955e-05,0.0010723447236749351,0.0010723447236749351,3.15303507453227e+18,8.727953766829603e-09,8.727953766829603e-09,4.2872730565760707e-07,4.878800035073148e-06
manual_Rizk2025_capture_literalDv,1.3,1150.0,30000000000000.0,0.9436555875090671,0.09551340354355187,1.039168991052619,3.228942097460752,24.803617940238848,6.691818218738951e+22,1.494275281705957e+19,687536398.1318845,687531684.6795777,89503318.01128963,89503071.90462323,1.0000068556146746,1.0000027497007775,0.21131865536957248,0.09848152695170057,0.009436555875090671,0.0009551340354355186,2.631389576704921,81.74484752091682,3.408426067188852,12.215336835189417,9.25003499374962e-20,2.857952156162279e-05,2.1176796565805712e-27,2.857952156162279e-05,1.32e-19,0.0002674833927673949,5.311639422825608e-06,8.47165045992396e-06,4.100749960732877e-06,3.5238588723517714e-05,0.0011153823582555002,0.0011153823582555002,3.280738038222743e+18,9.246395578745041e-09,9.246395578745041e-09,4.344694815953027e-07,4.8771699412303055e-06
manual_Rizk2025_capture_literalDv,1.3,1200.0,30000000000000.0,0.95369652533456,0.09938152808801418,1.053078053422574,3.244707078374968,25.13533002665772,6.6649224789399815e+22,1.4940436472106123e+19,684195969.3598075,684191190.8768766,88322143.64532085,88321895.81937216,1.0000069841339594,1.0000028059400943,0.21206552244715476,0.09979341622130676,0.0095369652533456,0.0009938152808801417,2.625545986851155,81.76614784180923,3.413904998921362,12.194401172418253,9.250279278649073e-20,1.5794481183726448e-05,2.2875995051503872e-26,1.5794481183726448e-05,1.32e-19,0.0002676366433643315,5.315840104002025e-06,8.455246417730779e-06,4.088315437657227e-06,3.662768942161035e-05,0.0011591867529259726,0.0011591867529259726,3.40971782829975e+18,9.771430919505086e-09,9.771430919505086e-09,4.4017445716498944e-07,4.875665646837035e-06
