label,f_n,K_d,rho_d,Fdot,Dv_scale,Dg_scale,b_scale,gb_scale,gd_scale,coalescence_d_scale,capture_scale,dt_h,n_modes,score_total,score_swelling,score_Rd,score_Nd,score_pressure,score_proximity,sw_d_1800_bu1.1,sw_d_2000_bu1.1,Rd_2000_bu1.1,sw_d_1800_bu1.3,sw_d_2000_bu1.3,Rd_2000_bu1.3,sw_d_1800_bu3.2,sw_d_2000_bu3.2,Rd_2000_bu3.2,error
RAND_0144,1e-07,200000.0,30000000000000.0,1e+20,0.2,1.0,0.5,0.5,1.0,1.5,1.25,12.0,25,1.2639413531327417,0.6865481949188147,0.045656014806031514,0.5610805068217322,0.7161243469516185,0.2975455701876125,9.14040496561351,22.20070481049583,377.2970658920046,10.567065926284227,25.69296249482364,454.52652847524047,20.43673500673902,41.11397617964419,1279.7455799964227,
RAND_0145,5e-07,200000.0,20000000000000.0,5e+19,0.3,0.5,1.0,2.0,1.3,1.0,1.5,12.0,25,1.5933741711634095,1.0487042160513533,0.06686129784522467,0.6397698697457581,0.3727465132240484,0.20818496466931985,9.538687887473245,27.70823994881793,443.22736168140204,11.033370978721518,32.36608643635825,542.9866389542493,23.584967112420436,51.49148311491584,1719.9733452216349,
RAND_0146,2e-07,500000.0,50000000000000.0,7.5e+19,0.2,1.0,0.7,0.7,1.3,1.5,1.25,12.0,25,1.9032601576775294,1.2407179615789392,0.17002995261434425,0.6199219577730616,0.5956311798120805,0.22660259651692147,9.568524204319935,18.823303309428667,197.3761420235525,11.62020007383229,25.49022708650605,279.38975123090455,25.568272051499463,46.668150796165165,1346.1092807979169,
RAND_0147,2e-07,800000.0,30000000000000.0,5e+19,0.2,2.0,0.7,1.3,0.7,0.75,1.5,12.0,25,1.5268415844152536,0.8341140182055048,0.2440974652834934,0.6831019787119621,0.352433803866168,0.2388970231758407,8.949404807205061,14.22484337437176,133.35098393245457,11.013065091038724,19.67145659567717,161.99455374278463,28.53508368597263,56.86760114718775,1008.3204533271628,
RAND_0148,1e-06,200000.0,30000000000000.0,7.5e+19,0.2,1.0,1.3,0.7,1.3,1.25,0.5,12.0,25,1.338727223784023,0.8033020144080764,0.05808214151492933,0.5592379029582211,0.5622187852409742,0.1867027223031993,9.695805061942817,23.653017578658922,365.8688993742484,11.208837752949131,27.672028205761794,443.6294197927445,21.486862555708537,44.85576070369369,1310.6104858921906,
RAND_0149,7e-07,500000.0,30000000000000.0,7.5e+19,0.3,0.7,1.0,0.5,1.0,1.0,0.5,12.0,25,1.3878006441457393,0.8254319971747196,0.16712962405883075,0.560536885160615,0.37764733738349593,0.1464394468759516,10.014379445780111,20.119922875665633,209.90002212990692,11.998314671169945,26.884032184683655,275.4506915093453,26.063125258094267,52.509812544894864,1295.6225379528673,
RAND_0150,1e-07,500000.0,20000000000000.0,5e+19,0.2,0.5,0.5,2.0,0.5,1.25,1.5,12.0,25,2.0671746623732425,1.455609499205163,0.2645142704678477,0.5493079208199174,0.2653841392814029,0.30474386528285113,5.536682423566114,20.890374195947416,268.7470508785816,6.824360561588387,26.905736702160326,352.3411927622625,22.84777760012247,50.93556379282622,1422.6150615151203,
RAND_0151,2e-06,500000.0,50000000000000.0,3e+19,0.3,2.0,1.0,0.5,1.3,0.75,0.75,12.0,25,2.8380862427594726,2.201566865157497,0.1551623864779212,0.6628810614643845,0.43949056959052984,0.2030442779116755,10.744496915541408,15.143449448400226,136.20154619726958,13.580381083041901,21.898624262300974,172.4492152975943,36.10112603271613,62.29988656156246,1836.0924698472393,
RAND_0152,2e-07,300000.0,30000000000000.0,7.5e+19,1.0,0.5,0.5,1.3,1.0,0.5,1.5,12.0,25,1.543588488015494,1.0586313910427567,0.0863768177031201,0.5401052303649491,0.3184467595786066,0.2081849646693198,12.272958613268019,22.87366145032826,225.17436756933338,14.797443858789839,31.196222749876974,282.1505527394526,35.07030930839955,66.50136884452685,1817.0371415977947,
RAND_0153,3e-07,200000.0,10000000000000.0,3e+19,0.5,1.0,2.0,2.0,1.3,1.0,1.0,12.0,25,1.7565274181024197,1.102877884542547,0.06286222907827407,0.8432482899268103,0.3189035570837175,0.23971109978065222,10.274984673428358,33.50013837995958,719.6408179455794,11.889589168986868,37.93124646365633,892.998196374307,26.21848195254694,56.828252050359495,2885.0857197976648,
RAND_0154,5e-07,800000.0,50000000000000.0,5e+19,0.5,2.0,1.3,1.0,0.7,0.75,1.0,12.0,25,2.194419553699233,1.4360524292363603,0.2584386733098498,0.8218605185106624,0.2747261402250453,0.15662206983319132,8.69740814315309,11.190533180268403,99.51249713872741,11.185148665921794,15.38858224642096,117.48846046171539,35.53790893031882,63.09680770158028,1715.0551986534083,
RAND_0155,7e-07,800000.0,50000000000000.0,5e+19,0.5,2.0,2.0,1.0,2.0,1.25,1.0,12.0,25,3.189203979800312,2.4772861374159785,0.1921609466962084,0.7453776658883775,0.4522815683677712,0.17108188072018232,9.896270681627554,13.965532959568245,124.53549705240593,12.917391996949155,23.08136007645381,189.36016337038063,35.11996685843556,56.34925742046318,2454.7730398761382,
RAND_0156,3e-07,300000.0,30000000000000.0,1e+20,0.3,0.5,0.7,0.5,1.0,1.5,1.25,12.0,25,1.2997394016497448,0.7792762638512133,0.09360960271768042,0.510628496387661,0.49974274646447275,0.2362363144744051,9.950606789727763,23.680565254874892,355.54662574981165,11.60910479858958,28.04452684698091,451.51507287297443,22.752943369034767,44.47566611118807,1505.5362738536323,
RAND_0157,1e-07,800000.0,30000000000000.0,1e+20,0.7,2.0,0.7,2.0,1.0,0.75,1.25,12.0,25,1.8141300076642601,1.1586106307056612,0.19831220838412564,0.670986864392457,0.3604762083901941,0.23989660356688283,9.857179135170876,14.633633535239055,135.34658403447764,12.30692767930842,20.63881585152131,167.18769165000143,32.73906203126248,60.464656635121784,1429.910458061745,
RAND_0158,2e-06,500000.0,30000000000000.0,3e+19,0.7,1.0,2.0,1.3,1.0,1.5,1.5,12.0,25,1.449131850337726,0.9598547444595085,0.16632024555295283,0.5150187606467029,0.20282356236348803,0.1313578701225692,12.47058861726234,34.17561528692373,557.5343302972432,15.70324864226445,41.02466403142274,931.3776320616877,36.012174071350564,54.584834025827135,4456.759751284978,
RAND_0159,7e-07,800000.0,10000000000000.0,7.5e+19,0.2,0.7,0.5,0.5,0.5,0.75,0.5,12.0,25,2.546508816358561,1.8941825749694468,0.3556523515921724,0.5617654692804399,0.14905343155248243,0.29046955818209075,2.1523419965665007,10.050440710446647,161.56511669442605,2.492063128886228,12.49476957679713,179.38170123430487,6.11647820961275,43.11294209647334,513.3374662584064,
