label,f_n,K_d,rho_d,fission_rate,Dg_scale,Dv_scale,b_scale,gb_scale,gd_scale,nu_scale,coalescence_d_scale,capture_scale,bulk_seed_radius_nm,score_total,score_swd_rmse_percent,score_Rd_log10,score_Nd_log10,score_pressure,highT_diag,probe_sw_d_13_1600,probe_sw_b_13_1600,probe_Rd_13_1600_nm,probe_Nd_13_1600,probe_sw_d_32_1600,probe_sw_b_32_1600,probe_Rd_32_1600_nm,probe_Nd_32_1600,dt_h,n_modes
OAT_K_d_1.2e+06,1e-06,1200000.0,30000000000000.0,5e+19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.279546591423374,0.8347681986715181,0.28412660954291846,0.6298888172140515,0.15132369567653148,10.009964537191598,2.8602370302220903,1.2251849532157744,59.75021058452166,3.2010694370862957e+19,6.626323818388209,4.678542604800673,83.36191853384274,2.7307437141788467e+19,24.0,15
OAT_gd_scale_0.5,1e-06,500000.0,30000000000000.0,5e+19,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.0,2.370149542223158,1.1417523239740675,0.2635851064975156,0.47626043039797983,0.11597886643697407,9.307118161324004,1.3752184041833613,1.7806031334971322,61.384763832576745,1.4193885533427237e+19,3.0985237343940386,6.0175991235226896,82.29594356826273,1.3271833686779451e+19,24.0,15
OAT_K_d_2e+05,1e-06,200000.0,30000000000000.0,5e+19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.372220554734754,1.209290761023544,0.04522217062280438,0.5620220327851657,0.3212805297111615,9.828589687220155,3.3774800897485746,1.340787488330869,115.6212083691262,5.216649721770428e+18,6.452395523635686,5.094652963872937,149.91185559001192,4.572191715616819e+18,24.0,15
OAT_capture_scale_3,1e-06,500000.0,30000000000000.0,5e+19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,2.4101116017869337,1.2703941874809437,0.13900284084442283,0.4420992440074402,0.25458872842943675,10.153951675364791,3.461244972351484,1.2226322162786603,85.92599951682807,1.302476662876768e+19,8.150291216769098,4.262750998262946,121.61006814997506,1.0818721019598326e+19,24.0,15
OAT_coalescence_d_scale_3,1e-06,500000.0,30000000000000.0,5e+19,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,2.4430991342520287,1.1831379045149983,0.11640051037807461,0.35691176403349145,0.2732526051356946,14.639968685966515,3.3452680558739347,1.2965714991801107,93.04705550622792,9.913668923351202e+18,6.8744125489460055,4.9042041827548495,137.3090093570881,6.339425182672274e+18,24.0,15
OAT_Dg_scale_2,1e-06,500000.0,30000000000000.0,5e+19,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.523442796331083,1.405496222470281,0.12244142484186323,0.4383215194929563,0.2627916476643314,10.092505999862327,3.8538549583799973,1.189368888105914,89.63531089736989,1.2775248862691033e+19,7.884667411347079,4.884295011802825,120.66392227722055,1.0714266747481592e+19,24.0,15
OAT_fission_rate_3.5e+19,1e-06,500000.0,30000000000000.0,3.5e+19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.552338292405357,1.3426480574989772,0.13266187166041413,0.4384782010946911,0.217452756578818,11.901192216710221,3.6671108643135573,1.2718498151136344,87.92323606754016,1.2880254311227455e+19,7.799292438702079,4.923879287371151,120.05974513868773,1.0759060363793084e+19,24.0,15
OAT_rho_d_1e+13,1e-06,500000.0,10000000000000.0,5e+19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.6642616815479743,1.4378313259705662,0.1614288683251015,0.6122447296946457,0.13670718727108494,8.508306402068879,0.9672883284318985,1.9125178010858164,78.30132596574512,4.810165162348597e+18,2.1199184202711674,6.236236521829504,103.2314086203561,4.6003934759056573e+18,24.0,15
OAT_Dg_scale_3,1e-06,500000.0,30000000000000.0,5e+19,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.718961152914859,1.61086738912064,0.1101069150312105,0.43490342116564684,0.28604877631660985,10.117473446680807,4.196764563421423,1.1089932310120934,92.68505140464129,1.2583368398332533e+19,8.53388206807643,4.805974822139144,125.17187064881364,1.038814013691463e+19,24.0,15
OAT_gb_scale_0.5,1e-06,500000.0,30000000000000.0,5e+19,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.0,2.720193713424312,1.6132745958246644,0.11011426611000621,0.43460155335114725,0.28423103739752825,10.107141813179766,4.20391366480406,0.8350599953518115,92.76093579890224,1.2573894591156808e+19,8.479546860380577,3.4403301797742496,125.03190584811969,1.035670203959524e+19,24.0,15
