Time (s),Average dC (atm/m^3)
1760000.0,1.6128341576238793e+24
1770000.0,1.6135126349165277e+24
1780000.0,1.6141829511935314e+24
1790000.0,1.6148424274018963e+24
1800000.0,1.6154893655301294e+24
1810000.0,1.6161215178680904e+24
1820000.0,1.6167423085616454e+24
1830000.0,1.6173522696956634e+24
1840000.0,1.6179564879202845e+24
1850000.0,1.6185506163451648e+24
1860000.0,1.6191343748708236e+24
1870000.0,1.6197078601232975e+24
1880000.0,1.6202703838453586e+24
1890000.0,1.6208234080739191e+24
1900000.0,1.6213654057129535e+24
1910000.0,1.6218997439607188e+24
1920000.0,1.622427008406116e+24
1930000.0,1.622942656257839e+24
1940000.0,1.6234511942184153e+24
1950000.0,1.6239458819557494e+24
1960000.0,1.624439384382929e+24
1970000.0,1.6249193326578518e+24
1980000.0,1.6253949228692148e+24
1990000.0,1.6258633016856414e+24
2000000.0,1.626322697140975e+24
2010000.0,1.6267736420885375e+24
2020000.0,1.627217525952953e+24
2030000.0,1.627652806028858e+24
2040000.0,1.6280825620382392e+24
2050000.0,1.628504553931973e+24
2060000.0,1.628917932290966e+24
2070000.0,1.6293209932708178e+24
2080000.0,1.6297233978774357e+24
2090000.0,1.6301183980162467e+24
2100000.0,1.6305072607496764e+24
2110000.0,1.6308885766591194e+24
2120000.0,1.631265078236761e+24
2130000.0,1.631634683090263e+24
2140000.0,1.6319991232782245e+24
2150000.0,1.6323576398931526e+24
2160000.0,1.632709417151409e+24
2170000.0,1.6330554606020778e+24
2180000.0,1.6333948962835513e+24
2190000.0,1.6337288332342892e+24
2200000.0,1.6340573617905296e+24
2210000.0,1.6343784768974972e+24
2220000.0,1.6346960178994832e+24
2230000.0,1.635004508917718e+24
2240000.0,1.6353145434312994e+24
2250000.0,1.6356170527215757e+24
2260000.0,1.6359153383726528e+24
2270000.0,1.6362084296553466e+24
2280000.0,1.6364973702680214e+24
2290000.0,1.6367798342441782e+24
2300000.0,1.6370564354848699e+24
2310000.0,1.637332162794801e+24
2320000.0,1.6376042326491812e+24
2330000.0,1.6378659795359805e+24
2340000.0,1.6381287224002046e+24
2350000.0,1.6383871786558997e+24
2360000.0,1.6386393257473266e+24
2370000.0,1.6388881799987434e+24
2380000.0,1.6391331250708401e+24
2390000.0,1.639377065910078e+24
2400000.0,1.6396126141823893e+24
2410000.0,1.639844942849893e+24
2420000.0,1.6400762186516587e+24
2430000.0,1.6403026677649569e+24
2440000.0,1.6405251596967143e+24
2450000.0,1.6407428351767245e+24
2460000.0,1.640957543812808e+24
2470000.0,1.641167401863538e+24
2480000.0,1.6413760523301895e+24
2490000.0,1.6415821267007184e+24
2500000.0,1.641782918338387e+24
2510000.0,1.6419804299148646e+24
2520000.0,1.6421776358645272e+24
2530000.0,1.6423703259074142e+24
2540000.0,1.6425566213394825e+24
2550000.0,1.6427427163854818e+24
2560000.0,1.6429275261357682e+24
2570000.0,1.6431098142371877e+24
2580000.0,1.6432864273297106e+24
2590000.0,1.6434620768511603e+24
2600000.0,1.643633943574106e+24
2610000.0,1.6438010916383605e+24
2620000.0,1.6439687924031323e+24
2630000.0,1.644133430475382e+24
2640000.0,1.644295341168478e+24
2650000.0,1.6444532526760573e+24
2660000.0,1.644609916099118e+24
2670000.0,1.6447641258666063e+24
2680000.0,1.6449103433408764e+24
2690000.0,1.6450613822237976e+24
2700000.0,1.6452078238323204e+24
2710000.0,1.645352170830077e+24
2720000.0,1.6454958349652453e+24
2730000.0,1.6456358808038942e+24
2740000.0,1.645774412067523e+24
2750000.0,1.6459100898356035e+24
2760000.0,1.646040365992807e+24
2770000.0,1.6461708303372803e+24
2780000.0,1.6463011789402546e+24
