number,value,params_Dg_dislocation_scale,params_Dv_dislocation_scale,params_K_d,params_f_n,user_attrs_Dg_dislocation_scale,user_attrs_Dv_dislocation_scale,user_attrs_K_d,user_attrs_f_n,user_attrs_score_Rd,user_attrs_score_gas_partition,user_attrs_score_guard,user_attrs_score_pressure_eq,user_attrs_score_swelling_d,user_attrs_score_total,state
29,3.7889487024472364,7.150062999447857,15.874115222931653,2143407.5729604894,2.0403564724674064e-06,7.150062999447857,15.874115222931653,2143407.5729604894,2.0403564724674064e-06,0.8988530289459421,0.20089499797545046,2.2315022648116742,1.777975670140014,0.07945827737659573,3.7889487024472364,COMPLETE
30,3.6276477038785293,4.943398426866808,17.94704324642416,2973865.0519376514,1.787987020902292e-07,4.943398426866808,17.94704324642416,2973865.0519376514,1.787987020902292e-07,1.011470076750494,0.4489662087875878,1.8246648366190956,1.3591803145772383,0.060919938532486034,3.6276477038785293,COMPLETE
31,2.9459197439461704,2.1348544556697453,11.074255112309524,1246185.7103438359,7.58277365543429e-07,2.1348544556697453,11.074255112309524,1246185.7103438359,7.58277365543429e-07,1.2096514091953925,1.0503756245304756,0.0,3.979660310946577e-07,0.4801977702312565,2.9459197439461704,COMPLETE
32,3.356819831786408,2.966762553222881,15.210621393782878,3296202.2553955205,9.707271909873275e-07,2.966762553222881,15.210621393782878,3296202.2553955205,9.707271909873275e-07,2.1081041296433427,0.7508079610800077,0.0,3.482586360219558e-07,0.5120701834709391,3.356819831786408,COMPLETE
33,1.9754141743451525,3.630268418272743,19.99983834632607,1894431.1353141363,9.606934851283411e-07,3.630268418272743,19.99983834632607,1894431.1353141363,9.606934851283411e-07,1.2006279551373114,0.4770366068685376,0.0,1.2585378957215004e-06,0.29107119969210193,1.9754141743451525,COMPLETE
34,1.8978815667821696,4.346347721821882,16.219105976967796,1598257.2881911392,2.6156566309314514e-06,4.346347721821882,16.219105976967796,1598257.2881911392,2.6156566309314514e-06,1.1014262554449503,0.4695356984699507,0.0,1.8643716749968752e-06,0.3054534290124083,1.8978815667821696,COMPLETE
35,3.476859928290605,4.980676875911164,13.672211388358065,1190070.9598899442,2.6177006769217136e-06,4.980676875911164,13.672211388358065,1190070.9598899442,2.6177006769217136e-06,0.7101543280368481,0.3307690402864012,1.9977199760516782,1.4052532705660525,0.16578874654905754,3.476859928290605,COMPLETE
36,4.254207623744994,1.327760081870465,1.0723963518281467,286755.6158476332,3.3426496654957523e-06,1.327760081870465,1.0723963518281467,286755.6158476332,3.3426496654957523e-06,0.6606757536234206,2.2224708885132984,0.0,0.006332824476666028,0.6944969215133038,4.254207623744994,COMPLETE
37,2.4188746368150014,3.428062612507977,2.0585986281289723,1595305.8899503602,1.609104815339036e-07,3.428062612507977,2.0585986281289723,1595305.8899503602,1.609104815339036e-07,0.7209405979990131,0.48959927352265326,1.0615623510719894,0.5638200469438589,0.09547271920461155,2.4188746368150014,COMPLETE
38,4.161124505811422,2.818283367261814,17.00868650400175,1496652.3127849184,8.200882661184902e-06,2.818283367261814,17.00868650400175,1496652.3127849184,8.200882661184902e-06,1.8143282433839556,1.4197296654082356,0.0,4.65452726232779e-08,0.6724320860829555,4.161124505811422,COMPLETE
39,2.280867447648906,3.8500705474787003,16.850664830315907,1618524.0163683956,2.689483174806856e-06,3.8500705474787003,16.850664830315907,1618524.0163683956,2.689483174806856e-06,1.2391451649529128,0.6036809971140403,0.0,7.837781979149033e-07,0.38505058552785154,2.280867447648906,COMPLETE
40,3.216227932326283,7.093650647492852,7.079684266015407,1924281.3935023898,4.202607389875559e-06,7.093650647492852,7.079684266015407,1924281.3935023898,4.202607389875559e-06,0.9629419565475238,0.23406680058033774,1.631036000948184,1.2660068350688243,0.14375104490079973,3.216227932326283,COMPLETE
