label,score_total,score_swd,score_Nd,score_Nd_drop,score_Rd,score_pressure,score_fdot_prior,score_rizk_gas_shape,score_highT_guard,f_n,K_d,rho_d,fission_rate,Dv_scale,Dg_scale,b_scale,gb_scale,gd_scale,coalescence_d_scale,capture_scale,swD_1p3_1600K,swB_1p3_1600K,Rd_1p3_1600K,Nd_1p3_1600K,Nd_1p3_1400K,Nd_1p3_1725K,Nd_drop_1725_over_1400_log10,swD_3p2_1600K,swB_3p2_1600K,max_f_cap_step_3p2_1600K,capture_fraction_sum_3p2_1600K,capture_raw_sum_3p2_1600K,dt_h,n_modes,use_full_exp,score_swig_diag
ANCHOR_slight_high_Fdot,1.81246024903928,0.9121904375905635,0.5783088574207425,0.4320396882530864,0.09739442611628424,0.4699132896823568,0.07918124604762482,0.0,0.0,3e-07,300000.0,30000000000000.0,6e+19,0.3,1.0,1.0,1.0,1.0,1.0,1.0,2.9369794775343046,1.214091726738309,95.80316792207397,7.973935018534642e+18,8.760464010143615e+18,6.226078140300769e+18,-0.14831254280060305,5.549339901003618,5.127511366058143,0.0003637833892621665,0.1037951409713832,0.1037951409713832,12.0,22,0,2.4730268786801077
LHS_0053,1.8518534778371405,0.7728042640097743,0.7163121936401361,0.47057792884203037,0.2180017744655655,0.14187228529227613,0.022796995090119666,0.0,0.05279692771524639,2.01501830114631e-07,396664.6283962471,46079131234180.586,5.269470765431604e+19,2.325302194812558,1.9564169356336099,3.728892513489339,0.7038458675813715,0.23409256436935,0.8205019378301808,0.6680018026838944,2.4993374467633678,1.8136192518850194,70.80603028977187,1.6808367974827213e+19,1.7808140520544084e+19,1.4162309822877565e+19,-0.09948448290495258,5.640556013185429,6.8222601700471825,0.0002142952789720367,0.08562621818534132,0.08562621818534132,12.0,22,0,3.1295184689156645
ANCHOR_prev_region_nomFdot,1.877591227315177,1.0128101435776447,0.5737692610890934,0.42426848575037734,0.08947212349721952,0.46264347269708095,0.0,0.0,0.0,3e-07,300000.0,30000000000000.0,5e+19,0.3,1.0,1.0,1.0,1.0,1.0,1.0,3.1389814516076116,1.1882390593882362,98.23512445398498,7.904961171612564e+18,8.754139562731417e+18,6.081401818042465e+18,-0.15820976645233656,5.961331169890879,5.1106769792590026,0.0003163520423997404,0.1123499363421728,0.1123499363421728,12.0,22,0,2.613977225194814
LHS_0030,1.8969011755759677,1.042696286521542,0.6434254829111076,0.34698318672970263,0.06000647902358738,0.268224035220604,0.04456242122891971,0.0,0.8450981163625689,4.3027339020561324e-07,174554.0162000591,20804010672041.402,4.512399922639597e+19,0.8279632037799406,0.8535362881611868,3.4254876210725937,0.8426170062067891,0.5344411045436748,2.413195588173354,0.5493684114642214,1.7179537547540296,1.9781328526654218,110.14830419215961,3.068947180147742e+18,3.502275726741281e+18,1.929457750853248e+18,-0.2589150608690781,3.3405166273365943,6.727094506926266,0.0001373622882061935,0.032078533977754016,0.032078533977754016,12.0,22,0,2.3196487727859787
LHS_0005,1.9053286848683737,0.9070335764509958,0.6109574286787677,0.5022229964789933,0.1342897162138697,0.34622678317863004,0.031810700886873794,0.0,0.0009118712946635317,5.255363246348329e-07,291790.14516452694,25427272528332.71,4.64685695207399e+19,0.27008195216411096,0.918254604166166,1.1914077347075873,0.35428170101941403,0.4889773717770757,0.5061222882472075,1.0775931059594257,2.065820533444388,1.329109487387247,88.52096070107953,7.109934907797322e+18,7.353921060254444e+18,6.414576092562578e+18,-0.05935100238162233,3.9663541148988983,4.646208627123265,0.00024362278904905809,0.06413013476475217,0.06413013476475217,12.0,22,0,1.7981140819336494
LHS_0011,1.90712258619487,0.9112401381541403,0.6246550372583495,0.4984432568196095,0.12872660552569096,0.30141409077458936,0.006120520506788816,0.0,0.09012252094608542,1.7516157346001637e-07,550979.8920724452,17467743786423.418,5.0709639701735784e+19,1.0835020521464187,1.9100177152636464,1.0232768576742803,4.77512699927888,1.499399562112234,0.4376414386742822,0.6602691092347176,2.731150176078045,3.3369510910046363,89.2474476180794,9.172116408541261e+18,9.515635141454334e+18,8.208652437807058e+18,-0.06416591389454891,5.975433745268055,11.330603216751634,0.00031597306485451314,0.1349395334143289,0.1349395334143289,12.0,22,0,4.627121792053638
LHS_0024,1.992681006859611,0.8634128053436718,0.7130643781451687,0.5095669973757789,0.23973633944578981,0.2758743686836489,0.014192825159469681,0.0,0.013577933198745562,1.2468625224031608e-07,594187.7630241308,26484242250364.824,5.166100249269692e+19,0.292859347580294,1.8378760488524428,4.504875352219093,0.3102753623155673,0.2578298909177817,0.4756392106412128,0.4016640688565454,2.0557182769165774,1.5109471453977792,68.72390034121462,1.511999298523063e+19,1.5585254847512955e+19,1.3888081697934103e+19,-0.050071645564883284,4.002524981048001,5.643471046767445,0.00010485750541127993,0.03208623925112019,0.03208623925112019,12.0,22,0,2.107754989901365
LHS_0014,2.0095161778266672,1.5920148150850504,0.38007666150563063,0.0,0.10525290655566476,0.9233169716907551,0.04406507561404128,0.2534829826306243,1.2076343041218862,1.1624772635577387e-08,384886.50928092125,33687665741989.777,4.517570395482944e+19,0.2387297221833418,0.6827139244083444,4.905080993725712,1.4469432166812126,3.37552313874733,6.8059060086782655,0.3737012554153506,4.093521580855801,0.00561869115845595,134.45903779209536,4.020115010038916e+18,8.785777024515405e+18,1.0432908505508718e+18,-0.9253747783234845,7.7386771225052815,0.09901838267931454,0.00015635459053353352,0.08332694919817218,0.08332694919817218,12.0,22,0,1.662286389972726
ANCHOR_nominal,2.0303370874133946,1.1004059559628208,0.6335400768740624,0.4169686108777336,0.1562865176388637,0.24300630293977532,0.0,0.0,0.002484273329711447,1e-06,500000.0,30000000000000.0,5e+19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.1948900044502313,1.3400832102058624,83.40423082757408,1.314628540767781e+19,1.4535954235006929e+19,9.877285862983547e+18,-0.16780592390663604,6.726325341091707,5.032025419789973,0.0003100074337008408,0.12299821692138702,0.12299821692138702,12.0,22,0,2.8834644792718658
LHS_0010,2.0314365708994924,1.0874651533429787,0.6835040378124957,0.45458974705160865,0.04914340351294274,0.37425422646276824,0.002745293076536955,0.0,0.09260134390001128,2.496102294174304e-07,197044.7201618043,16460553593461.762,4.9684933314372305e+19,0.41857250891328396,0.3034041670634863,2.500698295211944,3.7987737957652943,1.833166059271825,1.1919955021777031,0.4292304000359977,1.6654211456846948,2.6702787064651257,109.9310886740951,2.9927736986757965e+18,3.1905271777179853e+18,2.420509379034506e+18,-0.11995567861201942,3.075960991972609,9.15817677380874,0.00012928385423763262,0.027577281382920395,0.027577281382920395,12.0,22,0,2.9328127174322893
