label,f_n,K_d,rho_d,fission_rate,Dv_scale,capture_scale,Dg_scale,b_scale,gb_scale,gd_scale,nu_scale,coalescence_d_scale,dt_h,n_modes,use_full_exp,score_total,score_swd,score_swig_diag,score_Nd,score_Rd,score_pressure,highT_penalty,swD_1p3_1600K,swB_1p3_1600K,Rd_1p3_1600K,Nd_1p3_1600K,swD_3p2_1600K,swB_3p2_1600K,max_f_cap_step_3p2_1600K,capture_fraction_sum_3p2_1600K,capture_raw_sum_3p2_1600K,swD_3p2_1800K,Rd_1p3_1800K,swD_3p2_2000K,Rd_1p3_2000K
PHYS_0020,1e-06,300000.0,30000000000000.0,7.5e+19,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24.0,15,0,2.456771275238048,1.3417779350817556,3.150139764574349,0.533436483254795,0.06984392308756057,0.03580976693430973,0.4759031668796274,3.5929178627788083,1.3149129344936932,103.42453311117572,7.753324708301775e+18,7.344281699955658,4.894312332356811,0.0011412296686295173,0.12124845610553923,0.12124845610553923,40.16443544901917,226.40332482647977,62.52004664609224,811.1067624886996
PHYS_0036,3e-07,800000.0,10000000000000.0,7.5e+19,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24.0,15,0,2.4670989822707163,1.3954963275299843,1.8672664063852598,0.5764894395263056,0.2254880293834476,0.038756522278541365,0.2308686635524373,1.1155218988352487,1.9665313468731505,70.34456924210444,7.650640010509784e+18,2.183816118690967,6.6378713449438935,0.0007354094497785896,0.042630153857641614,0.042630153857641614,18.50477196711647,146.34802095984693,51.543433177621864,332.0291727232503
PHYS_0011,1e-06,800000.0,30000000000000.0,3.5e+19,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,24.0,15,0,2.4778064533191246,1.1092075899237106,2.926132506991049,0.6688351065362873,0.22252070849188432,0.026255065989452746,0.45098798237778936,3.2990690268799714,1.2752240991270862,72.21139284389224,2.0916336849019793e+19,6.743291878954848,5.1627193941073175,0.0,0.0,0.0,37.89495156521405,137.65135184854825,62.54939911888947,252.60240862030162
PHYS_0049,3e-07,300000.0,60000000000000.0,7.5e+19,0.3,0.3,1.0,1.0,1.0,1.0,1.0,1.0,24.0,15,0,2.5144193427250197,1.4180669993805841,2.332922616060082,0.6030920754805338,0.1446353665032034,0.08210138684916181,0.26652351451153633,3.948599495554311,0.3313757293255172,85.18263943710697,1.5251101025173207e+19,7.764673086191047,2.4348133144015205,0.0002969094103832595,0.04482615777773266,0.04482615777773266,28.287948966370003,144.05801590762053,53.32617572557682,243.76290964105303
PHYS_0073,1e-07,1200000.0,30000000000000.0,7.5e+19,0.3,0.3,1.0,1.0,1.0,1.0,1.0,1.0,24.0,15,0,2.563643438891984,1.154304899488775,2.6359553234895827,0.7909275524803824,0.26378647599197613,0.05843253528550205,0.2961919756453486,3.5573967111825135,0.7784449568944487,64.92238708000235,3.103560750524149e+19,7.088220304633802,4.207050279704474,0.00036521582873713486,0.0556756449299154,0.0556756449299154,28.6525579437889,105.47880583142708,54.80959878226743,140.05362636050492
PHYS_0009,1e-06,300000.0,10000000000000.0,5e+19,1.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,24.0,15,0,2.6501645198635684,1.4572199253368119,1.8161311281170267,0.7423582368820233,0.10006399204213895,0.027260009165245864,0.32326235643734846,1.0395588767014952,1.9270392889261765,95.19715044060237,2.876660669907988e+18,1.9764369729877698,6.320616019668282,0.0001566325507917828,0.009464247937093979,0.009464247937093979,17.185791683790455,203.06639032179663,56.163117821867424,681.2323592973903
PHYS_0069,1e-06,500000.0,10000000000000.0,5e+19,0.3,0.3,1.0,1.0,1.0,1.0,1.0,1.0,24.0,15,0,2.6734336808266717,1.611809008069944,1.633607076343558,0.6283603645165291,0.20231932005707712,0.031938356440824524,0.19900663174229707,0.8408428668972835,1.9196362836991152,74.60841040568512,4.833512808055487e+18,1.5793938484700003,6.279379260888867,0.00013118093177812973,0.008404750723871679,0.008404750723871679,13.229318315354178,155.08071424028648,49.95033158711485,391.44583722789986
PHYS_0029,1e-06,500000.0,10000000000000.0,7.5e+19,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,24.0,15,0,2.7352809273836685,1.572081897726777,1.678097650451186,0.6296633872392503,0.1819801981717398,0.013741149269532326,0.33781429497636895,0.8635661940484887,1.7871373215850639,75.30037603499355,4.828537275628317e+18,1.5361514567008039,5.837963186057418,0.0,0.0,0.0,12.804729634912826,152.30082146440728,56.890714748818446,541.6389967263151
PHYS_0077,1e-08,1200000.0,10000000000000.0,7.5e+19,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,24.0,15,0,2.7831871734520943,1.672509154730526,4.736466830028024,0.5313019126284219,0.08669806418122813,0.03890688352842335,0.45377115838349513,4.121886376736975,1.9841276495657343,99.17086245419071,1.0089162944554076e+19,8.08090321613807,8.928924129648252,0.0,0.0,0.0,39.15332336496687,202.03359696047005,62.688557919174755,569.7478183838857
PHYS_0003,1e-08,800000.0,10000000000000.0,7.5e+19,3.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,24.0,15,0,2.7902663707958997,1.7319000193712002,4.7930718666029835,0.5326660983434109,0.039319551194679635,0.04469493537410058,0.44168576651250846,4.162191391879968,2.0576800658659167,113.92639699870148,6.719861919134406e+18,8.162745985277892,8.978322604536734,0.00046904915030084266,0.06344226620448154,0.06344226620448154,39.35444909708912,243.28558093019646,62.08428832562542,794.9620879104186
