block,parameter,top_n,min,median,max,direction_vs_1
C3_trapping_escape,f_n,25,1.715696203168301e-07,4.602022975987509e-07,9.703720625154097e-07,near/mixed
C3_trapping_escape,K_d,25,236860.53474284755,262038.51260592593,331252.35404224496,near/mixed
C3_trapping_escape,rho_d,25,29788555672094.934,47582720383162.625,59104672769505.54,near/mixed
C3_trapping_escape,fission_rate,25,4.265348377866159e+19,4.9652343748818256e+19,6.8176599099943666e+19,near/mixed
C3_trapping_escape,Dv_scale,25,0.5695335569613829,0.6797474918664956,1.5998977449173102,low
C3_trapping_escape,Dg_scale,25,1.2778382624549407,2.020571573248213,2.4923859983067955,high
C3_trapping_escape,D2_xe_scale,25,1.8409084426879365,2.168003488608275,3.011910572484976,high
C3_trapping_escape,b_scale,25,0.7877781437674218,1.061548149514305,1.7199483662509059,near/mixed
C3_trapping_escape,gb_scale,25,1.4020909631615062,2.732235422315274,5.591563873424171,high
C3_trapping_escape,gd_scale,25,2.423373306124668,3.368653729921475,5.8378289941008426,high
C3_trapping_escape,coalescence_d_scale,25,0.4910118848430668,0.962929639750098,1.0774146236815092,near/mixed
C3_trapping_escape,capture_scale,25,0.18897686201262082,0.3192750507787165,0.5620066890968951,low
C4_microstructure_escape,f_n,25,2.3056054259788617e-08,7.68330547030029e-08,1.579182863044506e-07,near/mixed
C4_microstructure_escape,K_d,25,140008.4435162463,215045.4223643016,299966.170526192,near/mixed
C4_microstructure_escape,rho_d,25,55227461874769.67,62961729785797.3,75568215891784.61,near/mixed
C4_microstructure_escape,fission_rate,25,4.559912044152792e+19,5.349936628960666e+19,5.672791129256367e+19,near/mixed
C4_microstructure_escape,Dv_scale,25,1.2442840718899009,1.3998404360796792,1.5100585778624223,near/mixed
C4_microstructure_escape,Dg_scale,25,0.5649461824025946,0.6662257895606634,0.752685133969393,low
C4_microstructure_escape,D2_xe_scale,25,0.23606830823268363,4.098233303483211,4.983798893747023,high
C4_microstructure_escape,b_scale,25,0.20012053755104675,0.2508126133417524,0.3053291076027235,low
C4_microstructure_escape,gb_scale,25,1.897511142908669,2.589279547553835,3.3279335553869536,high
C4_microstructure_escape,gd_scale,25,0.7062219946266126,0.9955853474677169,1.2023846133610552,near/mixed
C4_microstructure_escape,coalescence_d_scale,25,0.527231817421467,0.6442292736067912,0.804664009085526,low
C4_microstructure_escape,capture_scale,25,0.826073550449618,1.5947685473498037,1.9968499255961087,high
C5_coalescence_capture_escape,f_n,25,8.533853858817722e-08,1.931526558310945e-07,6.654641215785717e-07,near/mixed
C5_coalescence_capture_escape,K_d,25,264793.6388142397,289517.7633168261,396357.8578476665,near/mixed
C5_coalescence_capture_escape,rho_d,25,27173674747379.633,29664933773007.254,35847502458170.48,near/mixed
C5_coalescence_capture_escape,fission_rate,25,5.621195121888401e+19,6.934309570121998e+19,7.413648919185274e+19,near/mixed
C5_coalescence_capture_escape,Dv_scale,25,0.48733795462600643,0.7434491575808854,0.8336411794750238,near/mixed
C5_coalescence_capture_escape,Dg_scale,25,0.4906243093180979,0.6139464794543986,0.7660896110834859,low
C5_coalescence_capture_escape,D2_xe_scale,25,2.499981994570114,3.5708986474663478,4.610645075773969,high
C5_coalescence_capture_escape,b_scale,25,0.20005617561290165,0.21250141156088892,0.262938785997801,low
C5_coalescence_capture_escape,gb_scale,25,1.037472663024659,1.66595813442634,2.2578971676669233,high
C5_coalescence_capture_escape,gd_scale,25,1.7901933558154182,2.086759362667069,2.6224278982196614,high
C5_coalescence_capture_escape,coalescence_d_scale,25,0.34629466091341843,0.6111287520876572,0.8110916563736069,low
C5_coalescence_capture_escape,capture_scale,25,0.12950315269661156,0.6203817506034061,1.6302653434991803,low
D1_b_gd_escape,f_n,25,6.213246487247474e-08,1.3145793331741666e-07,9.634915940846073e-07,near/mixed
D1_b_gd_escape,K_d,25,463263.2033051213,634897.8231514462,752229.1244402756,near/mixed
D1_b_gd_escape,rho_d,25,15082228677469.385,18427951498931.22,30034311177809.645,near/mixed
D1_b_gd_escape,fission_rate,25,6.292023471123748e+19,6.7324132130414174e+19,7.134475967930422e+19,near/mixed
D1_b_gd_escape,Dv_scale,25,0.5876489999457949,1.0831087095613674,1.549583923026889,near/mixed
D1_b_gd_escape,Dg_scale,25,0.42475587703414647,0.5038400855139108,0.7261981221200914,low
D1_b_gd_escape,D2_xe_scale,25,0.3275002556615118,0.5590155569264385,4.443876407113734,low
D1_b_gd_escape,b_scale,25,0.06420314080310098,0.3772147409885244,0.741042739495225,low
D1_b_gd_escape,gb_scale,25,1.945644957949919,2.884080314281213,3.9517462989029655,high
D1_b_gd_escape,gd_scale,25,2.573577192848942,5.752791973443718,8.345473963606578,high
D1_b_gd_escape,coalescence_d_scale,25,0.4067966168263664,0.6725041263859612,0.7683054306532408,low
D1_b_gd_escape,capture_scale,25,0.08025815899547425,0.12829194598204535,0.7759601450986564,low
D2_Dv_coalescence_escape,f_n,25,1.8805968972203276e-07,1.986400841519171e-07,2.5464185271757593e-07,near/mixed
D2_Dv_coalescence_escape,K_d,25,329506.9179026951,349732.74510361906,386771.585953793,near/mixed
D2_Dv_coalescence_escape,rho_d,25,36292280005414.64,43347950256174.2,45437988131529.234,near/mixed
D2_Dv_coalescence_escape,fission_rate,25,6.128796358363394e+19,6.326321259963261e+19,6.882221428753351e+19,near/mixed
