stage,variant,model_id,description,rizk_coherent,nucleation_gas_coupling,phi_resolution_mode,bulk_dislocation_capture,dt_h,n_modes,f_n,K_d,g_d_scale,seed_nm,score_main,score_swd,score_swig_diag,score_Nd,score_Rd,score_pressure,highT_blowup_diag,probe_swelling_d_1600_13,probe_swelling_ig_1600_13,probe_Nd_1600_13,probe_Rd_nm_1600_13,probe_p_b_over_eq_1600_13,probe_p_d_over_eq_1600_13,probe_capture_fraction
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,1e-07,500000.0,2.0,0.0,1.5322271088111759,1.029648877445507,0.9505959952409999,0.49063463903311094,0.22733426291784462,0.0,3.3611185022917884,1.8403570365448911,2.911516190142359,1.3912586904351777e+19,68.09813146405838,1.0003123159640046,1.0049120534051585,0.0
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,1e-08,800000.0,2.0,0.0,1.5334149973387932,1.0098780146830515,1.697153869321903,0.5387659193038455,0.20914405591864252,0.0,4.201382084285601,3.3838849633844683,4.2657127477401815,2.084094025080328e+19,72.91270731104444,1.0013570106054956,1.0596009397074213,0.0
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,1e-08,300000.0,1.0,0.0,1.5436909157224843,1.0784694661481027,1.1021935978904576,0.4979383761271442,0.1666636946934012,0.0,2.9877333002114437,1.7605420865776211,3.10908329213337,8.375440905184146e+18,79.46636990508063,1.0007480371849484,1.0087198727518611,0.0
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,1e-06,300000.0,5.0,0.0,1.5444931240190154,1.1494155135807973,1.575408846506716,0.4820355414965805,0.08236104484373136,0.0,4.391539986882987,3.3171695800091285,4.116518571824318,7.838142577851194e+18,100.34335905334613,1.0001548993364981,1.1596858210519394,0.0
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,3e-10,100000.0,0.5,0.0,1.5661341353392895,0.9849658657304633,1.8879087971396429,0.7731409349274365,0.05323207680464289,0.013535806981853776,3.257975072027148,2.4720331304305185,4.2504786690378955,2.7093073730837934e+18,129.62908819734744,1.0054927771553515,1.2693354112155564,0.0
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,3e-07,800000.0,3.0,0.0,1.5664097228047893,0.9741619819239273,0.9200155370590529,0.564576430800871,0.2814917704575034,0.0,3.6440916120283395,1.953841463398268,2.8881707082900445,2.2154442797087638e+19,59.49036409716826,1.0002176098112618,1.0042936377938088,0.0
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,1e-08,100000.0,1.0,0.0,1.5679052416248298,0.9960574250269566,1.375170172713256,0.7719826247203762,0.044942827562299704,0.0,3.2933113617290313,2.2689723621807376,3.6234086230585447,2.732764130414909e+18,125.61634399780715,1.0007370493574643,1.1889903003932905,0.0
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,1e-07,300000.0,3.0,0.0,1.5711966956138033,1.1792240242694119,1.7284076540522766,0.4819073717195287,0.07805358734388754,0.0,4.331751454083909,3.4249816694645085,4.307787061013613,7.801454159702217e+18,101.57761862722909,1.000429402927116,1.1803966333230433,0.0
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,3e-07,200000.0,2.0,0.0,1.577003772622621,1.099794185237294,0.8809486225826102,0.5671628842391285,0.11456509773990985,0.0,3.0238003381101555,1.753164369548362,2.8422303697844558,5.585357844611973e+18,90.82965707077511,1.0001599949321973,1.0198727516280421,0.0
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,1e-06,100000.0,3.0,0.0,1.577595602408081,1.0034368284421133,1.081289021079804,0.7720833343357564,0.048143485615626015,0.0,3.5152878509954184,2.2990340469116926,3.291028151179293,2.729300577191864e+18,126.22202465920086,1.0001007568913496,1.1953831386798,0.0
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,3e-10,800000.0,1.0,0.0,1.5828169565339194,1.0674421368344744,2.078462351922004,0.5370564858486792,0.19919325657909948,0.0,3.9220010609112106,3.711005029428155,4.676658874426034,2.0544952014347895e+19,75.54967506412801,1.0060373638866102,1.1056659215782456,0.0
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,1e-09,200000.0,1.0,0.0,1.584594105376549,1.1599154719752869,2.0846728953411158,0.5637094308741731,0.041752076227589766,0.0042778921501419875,3.984687746172473,3.3613489491499866,4.637141485179025,5.215340602955142e+18,115.44650011455019,1.0028401290050741,1.2981020711630695,0.0
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,3e-10,500000.0,0.5,0.0,1.5846484528181624,1.0728353397286947,1.4321070393585207,0.493894949635415,0.2372666404923961,0.0,2.6691054650020005,1.7241395743870938,3.478732790742388,1.3980150012041714e+19,66.52588486441039,1.005530313326453,1.0045391179564025,0.0
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,3e-09,800000.0,1.0,0.0,1.5906478325873663,0.9922290342909077,1.208956136670565,0.5674266803398379,0.2874573172265315,0.0,3.2054482644581093,1.8817368688944087,3.1972729252641137,2.2221403295061746e+19,58.690291668680864,1.0015062171375582,1.0037740982519991,0.0
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,1e-07,100000.0,2.0,0.0,1.5933587974223233,1.0081727432014644,1.353377161710884,0.7737832359011056,0.060356675682935124,0.006440580560151593,3.713067836866765,2.5889504605451674,3.6733359471848535,2.695882620464691e+18,131.85948767648375,1.0002995617617423,1.2845132116316398,0.0
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,3e-07,100000.0,2.0,0.0,1.5985363652493965,1.03153245327581,1.0188435426498292,0.770850238995595,0.039155349538100334,0.0,3.2039258734797214,2.0609587911677703,3.1515512074198324,2.7568631501239306e+18,121.29842547016874,1.000158554120201,1.1349316361665367,0.0
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,1e-08,500000.0,2.0,0.0,1.6085596050167659,1.190936199692026,1.9068636340182286,0.4618756687736881,0.13472919597594038,0.0,4.309009031192876,3.6481110144374718,4.557785027761761,1.2876232547028607e+19,87.78026244618627,1.0013006105262836,1.1314657252354972,0.0
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,1e-09,100000.0,0.5,0.0,1.6201820539081944,1.0564528551904966,1.4864369467181364,0.7702888068907914,0.035038619848776854,0.0,2.7839162510489928,1.9375751308238538,3.6828936600978337,2.7711702007544755e+18,118.62300294214394,1.0023609870693309,1.1137092256877175,0.0
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,3e-09,100000.0,1.0,0.0,1.6375675792256177,1.0388340179299724,1.7713560071227383,0.7752416293307961,0.07052794844031218,0.03347428427934643,3.7555900501849577,2.819122981365238,4.175660058562507,2.6694592550620744e+18,136.10289782857353,1.0014348206838182,1.3821809905782638,0.0
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,1e-09,200000.0,0.5,0.0,1.6410028448428773,1.1554105308318499,1.3128583070306192,0.5680954760214312,0.1256078297086083,0.0,2.5214197906535016,1.617231304806022,3.3606227704359863,5.617051780368861e+18,88.2520971157901,1.002368156722535,1.0133249719171045,0.0
