number,value,params_Dg_dislocation_scale,params_Dv_dislocation_scale,user_attrs_Dg_dislocation_scale,user_attrs_Dv_dislocation_scale,user_attrs_score_Nd_lowT,user_attrs_score_Rd_lowT,user_attrs_score_gas_partition,user_attrs_score_guard,user_attrs_score_matrix_lowT,user_attrs_score_pressure_lowT,user_attrs_score_swelling_d_lowT,user_attrs_score_total,state
16,9.242309525338827,2.71715863300617,2.094511894967512,2.71715863300617,2.094511894967512,1.8069519157900147,0.904045005880789,0.6981919181145426,0.0,4.333356151804859,0.0,0.4174747656130602,9.242309525338827,COMPLETE
17,8.713488917258273,3.433922983818606,5.124071338170451,3.433922983818606,5.124071338170451,1.7779157690037088,0.7122538522774586,0.45248146098038233,0.0,4.335862320399883,0.0,0.3113702680689739,8.713488917258273,COMPLETE
18,9.185468642447843,2.7595352350673883,5.567466651592036,2.7595352350673883,5.567466651592036,1.8054173880764952,0.8790977331396722,0.6797169232004805,0.0,4.33345732141372,0.0,0.39709988552943964,9.185468642447843,COMPLETE
19,9.061835374339084,2.910568373029577,5.33632851451218,2.910568373029577,5.33632851451218,1.7994528521373787,0.8368957944477107,0.6199042135658963,0.0,4.33394905270435,0.0,0.3742072385554819,9.061835374339084,COMPLETE
20,21.53298330973173,32.989098685108985,5.014107577320414,32.989098685108985,5.014107577320414,1.1851751452249455,0.0455380684520922,2.5625497110610334,3.5875312017902834,4.899222517895312,0.0002616226561072498,5.553663811249154,21.53298330973173,COMPLETE
21,10.386954895664477,3.8967219287560377,5.795732085041754,3.8967219287560377,5.795732085041754,1.7578727513224783,0.6221788316976591,0.3475758223153267,1.5767532082137214,4.337865483156897,0.0,0.27769661297059683,10.386954895664477,COMPLETE
22,9.310643663980361,2.6179119926126413,6.48968350891248,2.6179119926126413,6.48968350891248,1.8109052331853224,0.9211003172091109,0.7411508401213728,0.0,4.3330106487586395,0.0,0.41950627910298927,9.310643663980361,COMPLETE
23,10.469897181603823,4.190344157419873,6.7799779542263945,4.190344157419873,6.7799779542263945,1.7447287023006706,0.5720316420379951,0.298413812196314,1.7289009229542978,4.33931144470839,0.0,0.26862626645291976,10.469897181603823,COMPLETE
24,10.188385389072561,1.870892278264825,4.864495104480787,1.870892278264825,4.864495104480787,1.8379029871911114,1.2233317693804795,1.1718420025118466,0.0,4.3311267186265585,0.0,0.574725743500526,10.188385389072561,COMPLETE
25,9.382293023824877,2.5343651020624427,17.186227857554204,2.5343651020624427,17.186227857554204,1.814098998472962,0.9438854881193712,0.7799217252789065,0.0,4.33266565311793,0.0,0.42815548051405855,9.382293023824877,COMPLETE
26,9.998232961015756,3.591702240672936,4.323137949454867,3.591702240672936,4.323137949454867,1.771140737947054,0.682451578885907,0.41273908429675366,1.137057497836352,4.336500446243737,0.0,0.2997200539387626,9.998232961015756,COMPLETE
27,11.551519882587062,1.1209233040551358,2.7955041051501386,1.1209233040551358,2.7955041051501386,1.8612787547807463,1.7602636124187756,1.8634430802143158,0.0,4.32989765507657,0.0,0.7575332241525491,11.551519882587062,COMPLETE
28,12.456518948351457,9.640847756162383,3.5273296973645416,9.640847756162383,3.5273296973645416,1.4802973070860495,0.18237313097650945,0.5787243474786891,2.636316186751816,4.395666946401046,0.0,0.9524374398461296,12.456518948351457,COMPLETE
29,13.516145198958723,9.450861468764707,6.217301430512774,9.450861468764707,6.217301430512774,1.4830999922056178,0.17618785726400474,0.5532154078523643,3.359275634948822,4.393069216601425,0.0,1.185048356426676,13.516145198958723,COMPLETE
30,10.66024358443614,1.5694101509806504,9.597324107925646,1.5694101509806504,9.597324107925646,1.847803602243112,1.3958446319135809,1.411171151015215,0.0,4.33046202009025,0.0,0.6439521333871535,10.66024358443614,COMPLETE
31,8.859497534288865,3.209824676275565,3.031826480510817,3.209824676275565,3.031826480510817,1.787205237166982,0.7692080368318447,0.5175186975914693,0.0,4.334993008509865,0.0,0.34255329120017314,8.859497534288865,COMPLETE
32,10.3722153796312,5.114785653513436,5.705535099721136,5.114785653513436,5.705535099721136,1.7012430741109383,0.4530264838981498,0.21362143301340875,1.7696754689938305,4.344695965891715,0.0,0.29446749685630697,10.3722153796312,COMPLETE
33,10.463786079008068,3.8849023052414053,6.753553576511084,3.8849023052414053,6.753553576511084,1.7584308660514811,0.622343991064647,0.3497486706781541,1.638803493329415,4.337819566884452,0.0,0.27696581878760407,10.463786079008068,COMPLETE
34,9.010504193619315,2.985104238295676,3.9395986394380547,2.985104238295676,3.9395986394380547,1.7964266157425322,0.8205528225425253,0.5925910114970521,0.0,4.33420865444389,0.0,0.3675957261211764,9.010504193619315,COMPLETE
35,8.940279197280075,3.5277551689329263,2.7072580413625262,3.5277551689329263,2.7072580413625262,1.7738034676997028,0.7027984721122087,0.42873063289434643,0.22049791723617046,4.336201898522161,0.0,0.31057195179344205,8.940279197280075,COMPLETE
36,9.684458479266596,3.5985346359162897,2.4286434073790066,3.5985346359162897,2.4286434073790066,1.7707534658558148,0.6909810910510371,0.41160183509545256,0.8691135265738119,4.3364784671702115,0.0,0.30532669179711075,9.684458479266596,COMPLETE
37,8.93400479350543,3.096558753415216,3.2708042479273174,3.096558753415216,3.2708042479273174,1.7918755074339252,0.7950044803622119,0.5540158255268397,0.0,4.334591765749483,0.0,0.35542193545185113,8.93400479350543,COMPLETE
38,9.917703365403016,5.189047193407559,2.4793092425650762,5.189047193407559,2.4793092425650762,1.6979420003525139,0.46119926073868023,0.21041460376538432,1.4245022929350477,4.344962265900919,0.0,0.2553790059180582,9.917703365403016,COMPLETE
