data_set,obs,group,label,rank,relevance,conditions,bu,T,y,w,pred,lev,cook
B,fraction,Cr,ZAC-Cr-63 0.9975 f10,B,2.0,model/model,101.1,654.05,1.0,1.0,0.7880104891915382,0.06255087480058548,0.02871886167152019
B,radius,Cr,ZAC-Cr-63 0.9975 ECD50/2,B,2.0,model/model,101.1,654.05,2.5e-07,1.0,2.11089178578875e-07,0.02806272551853188,0.0014045876849246356
B,theta,ONO,ONO-Std-16 0 Theta,U,3.0,reported/model,15.4,1255.35,0.0,1.0,0.0,0.0,0.0
B,theta,ONO,ONO-Std-16 0.4 Theta,B,3.0,reported/model,15.4,1147.15,0.0,1.0,0.0,0.0,0.0
B,theta,ONO,ONO-Std-16 0.56 Theta,U,3.0,reported/model,15.4,1051.4499999999998,0.0,1.0,0.0,0.0,0.0
B,theta,ONO,ONO-Std-16 0.75 Theta,B,3.0,reported/model,15.4,910.55,0.0,1.0,0.0,0.0,0.0
B,theta,ONO,ONO-Std-16 0.9844 Theta,B,3.0,reported/model,17.1,700.55,0.0,1.0,0.0,0.0,0.0
B,theta,ONO,ONO-Std-16 0.996 Theta,B,3.0,reported/model,18.2,686.75,0.0,1.0,0.0,0.0,0.0
B,theta,ONO,ONO-Std-16 0.9987 Theta,B,3.0,reported/model,18.6,684.15,0.0,1.0,0.0,0.00814402040726144,0.0
B,theta,ONO,ONO-Std-37 0 Theta,B,3.0,reported/model,35.3,1221.85,0.0,1.0,0.6745003476348125,0.022705105946901276,0.0008740155035894928
B,theta,ONO,ONO-Std-37 0.2 Theta,B,3.0,reported/model,35.3,1197.55,0.0,1.0,0.674500347634812,0.022705105946902733,0.0008740155035895505
B,theta,ONO,ONO-Std-37 0.56 Theta,U,3.0,reported/model,35.3,1032.4499999999998,0.0,1.0,0.6745003476348125,0.022705105946904596,0.0008740155035896266
B,theta,ONO,ONO-Std-37 0.75 Theta,B,3.0,reported/model,35.3,900.15,0.0,1.0,0.6745003476348118,0.022705105946899395,0.0008740155035894156
B,theta,ONO,ONO-Std-37 0.9746 Theta,B,3.0,reported/model,44.1,668.3499999999999,0.0,1.0,1.0504441254484227,0.016081828641020146,0.0014813097734865284
B,theta,ONO,ONO-Std-37 0.9947 Theta,B,3.0,reported/model,54.4,649.25,0.0,1.0,1.6230318857284582,0.011980040330848197,0.0026125430478059577
B,theta,ONO,ONO-Std-37 0.9982 Theta,B,3.0,reported/model,58.3,647.25,0.0,1.0,1.8886882063566424,0.010861256580973287,0.003200137888362728
B,fraction,NOI,NOI-Std-76 0.3 Xe area,B,2,reported/literature,72.4,1080.85,0.456949,1.0,0.2389652915804601,0.01197722847210714,0.00523444937651111
B,fraction,NOI,NOI-Std-76 0.66 Xe area,B,2,reported/literature,77.3,1080.85,0.501143,1.0,0.30313645830280866,0.012642296239460232,0.004564955062398183
B,fraction,NOI,NOI-Std-76 0.97 Xe area,B,2,reported/literature,83.8,1080.85,0.531478,1.0,0.403950305732917,0.016259139127546764,0.002453271682599202
B,fraction,NOI,NOI-LG-72 0.05 Xe area,B,1,reported/average,72.0,1023.4499999999999,0.16744,1.0,0.2341265404585377,0.011977026883976562,0.0004898823803308159
B,fraction,NOI,NOI-LG-72 0.47 Xe area,B,1,reported/average,72.0,1023.4499999999999,0.211633,1.0,0.2341265404585377,0.011977026883976562,5.573539461424186e-05
