label,score_total,score_swd,score_Nd,score_Nd_drop,score_Rd,score_pressure,score_fdot_prior,score_rizk_gas_shape,score_highT_guard,f_n,K_d,rho_d,fission_rate,Dv_scale,Dg_scale,b_scale,gb_scale,gd_scale,coalescence_d_scale,capture_scale,swD_1p3_1600K,swB_1p3_1600K,Rd_1p3_1600K,Nd_1p3_1600K,Nd_1p3_1400K,Nd_1p3_1725K,Nd_drop_1725_over_1400_log10,swD_3p2_1600K,swB_3p2_1600K,max_f_cap_step_3p2_1600K,capture_fraction_sum_3p2_1600K,capture_raw_sum_3p2_1600K,dt_h,n_modes,use_full_exp,D1_Xe,D2_Xe,D2_Xe_over_Dg_unscaled,D2_Xe_scaled,D2_xe_scale,D3_Xe,Dg,Dv,family,score_swig_diag,trial_number,state
M7_full_trial_00068,2.0419653498881885,0.9050550112541879,0.6928354902136995,0.4637291764987214,0.24672895732497235,0.1826069102179781,0.15311734823118212,0.0,0.0,1.0058013033484953e-08,404217.9020933611,41710393793261.03,7.1135657919340904e+19,0.18908322941788566,2.1996906385389923,0.7687245745268387,2.127807070965441,0.209352685654371,1.1678825769641399,0.2147963675521365,1.8895384408594007,2.773241937699198,66.38343917071504,1.5420124388997388e+19,1.6465093725753199e+19,1.2833119046682624e+19,-0.10823198420279168,3.6187206204227036,8.084088614889188,0.00016933824625162263,0.04359249835344569,0.04359249835344569,12.0,22,0,4.2934800659537927e-19,3.643728088946598e-105,2.549397638319107e-87,1.430081988885987e-105,0.39247769152264694,1.3160096715078067e-19,1.2339142062474831e-18,3.891521089933667e-21,M7_full,2.659255866877889,68,TrialState.COMPLETE
M7_full_trial_00300,2.0562261393901076,0.9096010505951966,0.8101219787958457,0.3733114405677146,0.25422479866430836,0.2912769186476528,0.13426510108365267,0.029722797635842298,0.0,2.8236458354335775e-08,729316.5068055253,46941008748929.75,6.811379931169539e+19,0.1581428424232649,2.166140447807726,0.7526922559293013,4.173728226942937,0.7430169374253357,1.7763944745964608,0.058462091635133405,3.193471207895836,1.3460558484589211,65.56816302917007,2.704552062303215e+19,3.2042905953539252e+19,1.9129136631399973e+19,-0.22403652597089943,6.168883101301441,5.380686732617753,7.424464170360134e-05,0.022500061855617568,0.022500061855617568,12.0,22,0,4.2934800659537927e-19,3.565495042751791e-105,1.2835891690260879e-86,7.128522008655315e-105,1.999307788450503,1.2601052872663648e-19,1.202984586396274e-18,3.2529348075926443e-21,M7_full,2.5730610381110877,300,TrialState.COMPLETE
M7_full_trial_00281,2.0664308500905992,0.911488444961735,0.7813972165798446,0.3923668287026521,0.23641569731551537,0.3474475045982562,0.1558619946718062,0.05453709590501862,0.0,1.903559450204987e-08,669489.6035273345,44356257050857.21,7.158664333210202e+19,0.15057005895612724,2.270716079228542,0.7533343361530851,4.131392561901109,0.7639328476176079,1.5958453999703222,0.06325360219604455,3.204453413365629,1.191634647468145,68.30071202798649,2.40098617463166e+19,2.7945539491903242e+19,1.765608693651416e+19,-0.19941803956426823,6.202910693149452,4.885880039784821,8.421477103352772e-05,0.02417112290083842,0.02417112290083842,12.0,22,0,4.2934800659537927e-19,3.655260082830653e-105,7.043291242205708e-88,3.956803374085524e-106,0.10824957142369343,1.3243529016438874e-19,1.2756503649944248e-18,3.0991346526644957e-21,M7_full,2.4146331971547985,281,TrialState.COMPLETE
M7_full_trial_00001,2.0708230829880248,1.2045382060940724,0.5579239531185911,0.402683605696798,0.05758325808423417,0.030511558579365834,0.17609125905568124,0.0,0.20344525424669574,1e-08,800000.0,10000000000000.0,7.5e+19,3.0,0.5,0.3,1.0,1.0,1.0,0.3,3.3980024427547737,2.2261830063067096,105.30182686826879,6.947480878108936e+18,7.720141150010161e+18,5.023691356812517e+18,-0.18660229119594463,6.874552630487398,9.008233639598657,0.00019909393955472762,0.05069909424980617,0.05069909424980617,12.0,22,0,4.2934800659537927e-19,3.741389438555027e-105,6.585816875114975e-87,3.741389438555027e-105,1.0,1.3875e-19,2.8404900329768963e-19,6.178566752749847e-20,M7_full,4.336125574540065,1,TrialState.COMPLETE
M7_full_trial_00216,2.0734286232127386,0.8714998053634636,0.8125177405312172,0.4336175758804415,0.24984813355221233,0.2791361991336248,0.13501363701013017,0.00856476766196869,0.0,2.507253537098746e-08,660144.8211140824,44040595248480.5,6.823129928427789e+19,0.16900936529955282,2.1764297113176023,0.6112048902446949,3.3608040273769366,0.6438872719439273,1.159335092676613,0.058907772653019316,3.0955587696140716,1.5001989679291916,66.57105275247258,2.5049217833651732e+19,2.791398380228733e+19,1.9926172803579904e+19,-0.14639792986956168,5.95982326005026,5.818246529788305,6.532575846822224e-05,0.01987495027858465,0.01987495027858465,12.0,22,0,4.2934800659537927e-19,3.568569053112025e-105,1.2747553195571658e-86,7.082233470361459e-105,1.9846143832316454,1.262279036759141e-19,1.2091719180067652e-18,3.476530507152173e-21,M7_full,2.64640590610612,216,TrialState.COMPLETE
M7_full_trial_00220,2.100493746414468,1.4701271041001172,0.4016736884050897,0.09971678709303718,0.19846246973653103,0.17936531925971883,0.12625870074783185,0.005453165325648656,1.0326310456391625,2.5128813924226133e-08,697523.7039810991,14238848225854.82,6.686959687976749e+19,0.165010398958023,2.1709254723302926,0.6742000705411236,2.9254992790567256,0.49418617805897685,10.734099103687633,0.05487433581588296,1.0220744488571825,3.4534185467970895,72.57246239877156,6.383786367200549e+18,8.83356301918158e+18,2.0837732246484913e+18,-0.6272854583873312,1.8883700790141704,9.276634831329122,2.8018384690450557e-05,0.0058339798342097755,0.0058339798342097755,12.0,22,0,4.2934800659537927e-19,3.532780355765869e-105,1.1558829700438103e-86,6.392688913028396e-105,1.809534776934223,1.2370875422756985e-19,1.2006450097150223e-18,3.3934112858525776e-21,M7_full,2.504466842703939,220,TrialState.COMPLETE
M7_full_trial_00277,2.1023275851057304,0.779606109390094,0.8526348301711143,0.5103875554186648,0.26813196701506486,0.28224732088449256,0.16317054519923888,0.0,0.0,2.343280437174555e-08,658013.6302133878,40624073196172.016,7.28015372040256e+19,0.15010596698450568,2.2646389118245454,0.6777103374941825,3.4245920750133183,0.6114479089784268,0.4169722738020503,0.36089781119122966,2.8104984179227994,1.677480073841341,64.09770066942198,2.5478120298191794e+19,2.638349597578485e+19,2.357197706243723e+19,-0.04893633190078601,5.576049588992788,5.784360931378661,0.0004000126060420836,0.11143320077898311,0.11143320077898311,12.0,22,0,4.2934800659537927e-19,3.686146223805999e-105,1.4147682710963127e-86,7.979729510976854e-105,2.164789193505641,1.3468284382744736e-19,1.277326211337023e-18,3.0902577858952215e-21,M7_full,2.502520422097801,277,TrialState.COMPLETE
M7_full_trial_00290,2.1103807873957727,1.2361310248384343,0.4146436936497189,0.0,0.24047777989687869,0.5888964314040086,0.12330394280849499,0.0,3.897992772049607,1.8729361964489068e-08,689329.7133929359,45670929550243.99,6.64161882720727e+19,1.0989669356902045,0.7343634996820663,0.5806457513436177,3.378727207199552,0.5477596680785167,12.55367347118051,0.060611918878806244,3.7270559848132754,2.5548949046681257,125.4526800715596,4.506480291764114e+18,1.8906189756116603e+19,2.3474059845409875e+17,-1.9060158050209453,6.224188571163464,10.21018898356122,8.254120411824975e-05,0.022425844361026955,0.022425844361026955,12.0,22,0,4.2934800659537927e-19,3.5207829939077266e-105,1.3297262118377636e-86,7.342986892762636e-105,2.0856118952712377,1.228699483033345e-19,4.0552870994669283e-19,2.2598150714760542e-20,M7_full,4.519526273651224,290,TrialState.COMPLETE
M7_full_trial_00294,2.1218999185325167,1.5028318164730203,0.4551763059646639,0.03662687389817,0.15973387079519763,0.24625779638479947,0.13848828710364808,0.021863990071736474,1.313919456857064,2.5279407183002065e-08,646619.1233221984,11306056457114.363,6.877938551281349e+19,0.1599573537242179,2.313439054315338,0.6351737070105559,3.89715781687237,0.6878051245068812,13.37795393578146,0.05966885317351074,0.9900402536719387,3.5066216374235646,81.97505850333769,4.290609970256077e+18,6.380241580668034e+18,1.1702448258911096e+18,-0.7365603934859513,1.7818461194009614,9.122610863434645,3.207518829231233e-05,0.005954905876755993,0.005954905876755993,12.0,22,0,4.2934800659537927e-19,3.582873129693392e-105,1.3062896263389194e-86,7.27067573037342e-105,2.0292864042873924,1.2724186319870495e-19,1.287636742017923e-18,3.2906635234430806e-21,M7_full,2.4394402106259183,294,TrialState.COMPLETE
M7_full_trial_00069,2.128479481475631,1.2226853215658702,0.5401313002734148,0.36746928639381565,0.16692838674913002,0.1390268287444826,0.18814083131701212,0.0,0.1530240338824752,1.673068991354689e-08,503746.17678217276,15599558586250.535,7.71100235306858e+19,0.2608469543485332,1.3411943500674655,1.2535449919213182,1.4270046999608181,0.4320799370124814,3.0218803412727,0.1605069755248692,1.3802741603077864,3.024756996850905,79.17665072239734,6.638735544142882e+18,7.529849965164246e+18,4.412920510187057e+18,-0.23206021823746098,2.542969236040042,9.308631656710254,8.012191931193397e-05,0.014649602631569074,0.014649602631569074,12.0,22,0,4.2934800659537927e-19,3.793653856124317e-105,5.253521337840827e-87,3.005022348871001e-105,0.7921182223886394,1.4265354353176872e-19,7.67165247260363e-19,5.374187084628511e-21,M7_full,2.7070285549370694,69,TrialState.COMPLETE
