Time (s),Average dC (atm/m^3)
1990000.0,3.9670344942635144e+24
2000000.0,3.9721601416834215e+24
2010000.0,3.977239804884382e+24
2020000.0,3.982263385945197e+24
2030000.0,3.987237342185315e+24
2040000.0,3.992159395860748e+24
2050000.0,3.997036094096134e+24
2060000.0,4.0018589094133923e+24
2070000.0,4.006635055185919e+24
2080000.0,4.011358380245406e+24
2090000.0,4.016035104246736e+24
2100000.0,4.020667994547591e+24
2110000.0,4.025245770381373e+24
2120000.0,4.02978883014406e+24
2130000.0,4.034273084617113e+24
2140000.0,4.038720250992909e+24
2150000.0,4.0431204682718527e+24
2160000.0,4.047475299960584e+24
2170000.0,4.051785678215067e+24
2180000.0,4.056056737478725e+24
2190000.0,4.060282003436842e+24
2200000.0,4.0644658583631326e+24
2210000.0,4.0686077409321846e+24
2220000.0,4.072705671751542e+24
2230000.0,4.076756800587648e+24
2240000.0,4.080775333557549e+24
2250000.0,4.084748515872145e+24
2260000.0,4.0886900029992714e+24
2270000.0,4.09258711308221e+24
2280000.0,4.0964443717046195e+24
2290000.0,4.1002635773871695e+24
2300000.0,4.1040464241027214e+24
2310000.0,4.107787000070023e+24
2320000.0,4.11149428885958e+24
2330000.0,4.1151650393820593e+24
2340000.0,4.1187998452541957e+24
2350000.0,4.1223938791035867e+24
2360000.0,4.125953191903491e+24
2370000.0,4.129477545614712e+24
2380000.0,4.1329758937502176e+24
2390000.0,4.1364316536205534e+24
2400000.0,4.1398543233902495e+24
2410000.0,4.1432431147092853e+24
2420000.0,4.1465980161118386e+24
2430000.0,4.149918668097063e+24
2440000.0,4.1532058466768637e+24
2450000.0,4.156464018406898e+24
2460000.0,4.1596926109686525e+24
2470000.0,4.162880331329222e+24
2480000.0,4.1660406807563224e+24
2490000.0,4.1691705926476057e+24
2500000.0,4.1722703808054815e+24
2510000.0,4.175338576128611e+24
2520000.0,4.178379231287315e+24
2530000.0,4.1813863215172223e+24
2540000.0,4.1843733248890707e+24
2550000.0,4.1873232550858136e+24
2560000.0,4.190256185694371e+24
