Time (s),Average dC (atm/m^3)
2600000.0,1.6478524790932837e+24
2610000.0,1.6480309783559792e+24
2620000.0,1.6482070351831268e+24
2630000.0,1.6483801287217228e+24
2640000.0,1.6485492142748586e+24
2650000.0,1.648716238465672e+24
2660000.0,1.648878757222618e+24
2670000.0,1.6490422988572662e+24
2680000.0,1.6492028648307894e+24
2690000.0,1.6493599047603094e+24
2700000.0,1.649513606370114e+24
2710000.0,1.6496662562145971e+24
2720000.0,1.6498167563686374e+24
2730000.0,1.6499622046776566e+24
2740000.0,1.650108238609829e+24
2750000.0,1.6502520088527556e+24
2760000.0,1.6503908570342837e+24
2770000.0,1.6505309254098867e+24
2780000.0,1.650667559554597e+24
2790000.0,1.6508027654628464e+24
2800000.0,1.6509340439321296e+24
2810000.0,1.6510652658284411e+24
2820000.0,1.6511920840720903e+24
2830000.0,1.6513175064571038e+24
2840000.0,1.651443462781918e+24
2850000.0,1.6515672632864157e+24
2860000.0,1.6516878593324783e+24
2870000.0,1.6518064609265378e+24
2880000.0,1.6519242541604815e+24
2890000.0,1.6520364861705508e+24
2900000.0,1.6521510627868742e+24
2910000.0,1.6522629810998446e+24
2920000.0,1.6523742662390109e+24
2930000.0,1.652484026938043e+24
2940000.0,1.652591542302235e+24
2950000.0,1.6526974123381039e+24
2960000.0,1.6527978880231294e+24
2970000.0,1.6529015578042816e+24
2980000.0,1.6530002252325765e+24
2990000.0,1.65309820568119e+24
3000000.0,1.6531928249968215e+24
3010000.0,1.653290389828697e+24
3020000.0,1.6533852754238768e+24
3030000.0,1.6534798956571296e+24
3040000.0,1.6535718589882543e+24
3050000.0,1.6536605353111987e+24
3060000.0,1.6537507961042378e+24
3070000.0,1.6538397674165967e+24
3080000.0,1.6539226217310265e+24
3090000.0,1.6540080146539182e+24
3100000.0,1.6540904335951306e+24
3110000.0,1.6541741223075853e+24
3120000.0,1.65425365145385e+24
3130000.0,1.654335383886445e+24
3140000.0,1.654414778864209e+24
3150000.0,1.6544938842408235e+24
3160000.0,1.6545699439031967e+24
3170000.0,1.6546464298177722e+24
3180000.0,1.6547218721591825e+24
3190000.0,1.6547946389546877e+24
3200000.0,1.6548658702277328e+24
3210000.0,1.6549374608956711e+24
3220000.0,1.6550072820915842e+24
3230000.0,1.6550772020534002e+24
3240000.0,1.655145045764328e+24
3250000.0,1.6552096130711007e+24
3260000.0,1.655273089932595e+24
3270000.0,1.6553396489354568e+24
3280000.0,1.655403570835536e+24
3290000.0,1.655467752713372e+24
3300000.0,1.6555302388796907e+24
3310000.0,1.6555911469700295e+24
3320000.0,1.6556505847751384e+24
3330000.0,1.6557078061196884e+24
3340000.0,1.6557675836914027e+24
3350000.0,1.6558256796293288e+24
3360000.0,1.6558822431179536e+24
3370000.0,1.6559388449862662e+24
3380000.0,1.6559948454456377e+24
3390000.0,1.6560481787183475e+24
3400000.0,1.6561023241753712e+24
3410000.0,1.6561553502601175e+24
3420000.0,1.656203911913204e+24
3430000.0,1.6562526297544975e+24
3440000.0,1.6563041739487983e+24
3450000.0,1.6563496638413493e+24
3460000.0,1.6564002361912815e+24
3470000.0,1.656450136067521e+24
