Time (s),Average dC (atm/m^3)
1730000.0,3.0801966865480476e+23
1740000.0,3.08019514341405e+23
1750000.0,3.080194137675295e+23
1760000.0,3.080194079071882e+23
1770000.0,3.0801945496344926e+23
1780000.0,3.080192764759894e+23
1790000.0,3.080193224965593e+23
1800000.0,3.0801937425838304e+23
1810000.0,3.0801948535628094e+23
1820000.0,3.0801955418363236e+23
1830000.0,3.080197206159471e+23
1840000.0,3.080197352287116e+23
1850000.0,3.08019733122508e+23
1860000.0,3.0801974275045715e+23
1870000.0,3.080196703748793e+23
1880000.0,3.0801960477858715e+23
1890000.0,3.0801975876906254e+23
1900000.0,3.0801983792888234e+23
1910000.0,3.080197313539993e+23
1920000.0,3.0801975753589985e+23
1930000.0,3.080197395298405e+23
1940000.0,3.080200317141192e+23
1950000.0,3.0801988137105336e+23
1960000.0,3.080197886424614e+23
1970000.0,3.0801965951143806e+23
1980000.0,3.080196186285483e+23
1990000.0,3.0801994198842266e+23
2000000.0,3.080197859416857e+23
2010000.0,3.080197050656781e+23
2020000.0,3.0801967970917105e+23
2030000.0,3.0801992635265274e+23
2040000.0,3.080196948745507e+23
2050000.0,3.080195160891379e+23
2060000.0,3.08019798621132e+23
2070000.0,3.0801958260813676e+23
2080000.0,3.0801966618380075e+23
2090000.0,3.080195583596365e+23
2100000.0,3.080199559951872e+23
2110000.0,3.0801984209754754e+23
2120000.0,3.0801975587478367e+23
2130000.0,3.080196918258533e+23
2140000.0,3.080196325082713e+23
2150000.0,3.0801988686854815e+23
2160000.0,3.080198459141831e+23
2170000.0,3.080196929536617e+23
2180000.0,3.080196483271746e+23
2190000.0,3.080197453870056e+23
2200000.0,3.080197801418016e+23
2210000.0,3.08019708536593e+23
2220000.0,3.0801978561936385e+23
2230000.0,3.08019621980837e+23
2240000.0,3.0801971301121634e+23
2250000.0,3.08020423435577e+23
2260000.0,3.08020154475987e+23
2270000.0,3.080198876006663e+23
2280000.0,3.080198873554336e+23
2290000.0,3.0801990373786536e+23
2300000.0,3.080198146483006e+23
2310000.0,3.08019778214858e+23
2320000.0,3.0801968601347316e+23
2330000.0,3.080197246538282e+23
2340000.0,3.0802066061998604e+23
2350000.0,3.080203348531206e+23
2360000.0,3.080201611278212e+23
2370000.0,3.0802027696624036e+23
2380000.0,3.080200523770366e+23
2390000.0,3.08019894994642e+23
2400000.0,3.080198597224364e+23
2410000.0,3.0801970840334686e+23
2420000.0,3.0801991527245705e+23
2430000.0,3.080197892238962e+23
2440000.0,3.080205063373427e+23
2450000.0,3.080202738242018e+23
2460000.0,3.0802017444680365e+23
2470000.0,3.0802025881725684e+23
2480000.0,3.080202295950109e+23
2490000.0,3.0802014879735096e+23
2500000.0,3.08020058590497e+23
2510000.0,3.080200092299595e+23
2520000.0,3.080199562211243e+23
2530000.0,3.080199413683184e+23
2540000.0,3.0801990049631356e+23
2550000.0,3.0802000547944646e+23
2560000.0,3.0802001735581527e+23
2570000.0,3.0802001250816493e+23
2580000.0,3.0801993868130784e+23
2590000.0,3.0802043397485013e+23
2600000.0,3.080203368909425e+23
2610000.0,3.080201198926746e+23
2620000.0,3.0802020472546094e+23
2630000.0,3.0802018218307255e+23
2640000.0,3.0802007439335556e+23
2650000.0,3.080201680572641e+23
2660000.0,3.0802015914361116e+23
2670000.0,3.0802018091167835e+23
2680000.0,3.080202970755404e+23
2690000.0,3.0802030600240495e+23
2700000.0,3.0802040433039416e+23
2710000.0,3.080205201970447e+23
2720000.0,3.0802040044002976e+23
2730000.0,3.0802028317788956e+23
2740000.0,3.080202604248692e+23
2750000.0,3.080202675439113e+23
2760000.0,3.0802020447607125e+23
2770000.0,3.080201344224262e+23
2780000.0,3.0802004214004055e+23
2790000.0,3.080200579861454e+23
2800000.0,3.0802011578284266e+23
2810000.0,3.0802013243015294e+23
2820000.0,3.080200561925635e+23
2830000.0,3.0801999659455606e+23
2840000.0,3.080199234104949e+23
2850000.0,3.080199670363096e+23
2860000.0,3.0802007996653586e+23
2870000.0,3.080201074968294e+23
2880000.0,3.080201042634143e+23
2890000.0,3.080201139231457e+23
2900000.0,3.080200936354357e+23
2910000.0,3.08020056085177e+23
2920000.0,3.080200974140354e+23
2930000.0,3.080202320694337e+23
2940000.0,3.080201181421234e+23
2950000.0,3.080200678305656e+23
2960000.0,3.08020038986965e+23
2970000.0,3.080200453864604e+23
2980000.0,3.0802003268560145e+23
2990000.0,3.080199697522045e+23
3000000.0,3.080200065928728e+23
3010000.0,3.080199727818393e+23
3020000.0,3.080198479997926e+23
3030000.0,3.080198986225555e+23
3040000.0,3.0801985402145814e+23
3050000.0,3.0801994320717426e+23
3060000.0,3.080203864948632e+23
3070000.0,3.080201625395444e+23
3080000.0,3.0802031938315176e+23
3090000.0,3.080203629685311e+23
3100000.0,3.080202402542021e+23
3110000.0,3.0802009993110494e+23
3120000.0,3.080200150970531e+23
3130000.0,3.080198231325061e+23
3140000.0,3.080198764289897e+23
3150000.0,3.0801985116580935e+23
3160000.0,3.0802035276668815e+23
3170000.0,3.080203428377043e+23
3180000.0,3.080200694118439e+23
3190000.0,3.080199168037086e+23
