label,score_total,score_swd,score_Nd,score_Nd_drop,score_Rd,score_pressure,score_fdot_prior,score_rizk_gas_shape,score_highT_guard,f_n,K_d,rho_d,fission_rate,Dv_scale,Dg_scale,b_scale,gb_scale,gd_scale,coalescence_d_scale,capture_scale,swD_1p3_1600K,swB_1p3_1600K,Rd_1p3_1600K,Nd_1p3_1600K,Nd_1p3_1400K,Nd_1p3_1725K,Nd_drop_1725_over_1400_log10,swD_3p2_1600K,swB_3p2_1600K,max_f_cap_step_3p2_1600K,capture_fraction_sum_3p2_1600K,capture_raw_sum_3p2_1600K,dt_h,n_modes,use_full_exp,D1_Xe,D2_Xe,D2_Xe_over_Dg_unscaled,D2_Xe_scaled,D2_xe_scale,D3_Xe,Dg,Dv,family,score_bulk_shape,score_rizk_prior,score_swig_diag,trial_number,state,profile_Dv_fixed,profile_subdir,score_data,score_prior,p_d_over_eq_1p3_1200K,p_d_over_eq_1p3_1400K,p_d_over_eq_1p3_1600K,p_d_over_eq_1p3_1700K,p_b_over_eq_1p3_1600K,p_d_over_eq_3p2_1600K,p_b_over_eq_3p2_1600K,p_d_over_eq_max_1p3_1200_1700K,p_b_over_eq_max_1p3_1200_1700K,p_d_over_eq_max_3p2_1200_1700K,p_b_over_eq_max_3p2_1200_1700K,balanced_metric,rizk_distance_metric,pressure_metric
capture_only_v2_trial_00093,1.3856562474781644,0.8985315355528197,0.3064792269709055,0.0,0.1332692326165262,0.03756951086347484,0.17633583592283816,0.06196263307121177,1.111807709004,1.1192607306390305e-08,554666.372232647,25778479587437.34,7.504224882391764e+19,0.5,2.1646015111495505,0.6899919357931563,0.20406710753837912,0.6704096056330179,8.323049519830448,0.07353213826976196,2.3609709160905745,0.47335346447127497,95.94325112469683,6.382028442553907e+18,1.173947674358791e+19,1.526558171510748e+18,-0.8859353814910125,3.1012744953682736,1.5349068685524698,3.2818560948897694e-05,0.004187699018800463,0.004187699018800463,12.0,22,0,4.2934800659537927e-19,3.7424430855487416e-105,1.0771410127321281e-86,6.1200585184606555e-105,1.6353110464372747,1.3882816032424763e-19,1.2298749895133837e-18,1.0297688000741631e-20,capture_only,0.0877492528657493,0.21518459658120795,0.6850382465386777,93,TrialState.COMPLETE,0.5,UN_M7_codex_results/capture_only_dv_profile/dv_0p50,1.177704572653824,0.21518459658120795,3.5271585531961147,2.2108075885140597,1.3722964494217016,1.6339550475550195,1.0003833021510706,1.214537516418888,1.0000439279499387,3.5271585531961147,1.0105024883201816,2.5908062872286504,1.0081091983969253,1.2995261807578302,0.21518459658120795,3.5271585531961147
capture_only_v2_trial_00097,1.4626288516575963,0.8807942327037974,0.32803389477100997,0.0,0.18330620513516746,0.08274121083076863,0.1460747910110678,0.0931586820280028,1.4066025897141072,1.6928089461277585e-07,637436.7805891151,48615001789103.42,6.999141849967481e+19,1.0,0.410234965375116,3.21332553201888,0.4103019919180148,3.446659850207593,6.658324783578577,0.06771885870190163,2.969254642952676,0.35205201436143263,80.33831594647963,1.3670697186184045e+19,2.483859674158533e+19,2.668397531132133e+18,-0.9688765265370938,4.165975019900051,1.329512592481164,2.906450390714207e-05,0.004850985908936961,0.004850985908936961,12.0,22,0,4.2934800659537927e-19,3.614304029578632e-105,5.038883892656035e-86,2.8158902226864276e-104,7.790961135648332,1.2948412422439841e-19,2.292524798373538e-19,2.057670906584969e-20,capture_only,0.07945371563151052,0.24255926249684762,0.9822802283919108,97,TrialState.COMPLETE,1.0,UN_M7_codex_results/capture_only_dv_profile/dv_1p00,1.2039999873860543,0.24255926249684762,2.3605303929418704,1.6186733613354083,1.1488184585861292,1.3781883984917935,1.000612686222827,1.1206403875064335,1.0001301740737616,2.3605303929418704,1.0010128985999258,1.997578325052468,1.0003957091726625,1.302156566383885,0.24255926249684762,2.3605303929418704
capture_only_v2_trial_00096,1.4394458968482922,0.8385666839810261,0.25289014117302266,0.0,0.15855474723113946,0.17478506258673532,0.17514092109772494,0.059927965148896756,1.741809089711085,1.193801297659557e-08,663153.8350244818,29765811617159.234,7.483606188175247e+19,0.5,1.9647484152512802,0.5633323426735325,0.2089966427531461,0.6344071960239037,11.563188234652142,0.07969603269406962,2.6420658591616366,0.48988222513980334,103.92445590337573,5.619552740854024e+18,1.4417964970484374e+19,7.702910139175488e+17,-1.272249134552117,3.5804852469563984,1.7407695896075936,4.2463057984570944e-05,0.006331413214379397,0.006331413214379397,12.0,22,0,4.2934800659537927e-19,3.737298159315304e-105,9.082883152311669e-87,5.1572131060383475e-105,1.3799308714997416,1.3844671448124208e-19,1.1155737784233346e-18,1.0297313251582946e-20,capture_only,0.09926811515366962,0.21804567396581695,0.844002355133875,96,TrialState.COMPLETE,0.5,UN_M7_codex_results/capture_only_dv_profile/dv_0p50,1.0980781240821744,0.21804567396581695,3.5606041048232764,2.2688919272667625,1.5661797110154112,2.213849176446483,1.0007939121762397,1.4564662248967069,1.0000959331744228,3.5606041048232764,1.0140451683211769,2.6344976736061114,1.0115770420213448,1.306080243194795,0.21804567396581695,3.5606041048232764
capture_only_v2_trial_00092,1.40754465029053,0.9327070177394937,0.31525429372053076,0.0,0.13833911287758804,0.014021174576650457,0.17889169954708806,0.046292828330141166,1.053411424882929,1.0853503485045289e-08,549203.7617053839,25919723153001.695,7.548518154511119e+19,0.5,2.211881333724018,0.6805873853624003,0.2299848892446419,0.6462501876025849,8.054051321929224,0.07731881566241816,2.2514748871464705,0.5334267253981673,92.60431704126856,6.768381012398557e+18,1.185241225096175e+19,1.7167135869106788e+18,-0.839108904339851,2.8962245293672737,1.6808358712204812,3.475573393769767e-05,0.004056314073097875,0.004056314073097875,12.0,22,0,4.2934800659537927e-19,3.753471617278916e-105,1.0672904100561826e-86,6.0728353919021405e-105,1.6179249535140086,1.3964758585845572e-19,1.2585507299198765e-18,1.029849130341302e-20,capture_only,0.07812340889240704,0.20950366785855049,0.6788323710580839,92,TrialState.COMPLETE,0.5,UN_M7_codex_results/capture_only_dv_profile/dv_0p50,1.2206257763843915,0.20950366785855049,3.32936218882054,2.0976346881521097,1.3027251404014997,1.5257114688044482,1.000468722398489,1.1538709026511214,1.00006350438814,3.32936218882054,1.0135823880699477,2.4567051987894315,1.0108009137171239,1.3071310453214473,0.20950366785855049,3.32936218882054
capture_only_v2_trial_00063,1.3777853845101062,0.8698074996089596,0.2477341077966673,0.0,0.1815753313995667,0.11325839119509681,0.07386797890810265,0.09499942232816927,1.1406907421013976,1.2652101026401904e-07,615857.001351498,39527818246294.56,5.9270417067375485e+19,0.3,0.3095278843553989,2.7830847050938403,0.42858540894375174,3.7991790246918793,9.094226850484404,0.8096644503330587,2.4615536382233767,0.38430672472401434,84.60415540572694,9.703884337083668e+18,1.966171639357606e+19,1.83703526713143e+18,-1.0295039335118017,3.471229398920497,1.4323765110750706,0.00025295132434262975,0.05033756817704522,0.05033756817704522,12.0,22,0,4.2934800659537927e-19,3.32599257899211e-105,2.025497880442808e-86,1.0917398699957064e-104,3.2824483039783003,1.0965027157464465e-19,1.668349967131703e-19,6.1604126004943684e-21,capture_only,0.06599602768789738,0.24714236005364612,0.741098331928394,63,TrialState.COMPLETE,0.3,UN_M7_codex_results/capture_only_dv_profile/dv_0p30,1.1397798685165332,0.24714236005364612,3.497656815818086,2.185517015110782,1.4063175564243298,1.7916087694414915,1.0006377174283128,1.3492507974592194,1.0001450622411545,3.497656815818086,1.001355241870122,2.827043333685166,1.0008064389323268,1.310488127461924,0.24714236005364612,3.497656815818086
capture_only_v2_trial_00088,1.3846595876913956,0.921422433968311,0.3409298000817881,0.0,0.18610563885162745,0.025386273037935704,0.008726110596172064,0.03563980203824415,0.8834732909073747,2.9955559817236256e-08,683440.8913148153,32068993740087.477,5.101479137353526e+19,0.3,0.45574434224835175,1.7927128502641116,0.7048151508113334,2.763190507289106,7.042464491381826,1.1685444349963352,2.391030438071935,0.5428400489716899,80.40601782586712,1.0980720414255815e+19,1.870036692620566e+19,2.8798832351892777e+18,-0.8124752484038635,3.123368420298448,1.8929986386933022,0.00034621162552321116,0.06244144859620888,0.06244144859620888,12.0,22,0,4.2934800659537927e-19,3.085676135628957e-105,2.374448338853663e-87,1.2435588363231651e-105,0.40301016103548054,9.437736404104023e-20,2.3868487455946923e-19,6.149910014348434e-21,capture_only,0.08090275158978738,0.17490961936001065,0.7973088487745199,88,TrialState.COMPLETE,0.3,UN_M7_codex_results/capture_only_dv_profile/dv_0p30,1.2546901873324499,0.17490961936001065,3.109692625107171,1.945822517223911,1.2491954304753825,1.4633400584352112,1.0003979677047579,1.1271606730554602,1.0000547557839787,3.109692625107171,1.0056713688275847,2.3311612377826942,1.0049016586548052,1.3173808421984774,0.17490961936001065,3.109692625107171
capture_only_v2_trial_00070,1.3429695800633155,0.8867048072120285,0.33299618491228994,0.011957399948580381,0.16082273677733117,0.026758796274701586,0.0030121723288255753,0.06219282407823628,0.8110293609687264,4.4333970988751924e-08,642983.8646935801,28807351363851.367,5.034799456748989e+19,0.3,0.5247992767188661,2.31181559795368,0.5499462510502279,3.575294041667821,6.671540914318812,1.7791440197140298,2.5330781707970544,0.421540843290403,86.80045629788286,9.24685310274779e+18,1.586308303019668e+19,2.6369289100857533e+18,-0.7792891757626373,3.4351296194750343,1.5239517260200028,0.0004924191973491142,0.10092499295520559,0.10092499295520559,12.0,22,0,4.2934800659537927e-19,3.06544389985805e-105,4.372269079180513e-87,2.284474726160209e-105,0.7452345568176914,9.31437899498563e-20,2.7420331691848054e-19,6.149025801865363e-21,capture_only,0.1036279975461212,0.19759357557614443,0.7695158236655544,70,TrialState.COMPLETE,0.3,UN_M7_codex_results/capture_only_dv_profile/dv_0p30,1.2116033694199961,0.19759357557614443,3.5951731522405357,2.2018108860058434,1.3573382189456813,1.558175278412056,1.0004375719806895,1.2219298833764214,1.0000646180259205,3.5951731522405357,1.0027306679734098,2.7206074932537208,1.002121507127698,1.3300562080411185,0.19759357557614443,3.5951731522405357
capture_only_v2_trial_00068,1.341871016830297,0.8480432057555516,0.3578672727146465,0.0301460525697664,0.16900848433690874,0.008410019398381739,0.015493971375119979,0.12447507681315913,0.7242411562054446,1.0690125786021028e-07,649254.3942811204,31456574508172.242,4.824763533140654e+19,0.3,0.45745920696264675,3.1342292582056555,0.294736682336538,3.781180635111233,6.508027789799832,1.2099994583866525,2.583612320965777,0.2788199568296347,84.5203517352951,1.0215387621249104e+19,1.7481115858110796e+19,3.1245224240389274e+18,-0.7477855053015223,3.6722866896114503,1.0390462011252872,0.00029069231442731833,0.07163802955199627,0.07163802955199627,12.0,22,0,4.2934800659537927e-19,3.0008224534804694e-105,8.222713719067195e-87,4.264349756047376e-105,1.4210603333434204,8.925812536310209e-20,2.372411498516926e-19,6.146201640946713e-21,capture_only,0.08132266916329334,0.24390002027925833,0.7078296551891571,68,TrialState.COMPLETE,0.3,UN_M7_codex_results/capture_only_dv_profile/dv_0p30,1.2122080761919833,0.24390002027925833,3.6470573309216707,2.2369099602208293,1.3563269639708342,1.4925250808451844,1.0005592119948108,1.2787193461287871,1.0001111134784637,3.6470573309216707,1.001086311670648,2.9838586074720115,1.0005400059074565,1.3338911604144155,0.24390002027925833,3.6470573309216707
capture_only_v2_trial_00023,1.5152916043459692,0.9646831380373446,0.32154033346476746,0.0,0.13992570507501037,0.08829025271001967,0.01899561738871021,0.014009024772769284,1.9935169172363294,1.1372476065355855e-07,416774.3679906442,30164235264945.434,5.223548383259189e+19,1.0,0.5385278755480151,1.856396497587206,0.4028294988617625,2.7284486227139038,6.9400160098438155,1.5814146693004318,2.883910331087871,0.5047485391641965,107.73681034804034,5.505551157258677e+18,1.0419994482734848e+19,9.756584181487406e+17,-1.0285696929398975,3.759886095051305,1.6562119933722723,0.0005748900659794704,0.09907759514760932,0.09907759514760932,12.0,22,0,4.2934800659537927e-19,3.1223752452331423e-105,2.5750957740690154e-86,1.3544582786851688e-104,4.337909995773214,9.663564509029501e-20,2.832568585152733e-19,2.0505046270426713e-20,capture_only,0.09315390784700059,0.17334499892626173,1.0376708654085984,23,TrialState.COMPLETE,1.0,UN_M7_codex_results/capture_only_dv_profile/dv_1p00,1.2576397778344497,0.17334499892626173,2.6332447290125542,1.7414556334567726,1.2098775567855509,1.5599230988725306,1.0002078352465116,1.1237379182971747,1.000049742587317,2.6332447290125542,1.0007335093071894,2.0866855470779093,1.000451246285059,1.3452829292457138,0.17334499892626173,2.6332447290125542
capture_only_v2_trial_00088,1.3939591188112328,0.8796902449460704,0.3516003393877897,0.051172493959255064,0.12999819670349827,0.0,0.17826292311626457,0.05333014513858839,0.7849764995151001,1.0095617670844264e-08,560597.9174867024,25189932809257.727,7.537597232732842e+19,0.5,2.2266448262551863,0.6853509739495894,0.252947370701188,0.767813550136892,6.407766786827368,0.07556774723769977,2.4535431984963574,0.515270626290686,92.51579963506494,7.397029979632211e+18,1.205986895618132e+19,2.344098992584435e+18,-0.7113666405125588,3.2144470673363004,1.7163699248583242,3.416941472313661e-05,0.004278269434733371,0.004278269434733371,12.0,22,0,4.2934800659537927e-19,3.750755441333467e-105,1.3841496810407428e-86,7.872954182862368e-105,2.099031596702391,1.3944554880555758e-19,1.2665012273407888e-18,1.0298293460994253e-20,capture_only,0.09507885590369528,0.20086518067599501,0.7540643557828725,88,TrialState.COMPLETE,0.5,UN_M7_codex_results/capture_only_dv_profile/dv_0p50,1.2374018775294877,0.20086518067599501,3.6615672466805442,2.264711427663002,1.3488755346651993,1.5017389081079304,1.0006756658664493,1.1814874381641927,1.0000948187270537,3.6615672466805442,1.0164214733277102,2.6764863611811256,1.0133823830512523,1.3468115215699654,0.20086518067599501,3.6615672466805442
